        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
1.138e+13 1.167e+13   10      0        0  4.90e+09  0.00e+00  0.00e+00  9.83e+38  9.85e-14  5.05e+10  7.85e+05  8.25e+05  5.11e-13  1.08e-12  0.00e+00  0.00e+00  1.00e-20 -1.60e+34  4.35e+31 -1.04e+34  5.79e+07  1.04e+07  0.00e+00  1.04e+07 
1.195e+13 1.225e+13   11      0        0  5.31e+09  0.00e+00  0.00e+00  1.14e+39  9.30e-14  4.77e+10  7.70e+05  8.11e+05  6.98e-13  1.34e-12  0.00e+00  0.00e+00  1.00e-20 -1.61e+34  3.97e+31 -9.65e+33  5.46e+07  1.04e+07  0.00e+00  1.04e+07 
1.254e+13 1.285e+13   12      0        0  5.70e+09  0.00e+00  0.00e+00  1.32e+39  8.80e-14  4.51e+10  7.53e+05  7.96e+05  5.14e-13  1.04e-12  0.00e+00  0.00e+00  1.00e-20 -1.60e+34  2.36e+32 -1.03e+34  5.15e+07  1.04e+07  0.00e+00  1.04e+07 
1.317e+13 1.349e+13   13      0        0  6.13e+09  0.00e+00  0.00e+00  1.53e+39  8.36e-14  4.29e+10  7.37e+05  7.82e+05  5.47e-13  2.11e-12  0.00e+00  0.00e+00  1.00e-20 -1.55e+34  3.08e+32 -1.04e+34  4.85e+07  1.04e+07  0.00e+00  1.04e+07 
1.382e+13 1.417e+13   14      0        0  6.55e+09  0.00e+00  0.00e+00  1.78e+39  7.94e-14  4.07e+10  7.21e+05  7.67e+05  5.66e-13  2.26e-12  0.00e+00  0.00e+00  1.00e-20 -1.60e+34  9.20e+31 -9.78e+33  4.57e+07  1.04e+07  0.00e+00  1.04e+07 
1.451e+13 1.487e+13   15      0        0  6.94e+09  0.00e+00  0.00e+00  2.07e+39  7.51e-14  3.85e+10  7.05e+05  7.53e+05  3.13e-13  1.79e-12  0.00e+00  0.00e+00  1.00e-20 -1.54e+34  9.21e+31 -1.01e+34  4.33e+07  1.04e+07  0.00e+00  1.04e+07 
1.523e+13 1.561e+13   16      0        0  7.33e+09  0.00e+00  0.00e+00  2.40e+39  7.09e-14  3.63e+10  6.88e+05  7.38e+05  3.34e-13  2.55e-12  0.00e+00  0.00e+00  1.00e-20 -1.52e+34  1.85e+32 -9.59e+33  4.10e+07  1.04e+07  0.00e+00  1.04e+07 
1.599e+13 1.639e+13   17      0        0  7.81e+09  0.00e+00  0.00e+00  2.79e+39  6.71e-14  3.44e+10  6.71e+05  7.22e+05  4.82e-13  2.44e-12  0.00e+00  0.00e+00  1.00e-20 -1.48e+34  1.33e+32 -9.28e+33  3.89e+07  1.04e+07  0.00e+00  1.04e+07 
1.678e+13 1.720e+13   18      0        0  8.25e+09  0.00e+00  0.00e+00  3.24e+39  6.37e-14  3.26e+10  6.54e+05  7.07e+05  4.02e-13  1.23e-12  0.00e+00  0.00e+00  1.00e-20 -1.52e+34 -3.15e+32 -9.66e+33  3.68e+07  1.04e+07  0.00e+00  1.04e+07 
1.762e+13 1.806e+13   19      0        0  8.68e+09  0.00e+00  0.00e+00  3.76e+39  6.06e-14  3.11e+10  6.37e+05  6.93e+05  5.18e-13  1.49e-12  0.00e+00  0.00e+00  1.00e-20 -1.52e+34  1.68e+32 -1.03e+34  3.48e+07  1.04e+07  0.00e+00  1.04e+07 
1.850e+13 1.896e+13   20      0        0  9.11e+09  0.00e+00  0.00e+00  4.37e+39  5.76e-14  2.95e+10  6.19e+05  6.77e+05  5.01e-13  2.54e-12  0.00e+00  0.00e+00  1.00e-20 -1.50e+34  5.35e+31 -9.61e+33  3.29e+07  1.05e+07  0.00e+00  1.04e+07 
1.942e+13 1.990e+13   21      0        0  9.61e+09  0.00e+00  0.00e+00  5.09e+39  5.49e-14  2.82e+10  6.01e+05  6.61e+05  2.75e-13  2.36e-12  0.00e+00  0.00e+00  1.00e-20 -1.51e+34  1.12e+32 -9.56e+33  3.10e+07  1.05e+07  0.00e+00  1.04e+07 
2.038e+13 2.089e+13   22      0        0  1.01e+10  0.00e+00  0.00e+00  5.92e+39  5.25e-14  2.69e+10  5.84e+05  6.46e+05  2.32e-13  2.09e-12  0.00e+00  0.00e+00  1.00e-20 -1.49e+34  3.54e+32 -9.84e+33  2.93e+07  1.05e+07  0.00e+00  1.05e+07 
2.140e+13 2.193e+13   23      0        0  1.05e+10  0.00e+00  0.00e+00  6.89e+39  5.07e-14  2.60e+10  5.67e+05  6.31e+05  4.74e-13  1.46e-12  0.00e+00  0.00e+00  1.00e-20 -1.48e+34 -2.53e+32 -9.32e+33  2.75e+07  1.05e+07  0.00e+00  1.05e+07 
2.246e+13 2.302e+13   24      0        0  1.09e+10  0.00e+00  0.00e+00  8.02e+39  4.90e-14  2.51e+10  5.50e+05  6.16e+05  3.98e-13  1.72e-12  0.00e+00  0.00e+00  1.00e-20 -1.49e+34  8.21e+31 -9.29e+33  2.57e+07  1.06e+07  0.00e+00  1.05e+07 
2.358e+13 2.416e+13   25      0        0  1.14e+10  0.00e+00  0.00e+00  9.34e+39  4.76e-14  2.44e+10  5.32e+05  6.00e+05  2.12e-13  1.81e-12  0.00e+00  0.00e+00  1.00e-20 -1.58e+34 -1.53e+32 -1.01e+34  2.40e+07  1.06e+07  0.00e+00  1.05e+07 
2.475e+13 2.537e+13   26      0        0  1.19e+10  0.00e+00  0.00e+00  1.09e+40  4.64e-14  2.38e+10  5.15e+05  5.85e+05  2.85e-13  1.97e-12  0.00e+00  0.00e+00  1.00e-20 -1.57e+34  2.06e+32 -1.05e+34  2.23e+07  1.07e+07  0.00e+00  1.06e+07 
2.598e+13 2.663e+13   27      0        0  1.23e+10  0.00e+00  0.00e+00  1.27e+40  4.55e-14  2.33e+10  4.98e+05  5.70e+05  5.12e-13  3.05e-12  0.00e+00  0.00e+00  1.00e-20 -1.53e+34 -6.77e+31 -1.00e+34  2.08e+07  1.07e+07  0.00e+00  1.06e+07 
2.728e+13 2.795e+13   28      0        0  1.27e+10  0.00e+00  0.00e+00  1.48e+40  4.50e-14  2.31e+10  4.82e+05  5.55e+05  5.91e-13  2.06e-12  0.00e+00  0.00e+00  1.00e-20 -1.69e+34 -3.07e+31 -1.07e+34  1.92e+07  1.08e+07  0.00e+00  1.07e+07 
2.863e+13 2.934e+13   29      0        0  1.32e+10  0.00e+00  0.00e+00  1.72e+40  4.51e-14  2.31e+10  4.65e+05  5.40e+05  3.07e-13  2.73e-12  0.00e+00  0.00e+00  1.00e-20 -1.72e+34 -4.00e+31 -1.06e+34  1.75e+07  1.09e+07  0.00e+00  1.07e+07 
