        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
7.004e+12    0     -1        0  2.65e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.353e+12    1      0        0  7.50e+08  0.00e+00  0.00e+00  2.61e+38  1.94e-13  9.96e+10  9.42e+05  9.42e+05  3.49e+01 -5.24e+01  9.66e+05  9.66e+05  4.52e-01  9.81e+41  9.81e+41  9.82e+41  1.07e+07  9.99e+07  1.07e+07  1.20e-01  0.00e+00  0.00e+00 
7.719e+12    2      0        0  1.26e+09  0.00e+00  0.00e+00  3.02e+38  1.78e-13  9.13e+10  9.22e+05  9.22e+05  7.10e+00 -2.05e+01  9.49e+05  9.49e+05  3.96e-01  8.32e+41  8.32e+41  8.32e+41  1.07e+07  9.05e+07  1.07e+07  1.24e-01  0.00e+00  0.00e+00 
8.103e+12    3      0        0  1.73e+09  0.00e+00  0.00e+00  3.50e+38  1.63e-13  8.38e+10  9.05e+05  9.05e+05  3.93e+01 -6.79e+01  9.33e+05  9.33e+05  3.57e-01  7.30e+41  7.30e+41  7.30e+41  1.06e+07  8.47e+07  1.06e+07  1.88e-01  0.00e+00  0.00e+00 
8.506e+12    4      0        0  2.21e+09  0.00e+00  0.00e+00  4.06e+38  1.51e-13  7.72e+10  8.87e+05  8.87e+05  4.73e+01 -9.67e+01  9.17e+05  9.17e+05  3.26e-01  6.51e+41  6.51e+41  6.51e+41  1.06e+07  7.99e+07  1.06e+07  2.95e-01  0.00e+00  0.00e+00 
8.929e+12    5      0        0  2.68e+09  0.00e+00  0.00e+00  4.70e+38  1.39e-13  7.13e+10  8.70e+05  8.70e+05  4.00e+01 -8.32e+00  9.02e+05  9.02e+05  2.99e-01  5.87e+41  5.87e+41  5.87e+41  1.05e+07  7.57e+07  1.05e+07  2.66e-01  0.00e+00  0.00e+00 
9.373e+12    6      0        0  3.10e+09  0.00e+00  0.00e+00  5.44e+38  1.29e-13  6.63e+10  8.53e+05  8.54e+05  1.07e+02 -8.28e+01  8.87e+05  8.87e+05  2.77e-01  5.36e+41  5.36e+41  5.36e+41  1.05e+07  7.16e+07  1.05e+07  6.47e-01  0.00e+00  0.00e+00 
9.839e+12    7      0        0  3.54e+09  0.00e+00  0.00e+00  6.31e+38  1.20e-13  6.17e+10  8.36e+05  8.37e+05  2.47e+02 -1.07e+02  8.71e+05  8.71e+05  2.57e-01  4.90e+41  4.90e+41  4.90e+41  1.05e+07  6.79e+07  1.05e+07  8.00e-01  0.00e+00  0.00e+00 
1.033e+13    8      0        0  3.99e+09  0.00e+00  0.00e+00  7.31e+38  1.12e-13  5.74e+10  8.19e+05  8.19e+05  1.29e+01  3.40e+01  8.56e+05  8.56e+05  2.40e-01  4.50e+41  4.50e+41  4.50e+41  1.05e+07  6.45e+07  1.04e+07  6.31e-01  0.00e+00  0.00e+00 
1.084e+13    9      0        0  4.46e+09  0.00e+00  0.00e+00  8.48e+38  1.05e-13  5.36e+10  8.02e+05  8.02e+05 -1.51e+01  7.04e+01  8.40e+05  8.40e+05  2.25e-01  4.15e+41  4.15e+41  4.15e+41  1.04e+07  6.13e+07  1.04e+07  1.48e-01  0.00e+00  0.00e+00 
1.138e+13   10      0        0  4.90e+09  0.00e+00  0.00e+00  9.83e+38  9.85e-14  5.05e+10  7.85e+05  7.85e+05 -1.64e+01  3.27e+01  8.25e+05  8.25e+05  2.10e-01  3.87e+41  3.87e+41  3.87e+41  1.04e+07  5.79e+07  1.04e+07  2.02e-01  0.00e+00  0.00e+00 
1.195e+13   11      0        0  5.31e+09  0.00e+00  0.00e+00  1.14e+39  9.30e-14  4.77e+10  7.70e+05  7.70e+05 -6.48e+00  9.53e+00  8.11e+05  8.11e+05  1.97e-01  3.63e+41  3.63e+41  3.63e+41  1.04e+07  5.46e+07  1.04e+07  1.28e-01  0.00e+00  0.00e+00 
1.254e+13   12      0        0  5.70e+09  0.00e+00  0.00e+00  1.32e+39  8.80e-14  4.51e+10  7.53e+05  7.53e+05  4.29e+01  1.68e+01  7.96e+05  7.96e+05  1.85e-01  3.41e+41  3.41e+41  3.41e+41  1.04e+07  5.15e+07  1.04e+07  4.46e-01  0.00e+00  0.00e+00 
1.317e+13   13      0        0  6.13e+09  0.00e+00  0.00e+00  1.53e+39  8.36e-14  4.29e+10  7.37e+05  7.37e+05  3.58e+01 -4.85e+01  7.82e+05  7.82e+05  1.75e-01  3.22e+41  3.22e+41  3.22e+41  1.04e+07  4.85e+07  1.04e+07  1.81e-01  0.00e+00  0.00e+00 
1.382e+13   14      0        0  6.55e+09  0.00e+00  0.00e+00  1.78e+39  7.94e-14  4.07e+10  7.21e+05  7.21e+05  7.48e+01  2.07e+01  7.67e+05  7.67e+05  1.65e-01  3.04e+41  3.04e+41  3.04e+41  1.04e+07  4.57e+07  1.04e+07  3.40e-01  0.00e+00  0.00e+00 
1.451e+13   15      0        0  6.94e+09  0.00e+00  0.00e+00  2.07e+39  7.51e-14  3.85e+10  7.05e+05  7.05e+05  1.34e+02  3.22e+01  7.53e+05  7.53e+05  1.56e-01  2.86e+41  2.86e+41  2.86e+41  1.04e+07  4.33e+07  1.04e+07  6.03e-01  0.00e+00  0.00e+00 
1.523e+13   16      0        0  7.33e+09  0.00e+00  0.00e+00  2.40e+39  7.09e-14  3.63e+10  6.88e+05  6.88e+05  4.92e+01  2.25e+01  7.38e+05  7.38e+05  1.48e-01  2.68e+41  2.68e+41  2.68e+41  1.04e+07  4.10e+07  1.04e+07  4.46e-01  0.00e+00  0.00e+00 
1.599e+13   17      0        0  7.81e+09  0.00e+00  0.00e+00  2.79e+39  6.71e-14  3.44e+10  6.71e+05  6.71e+05  6.03e+01  2.15e+01  7.22e+05  7.23e+05  1.41e-01  2.52e+41  2.52e+41  2.52e+41  1.04e+07  3.89e+07  1.04e+07  7.83e-01  0.00e+00  0.00e+00 
1.678e+13   18      0        0  8.25e+09  0.00e+00  0.00e+00  3.24e+39  6.37e-14  3.26e+10  6.54e+05  6.54e+05  1.69e+01  1.95e+01  7.07e+05  7.08e+05  1.35e-01  2.37e+41  2.37e+41  2.37e+41  1.04e+07  3.68e+07  1.04e+07  1.81e-01  0.00e+00  0.00e+00 
1.762e+13   19      0        0  8.68e+09  0.00e+00  0.00e+00  3.76e+39  6.06e-14  3.11e+10  6.37e+05  6.37e+05  1.21e+01 -1.58e+01  6.93e+05  6.93e+05  1.29e-01  2.24e+41  2.24e+41  2.24e+41  1.04e+07  3.48e+07  1.04e+07  1.15e-01  0.00e+00  0.00e+00 
1.850e+13   20      0        0  9.11e+09  0.00e+00  0.00e+00  4.37e+39  5.76e-14  2.95e+10  6.19e+05  6.19e+05  2.14e+01  1.97e+01  6.77e+05  6.77e+05  1.24e-01  2.12e+41  2.12e+41  2.12e+41  1.05e+07  3.29e+07  1.04e+07  3.84e-01  0.00e+00  0.00e+00 
1.942e+13   21      0        0  9.61e+09  0.00e+00  0.00e+00  5.09e+39  5.49e-14  2.82e+10  6.01e+05  6.01e+05  4.50e+01  2.45e+01  6.61e+05  6.61e+05  1.19e-01  2.00e+41  2.00e+41  2.00e+41  1.05e+07  3.10e+07  1.04e+07  3.79e-01  0.00e+00  0.00e+00 
2.038e+13   22      0        0  1.01e+10  0.00e+00  0.00e+00  5.92e+39  5.25e-14  2.69e+10  5.84e+05  5.84e+05  4.88e+01 -1.05e+01  6.46e+05  6.46e+05  1.15e-01  1.90e+41  1.90e+41  1.90e+41  1.05e+07  2.93e+07  1.05e+07  2.84e-01  0.00e+00  0.00e+00 
2.140e+13   23      0        0  1.05e+10  0.00e+00  0.00e+00  6.89e+39  5.07e-14  2.60e+10  5.67e+05  5.67e+05  8.87e+00  2.59e+01  6.31e+05  6.31e+05  1.11e-01  1.83e+41  1.83e+41  1.83e+41  1.05e+07  2.75e+07  1.05e+07  5.22e-01  0.00e+00  0.00e+00 
2.246e+13   24      0        0  1.09e+10  0.00e+00  0.00e+00  8.02e+39  4.90e-14  2.51e+10  5.50e+05  5.50e+05 -5.80e+00 -6.77e+00  6.16e+05  6.16e+05  1.08e-01  1.75e+41  1.75e+41  1.75e+41  1.06e+07  2.57e+07  1.05e+07  1.21e-01  0.00e+00  0.00e+00 
2.358e+13   25      0        0  1.14e+10  0.00e+00  0.00e+00  9.34e+39  4.76e-14  2.44e+10  5.32e+05  5.32e+05  3.25e+00 -1.15e+01  6.00e+05  6.00e+05  1.06e-01  1.69e+41  1.69e+41  1.69e+41  1.06e+07  2.40e+07  1.05e+07  1.00e-01  0.00e+00  0.00e+00 
