        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
4.310e+12 4.418e+12    0     -1        0  4.89e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
4.525e+12 4.637e+12    1      0        0  2.06e+08  0.00e+00  0.00e+00  6.08e+37  1.36e-12  6.95e+11  9.49e+05  9.67e+05  2.76e-12  6.95e-12  0.00e+00  0.00e+00  1.00e-20 -3.03e+34 -4.23e+32 -1.94e+34  1.85e+07  1.25e+07  0.00e+00  1.25e+07 
4.750e+12 4.868e+12    2      0        0  4.51e+08  0.00e+00  0.00e+00  7.04e+37  1.23e-12  6.31e+11  9.31e+05  9.52e+05  2.82e-12  6.31e-12  0.00e+00  0.00e+00  1.00e-20 -2.80e+34 -1.39e+32 -1.84e+34  1.74e+07  1.22e+07  0.00e+00  1.21e+07 
4.986e+12 5.110e+12    3      0        0  7.34e+08  0.00e+00  0.00e+00  8.15e+37  1.12e-12  5.73e+11  9.13e+05  9.35e+05  2.11e-12  6.38e-12  0.00e+00  0.00e+00  1.00e-20 -2.66e+34 -1.09e+32 -1.72e+34  1.66e+07  1.19e+07  0.00e+00  1.18e+07 
5.234e+12 5.364e+12    4      0        0  1.07e+09  0.00e+00  0.00e+00  9.43e+37  9.97e-13  5.11e+11  8.95e+05  9.18e+05  1.43e-12  4.38e-12  0.00e+00  0.00e+00  1.00e-20 -2.42e+34 -4.49e+32 -1.56e+34  1.62e+07  1.16e+07  0.00e+00  1.16e+07 
5.495e+12 5.631e+12    5      0        0  1.47e+09  0.00e+00  0.00e+00  1.09e+38  8.87e-13  4.55e+11  8.74e+05  8.99e+05  1.58e-12  3.63e-12  0.00e+00  0.00e+00  1.00e-20 -2.24e+34 -7.27e+31 -1.45e+34  1.59e+07  1.14e+07  0.00e+00  1.14e+07 
5.768e+12 5.912e+12    6      0        0  1.93e+09  0.00e+00  0.00e+00  1.26e+38  7.93e-13  4.07e+11  8.52e+05  8.78e+05  1.07e-12  3.17e-12  0.00e+00  0.00e+00  1.00e-20 -2.04e+34  1.15e+32 -1.39e+34  1.56e+07  1.12e+07  0.00e+00  1.12e+07 
6.055e+12 6.206e+12    7      0        0  2.49e+09  0.00e+00  0.00e+00  1.46e+38  7.08e-13  3.63e+11  8.28e+05  8.54e+05  6.71e-13  3.21e-12  0.00e+00  0.00e+00  1.00e-20 -1.86e+34 -1.09e+32 -1.12e+34  1.54e+07  1.11e+07  0.00e+00  1.10e+07 
6.356e+12 6.514e+12    8      0        0  3.13e+09  0.00e+00  0.00e+00  1.70e+38  6.35e-13  3.26e+11  8.01e+05  8.29e+05  1.14e-12  3.19e-12  0.00e+00  0.00e+00  1.00e-20 -1.76e+34 -1.42e+32 -1.12e+34  1.52e+07  1.10e+07  0.00e+00  1.10e+07 
6.672e+12 6.838e+12    9      0        0  3.85e+09  0.00e+00  0.00e+00  1.97e+38  5.77e-13  2.96e+11  7.74e+05  8.04e+05  4.33e-13  2.06e-12  0.00e+00  0.00e+00  1.00e-20 -1.62e+34  3.64e+32 -9.39e+33  1.48e+07  1.10e+07  0.00e+00  1.09e+07 
7.004e+12 7.179e+12   10      0        0  4.58e+09  0.00e+00  0.00e+00  2.29e+38  5.30e-13  2.72e+11  7.47e+05  7.79e+05  4.56e-13  2.60e-12  0.00e+00  0.00e+00  1.00e-20 -1.51e+34  4.08e+32 -9.61e+33  1.44e+07  1.10e+07  0.00e+00  1.09e+07 
7.353e+12 7.536e+12   11      0        0  5.26e+09  0.00e+00  0.00e+00  2.66e+38  4.94e-13  2.53e+11  7.21e+05  7.54e+05  7.54e-13  2.90e-12  0.00e+00  0.00e+00  1.00e-20 -1.43e+34  3.95e+31 -9.56e+33  1.39e+07  1.10e+07  0.00e+00  1.09e+07 
7.719e+12 7.911e+12   12      0        0  5.90e+09  0.00e+00  0.00e+00  3.09e+38  4.62e-13  2.37e+11  6.96e+05  7.30e+05  7.01e-13  3.39e-12  0.00e+00  0.00e+00  1.00e-20 -1.36e+34 -1.39e+32 -8.96e+33  1.34e+07  1.10e+07  0.00e+00  1.09e+07 
8.103e+12 8.304e+12   13      0        0  6.53e+09  0.00e+00  0.00e+00  3.59e+38  4.41e-13  2.26e+11  6.71e+05  7.07e+05  5.70e-13  2.74e-12  0.00e+00  0.00e+00  1.00e-20 -1.33e+34  3.15e+30 -8.38e+33  1.27e+07  1.11e+07  0.00e+00  1.10e+07 
8.506e+12 8.717e+12   14      0        0  7.12e+09  0.00e+00  0.00e+00  4.17e+38  4.27e-13  2.19e+11  6.47e+05  6.85e+05  6.91e-13  3.06e-12  0.00e+00  0.00e+00  1.00e-20 -1.35e+34  1.54e+32 -8.70e+33  1.20e+07  1.12e+07  0.00e+00  1.10e+07 
8.929e+12 9.151e+12   15      0        0  7.69e+09  0.00e+00  0.00e+00  4.85e+38  4.18e-13  2.14e+11  6.23e+05  6.63e+05  3.74e-13  2.48e-12  0.00e+00  0.00e+00  1.00e-20 -1.33e+34 -3.66e+32 -8.98e+33  1.12e+07  1.13e+07  0.00e+00  1.11e+07 
9.373e+12 9.606e+12   16      0        0  8.29e+09  0.00e+00  0.00e+00  5.64e+38  4.09e-13  2.10e+11  5.99e+05  6.41e+05  7.65e-13  2.47e-12  0.00e+00  0.00e+00  1.00e-20 -1.33e+34 -3.35e+32 -8.34e+33  1.04e+07  1.14e+07  0.00e+00  1.12e+07 
9.839e+12 1.008e+13   17      0        0  8.85e+09  0.00e+00  0.00e+00  6.57e+38  4.07e-13  2.09e+11  5.77e+05  6.21e+05  4.20e-13  3.68e-12  0.00e+00  0.00e+00  1.00e-20 -1.34e+34 -1.75e+32 -8.51e+33  9.64e+06  1.16e+07  0.00e+00  1.13e+07 
