        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_old  cool_tot      ntot        ip    nioniz      gain macro_bf_in macro_bf_out 
4.310e+12    0     -1        0  4.89e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
4.525e+12    1      0        0  2.06e+08  0.00e+00  0.00e+00  6.08e+37  1.36e-12  6.95e+11  9.49e+05  9.49e+05 -3.61e+02  8.42e+02  9.67e+05  9.68e+05  5.77e-01  2.06e+42  2.06e+42  2.06e+42  1.25e+07  1.85e+07  1.25e+07  6.99e-01  0.00e+00  0.00e+00 
4.750e+12    2      0        0  4.51e+08  0.00e+00  0.00e+00  7.04e+37  1.23e-12  6.31e+11  9.31e+05  9.32e+05  3.24e+02  3.27e+02  9.52e+05  9.52e+05  5.15e-01  1.78e+42  1.78e+42  1.78e+42  1.22e+07  1.74e+07  1.21e+07  8.00e-01  0.00e+00  0.00e+00 
4.986e+12    3      0        0  7.34e+08  0.00e+00  0.00e+00  8.15e+37  1.12e-12  5.73e+11  9.13e+05  9.14e+05  1.09e+02  3.79e+02  9.35e+05  9.36e+05  4.67e-01  1.55e+42  1.55e+42  1.55e+42  1.19e+07  1.66e+07  1.18e+07  8.00e-01  0.00e+00  0.00e+00 
5.234e+12    4      0        0  1.07e+09  0.00e+00  0.00e+00  9.43e+37  9.97e-13  5.11e+11  8.95e+05  8.95e+05 -2.37e+02  5.53e+02  9.18e+05  9.18e+05  4.27e-01  1.33e+42  1.33e+42  1.33e+42  1.16e+07  1.62e+07  1.16e+07  6.99e-01  0.00e+00  0.00e+00 
5.495e+12    5      0        0  1.47e+09  0.00e+00  0.00e+00  1.09e+38  8.87e-13  4.55e+11  8.74e+05  8.75e+05  2.01e+01  8.10e+01  8.99e+05  8.99e+05  3.95e-01  1.14e+42  1.14e+42  1.14e+42  1.14e+07  1.59e+07  1.14e+07  8.00e-01  0.00e+00  0.00e+00 
5.768e+12    6      0        0  1.93e+09  0.00e+00  0.00e+00  1.26e+38  7.93e-13  4.07e+11  8.52e+05  8.52e+05  3.48e+02  2.20e+02  8.78e+05  8.78e+05  3.70e-01  9.78e+41  9.78e+41  9.78e+41  1.12e+07  1.56e+07  1.12e+07  8.00e-01  0.00e+00  0.00e+00 
6.055e+12    7      0        0  2.49e+09  0.00e+00  0.00e+00  1.46e+38  7.08e-13  3.63e+11  8.28e+05  8.28e+05  2.42e+01  2.17e+02  8.54e+05  8.54e+05  3.51e-01  8.37e+41  8.37e+41  8.37e+41  1.11e+07  1.54e+07  1.10e+07  8.00e-01  0.00e+00  0.00e+00 
6.356e+12    8      0        0  3.13e+09  0.00e+00  0.00e+00  1.70e+38  6.35e-13  3.26e+11  8.01e+05  8.01e+05 -3.07e+02  4.36e+02  8.29e+05  8.29e+05  3.38e-01  7.19e+41  7.19e+41  7.19e+41  1.10e+07  1.52e+07  1.10e+07  6.99e-01  0.00e+00  0.00e+00 
6.672e+12    9      0        0  3.85e+09  0.00e+00  0.00e+00  1.97e+38  5.77e-13  2.96e+11  7.74e+05  7.74e+05 -3.68e+02  4.14e+02  8.04e+05  8.03e+05  3.28e-01  6.28e+41  6.28e+41  6.28e+41  1.10e+07  1.48e+07  1.09e+07  6.99e-01  0.00e+00  0.00e+00 
7.004e+12   10      0        0  4.58e+09  0.00e+00  0.00e+00  2.29e+38  5.30e-13  2.72e+11  7.47e+05  7.47e+05 -2.75e+02 -1.94e+02  7.79e+05  7.78e+05  3.20e-01  5.57e+41  5.57e+41  5.57e+41  1.10e+07  1.44e+07  1.09e+07  7.69e-01  0.00e+00  0.00e+00 
7.353e+12   11      0        0  5.26e+09  0.00e+00  0.00e+00  2.66e+38  4.94e-13  2.53e+11  7.21e+05  7.21e+05  2.49e+02 -4.92e+02  7.54e+05  7.54e+05  3.15e-01  5.04e+41  5.04e+41  5.04e+41  1.10e+07  1.39e+07  1.09e+07  4.90e-01  0.00e+00  0.00e+00 
7.719e+12   12      0        0  5.90e+09  0.00e+00  0.00e+00  3.09e+38  4.62e-13  2.37e+11  6.96e+05  6.95e+05 -2.00e+02 -3.94e+02  7.30e+05  7.30e+05  3.12e-01  4.60e+41  4.60e+41  4.59e+41  1.10e+07  1.34e+07  1.09e+07  7.69e-01  0.00e+00  0.00e+00 
8.103e+12   13      0        0  6.53e+09  0.00e+00  0.00e+00  3.59e+38  4.41e-13  2.26e+11  6.71e+05  6.71e+05 -1.01e+02 -4.27e+02  7.07e+05  7.07e+05  3.10e-01  4.29e+41  4.29e+41  4.29e+41  1.11e+07  1.27e+07  1.10e+07  7.69e-01  0.00e+00  0.00e+00 
8.506e+12   14      0        0  7.12e+09  0.00e+00  0.00e+00  4.17e+38  4.27e-13  2.19e+11  6.47e+05  6.47e+05  1.19e+02 -1.95e+02  6.85e+05  6.85e+05  3.09e-01  4.09e+41  4.09e+41  4.09e+41  1.12e+07  1.20e+07  1.10e+07  4.90e-01  0.00e+00  0.00e+00 
8.929e+12   15      0        0  7.69e+09  0.00e+00  0.00e+00  4.85e+38  4.18e-13  2.14e+11  6.23e+05  6.23e+05 -1.40e+02 -2.95e+02  6.63e+05  6.63e+05  3.10e-01  3.94e+41  3.94e+41  3.94e+41  1.13e+07  1.12e+07  1.11e+07  7.69e-01  0.00e+00  0.00e+00 
9.373e+12   16      0        0  8.29e+09  0.00e+00  0.00e+00  5.64e+38  4.09e-13  2.10e+11  5.99e+05  5.99e+05 -2.60e+02 -7.80e+01  6.41e+05  6.41e+05  3.13e-01  3.82e+41  3.82e+41  3.82e+41  1.14e+07  1.04e+07  1.12e+07  7.69e-01  0.00e+00  0.00e+00 
9.839e+12   17      0        0  8.85e+09  0.00e+00  0.00e+00  6.57e+38  4.07e-13  2.09e+11  5.77e+05  5.77e+05 -3.18e+02 -4.63e+01  6.21e+05  6.21e+05  3.16e-01  3.79e+41  3.79e+41  3.79e+41  1.16e+07  9.64e+06  1.13e+07  7.69e-01  0.00e+00  0.00e+00 
1.033e+13   18      0        0  9.37e+09  0.00e+00  0.00e+00  7.64e+38  4.11e-13  2.11e+11  5.56e+05  5.57e+05 -9.62e+01  1.42e+02  6.01e+05  6.01e+05  3.20e-01  3.82e+41  3.82e+41  3.82e+41  1.17e+07  8.80e+06  1.15e+07  6.99e-01  0.00e+00  0.00e+00 
1.084e+13   19      0        0  9.84e+09  0.00e+00  0.00e+00  8.89e+38  4.22e-13  2.16e+11  5.36e+05  5.36e+05 -1.76e+02  5.96e+01  5.82e+05  5.82e+05  3.26e-01  3.92e+41  3.92e+41  3.92e+41  1.19e+07  7.94e+06  1.16e+07  8.00e-01  0.00e+00  0.00e+00 
1.138e+13   20      0        0  1.03e+10  0.00e+00  0.00e+00  1.04e+39  4.31e-13  2.21e+11  5.16e+05  5.16e+05 -4.17e+02  2.73e+02  5.63e+05  5.63e+05  3.32e-01  4.01e+41  4.01e+41  4.01e+41  1.21e+07  7.19e+06  1.17e+07  8.00e-01  0.00e+00  0.00e+00 
1.195e+13   21      0        0  1.08e+10  0.00e+00  0.00e+00  1.20e+39  4.46e-13  2.29e+11  4.97e+05  4.97e+05 -2.25e+02 -2.68e+02  5.46e+05  5.46e+05  3.38e-01  4.17e+41  4.17e+41  4.17e+41  1.22e+07  6.44e+06  1.19e+07  7.69e-01  0.00e+00  0.00e+00 
1.254e+13   22      0        0  1.12e+10  0.00e+00  0.00e+00  1.40e+39  4.64e-13  2.38e+11  4.80e+05  4.79e+05 -1.72e+02 -2.38e+02  5.29e+05  5.29e+05  3.43e-01  4.36e+41  4.36e+41  4.36e+41  1.24e+07  5.73e+06  1.20e+07  7.69e-01  0.00e+00  0.00e+00 
1.317e+13   23      0        0  1.16e+10  0.00e+00  0.00e+00  1.63e+39  4.83e-13  2.48e+11  4.62e+05  4.62e+05 -9.72e+01 -1.41e+02  5.12e+05  5.12e+05  3.49e-01  4.57e+41  4.57e+41  4.57e+41  1.26e+07  5.10e+06  1.21e+07  7.69e-01  0.00e+00  0.00e+00 
1.382e+13   24      0        0  1.20e+10  0.00e+00  0.00e+00  1.90e+39  5.00e-13  2.57e+11  4.46e+05  4.45e+05 -3.68e+02  2.96e+02  4.96e+05  4.95e+05  3.56e-01  4.76e+41  4.76e+41  4.76e+41  1.27e+07  4.56e+06  1.23e+07  8.00e-01  0.00e+00  0.00e+00 
