 i            r          v_r          rho          t_e          t_r
-- ------------ ------------ ------------ ------------ ------------
 0 4.544276e+12 1.192190e+08 0.000000e+00 0.000000e+00 0.000000e+00
 1 4.794401e+12 3.595016e+08 1.172420e-12 4.677672e+05 5.197413e+05
 2 5.058295e+12 6.463426e+08 1.042378e-12 4.547275e+05 5.052527e+05
 3 5.336713e+12 1.013744e+09 9.216874e-13 4.428715e+05 4.920794e+05
 4 5.630456e+12 1.445255e+09 8.136077e-13 4.313863e+05 4.793182e+05
 5 5.940368e+12 1.958461e+09 7.162904e-13 4.196550e+05 4.662834e+05
 6 6.267337e+12 2.588202e+09 6.358237e-13 4.084769e+05 4.538633e+05
 7 6.612304e+12 3.341795e+09 5.717882e-13 3.982965e+05 4.425517e+05
 8 6.976258e+12 4.170526e+09 5.220842e-13 3.884239e+05 4.315821e+05
 9 7.360245e+12 4.926565e+09 4.843832e-13 3.785267e+05 4.205853e+05
10 7.765367e+12 5.659940e+09 4.558054e-13 3.697824e+05 4.108694e+05
11 8.192788e+12 6.380293e+09 4.354098e-13 3.610035e+05 4.011150e+05
12 8.643735e+12 7.031752e+09 4.223404e-13 3.523301e+05 3.914778e+05
13 9.119503e+12 7.668252e+09 4.154386e-13 3.444699e+05 3.827443e+05
14 9.621459e+12 8.349154e+09 4.142302e-13 3.369989e+05 3.744432e+05
15 1.015104e+13 8.972579e+09 4.195721e-13 3.288858e+05 3.654286e+05
16 1.070978e+13 9.514173e+09 4.313236e-13 3.208804e+05 3.565337e+05
17 1.129926e+13 1.005399e+10 4.472397e-13 3.137997e+05 3.486663e+05
18 1.192120e+13 1.063134e+10 4.684561e-13 3.073094e+05 3.414548e+05
19 1.257736e+13 1.111218e+10 4.942143e-13 2.996502e+05 3.329447e+05
20 1.326965e+13 1.151061e+10 5.208880e-13 2.912316e+05 3.235907e+05
21 1.400003e+13 1.195936e+10 5.491292e-13 2.850175e+05 3.166862e+05
22 1.477062e+13 1.240392e+10 5.771402e-13 2.789867e+05 3.099853e+05
23 1.558363e+13 1.273044e+10 6.042361e-13 2.713875e+05 3.015417e+05
24 1.644138e+13 1.303431e+10 6.293089e-13 2.641523e+05 2.935025e+05
25 1.734634e+13 1.336466e+10 6.514659e-13 2.584451e+05 2.871612e+05
26 1.830112e+13 1.365129e+10 6.700241e-13 2.526102e+05 2.806780e+05
27 1.930845e+13 1.386814e+10 6.854462e-13 2.456450e+05 2.729389e+05
28 2.037123e+13 1.406372e+10 6.975089e-13 2.394859e+05 2.660954e+05
29 2.149250e+13 1.425680e+10 7.053276e-13 2.340750e+05 2.600834e+05
30 2.267549e+13 1.437822e+10 7.098729e-13 2.282309e+05 2.535899e+05
31 2.392359e+13 1.446934e+10 7.115984e-13 2.221303e+05 2.468115e+05
32 2.524039e+13 1.453901e+10 7.100116e-13 2.169891e+05 2.410990e+05
33 2.662967e+13 1.455571e+10 7.055674e-13 2.117753e+05 2.353058e+05
34 2.809542e+13 1.452519e+10 6.987843e-13 2.062434e+05 2.291594e+05
35 2.964185e+13 1.447181e+10 6.895851e-13 2.008004e+05 2.231115e+05
36 3.127339e+13 1.434989e+10 6.775411e-13 1.957026e+05 2.174474e+05
37 3.299474e+13 1.417255e+10 6.630757e-13 1.903127e+05 2.114585e+05
38 3.481084e+13 1.395123e+10 6.468645e-13 1.848255e+05 2.053616e+05
39 3.672690e+13 1.366455e+10 6.293603e-13 1.795482e+05 1.994980e+05
40 3.874842e+13 1.332704e+10 6.107769e-13 1.741790e+05 1.935322e+05
41 4.088120e+13 1.294682e+10 5.912118e-13 1.685282e+05 1.872535e+05
42 4.313139e+13 1.254715e+10 5.708904e-13 1.632151e+05 1.813501e+05
43 4.550542e+13 1.212595e+10 5.488485e-13 1.577837e+05 1.753153e+05
44 4.801013e+13 1.167872e+10 5.252484e-13 1.525406e+05 1.694896e+05
45 5.065270e+13 1.124599e+10 5.013072e-13 1.473158e+05 1.636842e+05
46 5.344072e+13 1.080095e+10 4.773610e-13 1.418278e+05 1.575865e+05
47 5.638221e+13 1.037420e+10 4.524522e-13 1.368055e+05 1.520061e+05
48 5.948559e+13 9.974884e+09 4.278843e-13 1.320549e+05 1.467276e+05
49 6.275980e+13 9.580364e+09 4.039018e-13 1.273233e+05 1.414704e+05
50 6.621422e+13 9.199374e+09 3.800998e-13 1.228182e+05 1.364647e+05
51 6.985878e+13 8.835913e+09 3.567331e-13 1.186997e+05 1.318885e+05
52 7.370394e+13 8.487245e+09 3.342950e-13 1.147220e+05 1.274689e+05
53 7.776075e+13 8.147776e+09 3.128318e-13 1.110385e+05 1.233761e+05
54 8.204086e+13 7.822446e+09 2.921528e-13 1.076657e+05 1.196286e+05
55 8.655655e+13 7.517181e+09 2.723832e-13 1.046118e+05 1.162353e+05
56 9.132079e+13 7.225371e+09 2.536771e-13 1.018840e+05 1.132045e+05
57 9.634727e+13 6.954823e+09 2.359779e-13 9.932817e+04 1.103646e+05
58 1.016504e+14 6.698576e+09 2.198224e-13 9.686525e+04 1.076281e+05
59 1.072454e+14 6.449817e+09 2.044427e-13 9.468577e+04 1.052064e+05
60 1.131484e+14 6.220273e+09 1.898530e-13 9.272128e+04 1.030236e+05
61 1.193764e+14 6.012797e+09 1.766416e-13 9.079865e+04 1.008874e+05
62 1.259471e+14 5.817650e+09 1.644346e-13 8.894554e+04 9.882838e+04
