        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.268e+13    0     -1        0  1.44e+10  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13    1      0        0  1.45e+10  0.00e+00  0.00e+00  1.14e+40  6.23e-13  3.19e+11  1.33e+05  1.33e+05 -1.01e+01 -9.29e+01  1.46e+05  1.46e+05  1.41e+00  3.39e+40  3.39e+40  3.39e+40  1.34e+07  2.81e+05  1.26e+07  8.00e-01  0.00e+00  1.08e+40 
2.524e+13    2      0        0  1.45e+10  0.00e+00  0.00e+00  1.34e+40  6.21e-13  3.18e+11  1.25e+05  1.25e+05 -2.79e+00 -1.92e+01  1.33e+05  1.33e+05  1.69e+00  3.15e+40  3.15e+40  3.15e+40  1.36e+07  2.47e+05  1.26e+07  2.46e-01  0.00e+00  0.00e+00 
2.663e+13    3      0        0  1.46e+10  0.00e+00  0.00e+00  1.58e+40  6.17e-13  3.16e+11  1.21e+05  1.21e+05  5.00e+00 -3.08e+01  1.26e+05  1.26e+05  1.83e+00  3.09e+40  3.09e+40  3.09e+40  1.39e+07  2.20e+05  1.26e+07  1.56e-01  1.69e+39  0.00e+00 
2.810e+13    4      0        0  1.45e+10  0.00e+00  0.00e+00  1.85e+40  6.12e-13  3.13e+11  1.18e+05  1.18e+05  1.27e+02 -1.86e+02  1.20e+05  1.20e+05  1.93e+00  3.09e+40  3.09e+40  3.09e+40  1.42e+07  1.97e+05  1.26e+07  5.22e-01  0.00e+00  0.00e+00 
2.964e+13    5      0        0  1.45e+10  0.00e+00  0.00e+00  2.17e+40  6.05e-13  3.10e+11  1.15e+05  1.15e+05  1.23e+02 -2.03e+02  1.15e+05  1.15e+05  2.00e+00  3.11e+40  3.11e+40  3.11e+40  1.45e+07  1.77e+05  1.27e+07  4.25e-01  3.48e+39  0.00e+00 
3.127e+13    6      0        0  1.43e+10  0.00e+00  0.00e+00  2.54e+40  5.96e-13  3.05e+11  1.13e+05  1.13e+05  5.47e+00 -1.01e+02  1.10e+05  1.10e+05  2.07e+00  3.14e+40  3.14e+40  3.15e+40  1.48e+07  1.60e+05  1.27e+07  2.40e-01  7.95e+39  0.00e+00 
3.299e+13    7      0        0  1.42e+10  0.00e+00  0.00e+00  2.97e+40  5.86e-13  3.00e+11  1.12e+05  1.12e+05  1.35e+01 -3.23e+01  1.06e+05  1.06e+05  2.12e+00  3.20e+40  3.20e+40  3.19e+40  1.51e+07  1.45e+05  1.27e+07  1.53e-01  6.14e+39  3.00e+40 
3.481e+13    8      0        0  1.40e+10  0.00e+00  0.00e+00  3.47e+40  5.74e-13  2.94e+11  1.11e+05  1.11e+05  6.52e+01 -9.47e+01  1.02e+05  1.02e+05  2.17e+00  3.25e+40  3.25e+40  3.25e+40  1.55e+07  1.31e+05  1.27e+07  2.09e-01  4.09e+39  0.00e+00 
3.673e+13    9      0        0  1.37e+10  0.00e+00  0.00e+00  4.05e+40  5.62e-13  2.88e+11  1.10e+05  1.10e+05  8.23e+01  6.17e+00  9.89e+04  9.89e+04  2.21e+00  3.32e+40  3.32e+40  3.32e+40  1.59e+07  1.19e+05  1.27e+07  5.15e-01  7.38e+39  0.00e+00 
