        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
2.268e+13 2.330e+13    0     -1        0  1.44e+10  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13 2.458e+13    1      0        0  1.45e+10  0.00e+00  0.00e+00  1.14e+40  6.23e-13  3.19e+11  1.33e+05  1.46e+05  9.55e-11  2.90e-10  0.00e+00  0.00e+00  7.50e-07 -9.21e+32  1.59e+31 -6.17e+32  2.81e+05  1.34e+07  0.00e+00  1.26e+07 
2.524e+13 2.594e+13    2      0        0  1.45e+10  0.00e+00  0.00e+00  1.34e+40  6.21e-13  3.18e+11  1.25e+05  1.33e+05  9.16e-11  3.11e-10  0.00e+00  0.00e+00  1.78e-06 -1.19e+33  6.43e+30 -7.67e+32  2.47e+05  1.36e+07  0.00e+00  1.26e+07 
2.663e+13 2.736e+13    3      0        0  1.46e+10  0.00e+00  0.00e+00  1.58e+40  6.17e-13  3.16e+11  1.21e+05  1.26e+05  9.78e-11  3.32e-10  0.00e+00  0.00e+00  3.10e-06 -1.25e+33 -2.28e+31 -7.75e+32  2.20e+05  1.39e+07  0.00e+00  1.26e+07 
2.810e+13 2.887e+13    4      0        0  1.45e+10  0.00e+00  0.00e+00  1.85e+40  6.12e-13  3.13e+11  1.18e+05  1.20e+05  9.19e-11  3.66e-10  0.00e+00  0.00e+00  4.84e-06 -1.27e+33  4.99e+31 -8.67e+32  1.97e+05  1.42e+07  0.00e+00  1.26e+07 
2.964e+13 3.046e+13    5      0        0  1.45e+10  0.00e+00  0.00e+00  2.17e+40  6.05e-13  3.10e+11  1.15e+05  1.15e+05  9.47e-11  4.00e-10  0.00e+00  0.00e+00  7.17e-06 -1.26e+33  5.12e+29 -8.03e+32  1.77e+05  1.45e+07  0.00e+00  1.27e+07 
3.127e+13 3.213e+13    6      0        0  1.43e+10  0.00e+00  0.00e+00  2.54e+40  5.96e-13  3.05e+11  1.13e+05  1.10e+05  8.98e-11  4.38e-10  0.00e+00  0.00e+00  1.03e-05 -1.21e+33  4.64e+30 -7.41e+32  1.60e+05  1.48e+07  0.00e+00  1.27e+07 
3.299e+13 3.390e+13    7      0        0  1.42e+10  0.00e+00  0.00e+00  2.97e+40  5.86e-13  3.00e+11  1.12e+05  1.06e+05  8.26e-11  5.22e-10  0.00e+00  0.00e+00  1.43e-05 -1.18e+33 -8.79e+30 -7.39e+32  1.45e+05  1.51e+07  0.00e+00  1.27e+07 
3.481e+13 3.577e+13    8      0        0  1.40e+10  0.00e+00  0.00e+00  3.47e+40  5.74e-13  2.94e+11  1.11e+05  1.02e+05  8.06e-11  6.14e-10  0.00e+00  0.00e+00  1.92e-05 -1.15e+33  2.08e+30 -7.39e+32  1.31e+05  1.55e+07  0.00e+00  1.27e+07 
3.673e+13 3.774e+13    9      0        0  1.37e+10  0.00e+00  0.00e+00  4.05e+40  5.62e-13  2.88e+11  1.10e+05  9.89e+04  7.68e-11  6.93e-10  0.00e+00  0.00e+00  2.51e-05 -1.07e+33  1.95e+31 -6.91e+32  1.19e+05  1.59e+07  0.00e+00  1.27e+07 
