        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
2.475e+13 2.537e+13    0     -1        0  3.48e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.598e+13 2.663e+13    1      0        0  3.24e+08  0.00e+00  0.00e+00  1.15e+40  1.43e-11  7.32e+12  9.14e+05  9.01e+05  9.10e-11  1.24e-10  0.00e+00  0.00e+00  1.00e-20 -3.95e+36  3.43e+34 -2.51e+36  3.23e+06  2.03e+07  0.00e+00  2.03e+07 
2.728e+13 2.795e+13    2      0        0  3.03e+08  0.00e+00  0.00e+00  1.33e+40  1.39e-11  7.11e+12  8.09e+05  7.71e+05  9.17e-11  1.28e-10  0.00e+00  0.00e+00  1.00e-20 -3.15e+36 -5.46e+33 -2.25e+36  3.11e+06  2.11e+07  0.00e+00  2.11e+07 
2.863e+13 2.934e+13    3      0        0  2.87e+08  0.00e+00  0.00e+00  1.54e+40  1.34e-11  6.89e+12  7.30e+05  6.64e+05  1.28e-10  1.16e-10  0.00e+00  0.00e+00  1.00e-20 -2.70e+36  8.92e+33 -1.77e+36  2.98e+06  2.17e+07  0.00e+00  2.17e+07 
3.006e+13 3.080e+13    4      0        0  2.73e+08  0.00e+00  0.00e+00  1.78e+40  1.31e-11  6.71e+12  6.74e+05  5.74e+05  1.06e-10  1.60e-10  0.00e+00  0.00e+00  1.21e-20 -2.14e+36 -2.20e+34 -1.31e+36  2.84e+06  2.22e+07  0.00e+00  2.22e+07 
3.155e+13 3.234e+13    5      0        0  2.56e+08  0.00e+00  0.00e+00  2.06e+40  1.27e-11  6.53e+12  6.38e+05  4.99e+05  1.14e-10  1.72e-10  0.00e+00  0.00e+00  4.76e-19 -1.91e+36  2.51e+34 -1.26e+36  2.70e+06  2.27e+07  0.00e+00  2.27e+07 
3.312e+13 3.395e+13    6      0        0  2.44e+08  0.00e+00  0.00e+00  2.39e+40  1.24e-11  6.35e+12  6.18e+05  4.37e+05  1.03e-10  1.47e-10  0.00e+00  0.00e+00  2.36e-17 -1.52e+36  4.34e+33 -1.03e+36  2.56e+06  2.32e+07  0.00e+00  2.31e+07 
3.477e+13 3.563e+13    7      0        0  2.32e+08  0.00e+00  0.00e+00  2.76e+40  1.22e-11  6.26e+12  6.15e+05  3.83e+05  8.49e-11  1.24e-10  0.00e+00  0.00e+00  1.61e-15 -1.34e+36  2.97e+34 -7.96e+35  2.40e+06  2.36e+07  0.00e+00  2.35e+07 
3.650e+13 3.741e+13    8      0        0  2.25e+08  0.00e+00  0.00e+00  3.19e+40  1.21e-11  6.18e+12  6.22e+05  3.37e+05  8.92e-11  1.31e-10  0.00e+00  0.00e+00  1.55e-13 -1.29e+36 -2.08e+34 -8.13e+35  2.23e+06  2.39e+07  0.00e+00  2.38e+07 
3.832e+13 3.927e+13    9      0        0  2.17e+08  0.00e+00  0.00e+00  3.69e+40  1.20e-11  6.16e+12  6.38e+05  2.99e+05  8.58e-11  1.80e-10  0.00e+00  0.00e+00  1.22e-11 -1.13e+36  1.15e+34 -7.00e+35  2.04e+06  2.42e+07  0.00e+00  2.41e+07 
4.022e+13 4.122e+13   10      0        0  2.12e+08  0.00e+00  0.00e+00  4.27e+40  1.19e-11  6.10e+12  6.57e+05  2.65e+05  6.84e-11  1.34e-10  0.00e+00  0.00e+00  1.57e-09 -9.91e+35  1.45e+34 -6.25e+35  1.88e+06  2.44e+07  0.00e+00  2.43e+07 
