        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.475e+13    0     -1        0  3.48e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.598e+13    1      0        0  3.24e+08  0.00e+00  0.00e+00  1.15e+40  1.43e-11  7.32e+12  9.14e+05  9.14e+05 -1.98e+01 -1.51e+02  9.01e+05  9.01e+05  1.31e+00  6.78e+45  6.78e+45  6.78e+45  2.03e+07  3.23e+06  2.03e+07  7.45e-01  0.00e+00  0.00e+00 
2.728e+13    2      0        0  3.03e+08  0.00e+00  0.00e+00  1.33e+40  1.39e-11  7.11e+12  8.09e+05  8.09e+05  3.87e+01  8.46e+00  7.71e+05  7.71e+05  1.92e+00  5.29e+45  5.29e+45  5.29e+45  2.11e+07  3.11e+06  2.11e+07  2.38e-01  0.00e+00  0.00e+00 
2.863e+13    3      0        0  2.87e+08  0.00e+00  0.00e+00  1.54e+40  1.34e-11  6.89e+12  7.30e+05  7.30e+05 -4.57e+01  7.42e+00  6.64e+05  6.64e+05  2.77e+00  4.24e+45  4.24e+45  4.24e+45  2.17e+07  2.98e+06  2.17e+07  2.95e-01  0.00e+00  0.00e+00 
3.006e+13    4      0        0  2.73e+08  0.00e+00  0.00e+00  1.78e+40  1.31e-11  6.71e+12  6.74e+05  6.74e+05 -3.91e+01 -5.07e+01  5.74e+05  5.75e+05  3.95e+00  3.53e+45  3.53e+45  3.53e+45  2.22e+07  2.84e+06  2.22e+07  1.10e-01  0.00e+00  0.00e+00 
3.155e+13    5      0        0  2.56e+08  0.00e+00  0.00e+00  2.06e+40  1.27e-11  6.53e+12  6.38e+05  6.38e+05 -8.17e+01 -1.55e+02  4.99e+05  5.00e+05  5.58e+00  3.03e+45  3.03e+45  3.03e+45  2.27e+07  2.70e+06  2.27e+07  2.62e-01  0.00e+00  0.00e+00 
3.312e+13    6      0        0  2.44e+08  0.00e+00  0.00e+00  2.39e+40  1.24e-11  6.35e+12  6.18e+05  6.19e+05  9.84e+01 -1.34e+03  4.37e+05  4.37e+05  7.78e+00  2.69e+45  2.69e+45  2.70e+45  2.32e+07  2.56e+06  2.31e+07  3.92e-01  0.00e+00  0.00e+00 
3.477e+13    7      0        0  2.32e+08  0.00e+00  0.00e+00  2.76e+40  1.22e-11  6.26e+12  6.15e+05  6.15e+05 -2.49e+02 -3.21e+02  3.83e+05  3.83e+05  1.08e+01  2.50e+45  2.50e+45  2.50e+45  2.36e+07  2.40e+06  2.35e+07  4.22e-01  0.00e+00  0.00e+00 
3.650e+13    8      0        0  2.25e+08  0.00e+00  0.00e+00  3.19e+40  1.21e-11  6.18e+12  6.22e+05  6.22e+05 -1.22e+03 -3.72e+02  3.37e+05  3.38e+05  1.47e+01  2.39e+45  2.39e+45  2.39e+45  2.39e+07  2.23e+06  2.38e+07  5.17e-01  0.00e+00  0.00e+00 
3.832e+13    9      0        0  2.17e+08  0.00e+00  0.00e+00  3.69e+40  1.20e-11  6.16e+12  6.38e+05  6.38e+05 -8.35e+02 -2.83e+02  2.99e+05  2.99e+05  1.99e+01  2.34e+45  2.34e+45  2.34e+45  2.42e+07  2.04e+06  2.41e+07  2.58e-01  0.00e+00  0.00e+00 
4.022e+13   10      0        0  2.12e+08  0.00e+00  0.00e+00  4.27e+40  1.19e-11  6.10e+12  6.57e+05  6.58e+05 -9.34e+02  1.63e+02  2.65e+05  2.66e+05  2.66e+01  2.30e+45  2.30e+45  2.30e+45  2.44e+07  1.88e+06  2.43e+07  3.84e-01  0.00e+00  0.00e+00 
4.222e+13   11      0        0  2.05e+08  0.00e+00  0.00e+00  4.94e+40  1.18e-11  6.03e+12  6.77e+05  6.78e+05 -1.15e+03  1.51e+02  2.37e+05  2.38e+05  3.47e+01  2.26e+45  2.26e+45  2.27e+45  2.45e+07  1.72e+06  2.43e+07  4.46e-01  0.00e+00  0.00e+00 
4.432e+13   12      0        0  1.99e+08  0.00e+00  0.00e+00  5.72e+40  1.17e-11  5.99e+12  6.93e+05  6.94e+05 -1.52e+03 -2.58e+02  2.14e+05  2.14e+05  4.40e+01  2.22e+45  2.22e+45  2.23e+45  2.45e+07  1.56e+06  2.42e+07  2.95e-01  0.00e+00  0.00e+00 
4.653e+13   13      0        0  1.95e+08  0.00e+00  0.00e+00  6.62e+40  1.16e-11  5.92e+12  7.01e+05  7.02e+05 -2.23e+03 -7.51e+02  1.94e+05  1.95e+05  5.41e+01  2.16e+45  2.16e+45  2.16e+45  2.43e+07  1.42e+06  2.40e+07  4.02e-01  0.00e+00  0.00e+00 
4.884e+13   14      0        0  1.93e+08  0.00e+00  0.00e+00  7.65e+40  1.13e-11  5.80e+12  7.00e+05  7.01e+05 -2.81e+03 -1.13e+03  1.78e+05  1.78e+05  6.44e+01  2.04e+45  2.04e+45  2.04e+45  2.39e+07  1.28e+06  2.36e+07  5.22e-01  0.00e+00  0.00e+00 
5.127e+13   15      0        0  1.94e+08  0.00e+00  0.00e+00  8.85e+40  1.11e-11  5.68e+12  6.90e+05  6.91e+05 -8.83e+02 -5.17e+02  1.64e+05  1.64e+05  7.41e+01  1.89e+45  1.89e+45  1.90e+45  2.35e+07  1.16e+06  2.31e+07  5.22e-01  0.00e+00  0.00e+00 
5.382e+13   16      0        0  1.98e+08  0.00e+00  0.00e+00  1.02e+41  1.09e-11  5.57e+12  6.70e+05  6.71e+05 -1.20e+01 -2.41e+02  1.52e+05  1.52e+05  8.30e+01  1.74e+45  1.74e+45  1.74e+45  2.29e+07  1.04e+06  2.24e+07  1.52e-01  0.00e+00  0.00e+00 
5.650e+13   17      0        0  2.06e+08  0.00e+00  0.00e+00  1.18e+41  1.05e-11  5.38e+12  6.41e+05  6.41e+05 -1.91e+02 -2.56e+02  1.42e+05  1.43e+05  9.00e+01  1.55e+45  1.55e+45  1.55e+45  2.22e+07  9.38e+05  2.17e+07  2.44e-01  0.00e+00  0.00e+00 
5.931e+13   18      0        0  2.16e+08  0.00e+00  0.00e+00  1.37e+41  9.99e-12  5.11e+12  6.07e+05  6.07e+05 -2.27e+02 -2.56e+02  1.34e+05  1.34e+05  9.48e+01  1.34e+45  1.34e+45  1.34e+45  2.15e+07  8.58e+05  2.09e+07  1.64e-01  0.00e+00  0.00e+00 
6.226e+13   19      0        0  2.27e+08  0.00e+00  0.00e+00  1.59e+41  9.42e-12  4.83e+12  5.70e+05  5.70e+05 -5.94e+02 -4.82e+02  1.27e+05  1.27e+05  9.74e+01  1.14e+45  1.14e+45  1.14e+45  2.07e+07  7.86e+05  2.01e+07  2.95e-01  0.00e+00  0.00e+00 
6.536e+13   20      0        0  2.40e+08  0.00e+00  0.00e+00  1.83e+41  8.82e-12  4.52e+12  5.33e+05  5.33e+05 -6.77e+01 -4.01e+01  1.21e+05  1.22e+05  9.81e+01  9.62e+44  9.62e+44  9.62e+44  1.99e+07  7.23e+05  1.92e+07  1.20e-01  0.00e+00  0.00e+00 
6.861e+13   21      0        0  2.53e+08  0.00e+00  0.00e+00  2.12e+41  8.00e-12  4.10e+12  4.97e+05  4.97e+05 -6.09e+02 -8.50e+02  1.16e+05  1.16e+05  9.69e+01  7.87e+44  7.87e+44  7.87e+44  1.91e+07  6.89e+05  1.84e+07  4.64e-01  0.00e+00  0.00e+00 
7.203e+13   22      0        0  2.67e+08  0.00e+00  0.00e+00  2.45e+41  7.20e-12  3.69e+12  4.63e+05  4.64e+05 -1.54e+02 -9.55e+02  1.12e+05  1.12e+05  9.45e+01  6.42e+44  6.42e+44  6.43e+44  1.84e+07  6.63e+05  1.77e+07  8.00e-01  0.00e+00  0.00e+00 
7.561e+13   23      0        0  2.80e+08  0.00e+00  0.00e+00  2.84e+41  6.48e-12  3.32e+12  4.32e+05  4.33e+05 -6.54e+02 -9.77e+01  1.08e+05  1.09e+05  9.12e+01  5.29e+44  5.29e+44  5.29e+44  1.78e+07  6.40e+05  1.70e+07  5.22e-01  0.00e+00  0.00e+00 
7.937e+13   24      0        0  2.90e+08  0.00e+00  0.00e+00  3.28e+41  5.78e-12  2.96e+12  4.04e+05  4.05e+05 -3.03e+02  2.93e+02  1.05e+05  1.06e+05  8.71e+01  4.36e+44  4.36e+44  4.37e+44  1.73e+07  6.26e+05  1.64e+07  2.58e-01  0.00e+00  0.00e+00 
8.332e+13   25      0        0  2.97e+08  0.00e+00  0.00e+00  3.80e+41  5.08e-12  2.60e+12  3.77e+05  3.78e+05 -1.21e+03  9.55e+02  1.03e+05  1.03e+05  8.27e+01  3.59e+44  3.59e+44  3.59e+44  1.69e+07  6.27e+05  1.60e+07  8.00e-01  0.00e+00  0.00e+00 
8.746e+13   26      0        0  3.00e+08  0.00e+00  0.00e+00  4.39e+41  4.51e-12  2.31e+12  3.54e+05  3.54e+05 -3.59e+02  5.76e+02  1.01e+05  1.01e+05  7.77e+01  3.02e+44  3.02e+44  3.02e+44  1.66e+07  6.24e+05  1.57e+07  2.69e-01  0.00e+00  0.00e+00 
9.181e+13   27      0        0  3.01e+08  0.00e+00  0.00e+00  5.08e+41  4.06e-12  2.08e+12  3.31e+05  3.31e+05 -6.24e+02  1.04e+03  9.97e+04  1.00e+05  7.24e+01  2.59e+44  2.59e+44  2.60e+44  1.64e+07  6.18e+05  1.54e+07  4.46e-01  0.00e+00  0.00e+00 
9.638e+13   28      0        0  2.97e+08  0.00e+00  0.00e+00  5.88e+41  3.62e-12  1.85e+12  3.10e+05  3.10e+05 -1.41e+02  4.13e+02  9.87e+04  9.89e+04  6.71e+01  2.23e+44  2.23e+44  2.24e+44  1.62e+07  6.21e+05  1.53e+07  2.58e-01  0.00e+00  0.00e+00 
1.012e+14   29      0        0  2.89e+08  0.00e+00  0.00e+00  6.80e+41  3.25e-12  1.67e+12  2.91e+05  2.91e+05 -7.94e+01  2.51e+02  9.80e+04  9.82e+04  6.18e+01  1.95e+44  1.95e+44  1.96e+44  1.61e+07  6.21e+05  1.52e+07  1.64e-01  0.00e+00  0.00e+00 
1.062e+14   30      0        0  2.81e+08  0.00e+00  0.00e+00  7.87e+41  2.95e-12  1.51e+12  2.73e+05  2.74e+05 -7.18e+02  2.49e+02  9.76e+04  9.77e+04  5.67e+01  1.74e+44  1.74e+44  1.74e+44  1.61e+07  6.18e+05  1.51e+07  8.00e-01  0.00e+00  0.00e+00 
1.115e+14   31      0        0  2.68e+08  0.00e+00  0.00e+00  9.10e+41  2.69e-12  1.38e+12  2.58e+05  2.58e+05 -1.03e+02  1.74e+02  9.74e+04  9.75e+04  5.16e+01  1.56e+44  1.56e+44  1.56e+44  1.61e+07  6.13e+05  1.51e+07  2.58e-01  0.00e+00  0.00e+00 
1.170e+14   32      0        0  2.55e+08  0.00e+00  0.00e+00  1.05e+42  2.45e-12  1.26e+12  2.43e+05  2.43e+05 -1.93e+01  7.61e+01  9.74e+04  9.75e+04  4.69e+01  1.41e+44  1.41e+44  1.41e+44  1.62e+07  6.11e+05  1.52e+07  1.15e-01  0.00e+00  0.00e+00 
1.229e+14   33      0        0  2.41e+08  0.00e+00  0.00e+00  1.22e+42  2.25e-12  1.15e+12  2.30e+05  2.30e+05 -5.59e+01  5.31e+01  9.76e+04  9.77e+04  4.26e+01  1.29e+44  1.29e+44  1.30e+44  1.62e+07  6.08e+05  1.53e+07  1.81e-01  0.00e+00  0.00e+00 
1.290e+14   34      0        0  2.23e+08  0.00e+00  0.00e+00  1.41e+42  2.08e-12  1.07e+12  2.17e+05  2.18e+05 -5.06e+02 -1.41e+02  9.78e+04  9.79e+04  3.85e+01  1.20e+44  1.20e+44  1.20e+44  1.63e+07  5.99e+05  1.54e+07  6.16e-01  0.00e+00  0.00e+00 
