        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
2.268e+13    0     -1        0  5.55e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13    1      0        0  5.24e+09  0.00e+00  0.00e+00 -1.01e-05 -2.46e-11 -2.33e-04  0.00e+00  2.22e-04  0.00e+00 -2.33e-04 -2.46e-11 -1.01e-05  1.80e-04  2.51e-04  1.02e+00  1.00e+05 
2.524e+13    2      0        0  4.92e+09  0.00e+00  0.00e+00 -1.42e-05 -1.93e-11 -2.12e-04  0.00e+00  1.98e-04  0.00e+00 -2.12e-04 -1.93e-11 -1.42e-05  1.60e-04  2.34e-04  1.01e+00  1.00e+05 
2.663e+13    3      0        0  4.63e+09  0.00e+00  0.00e+00 -1.40e-05 -1.51e-11 -1.90e-04  0.00e+00  1.76e-04  0.00e+00 -1.90e-04 -1.51e-11 -1.40e-05  1.37e-04  2.10e-04  1.01e+00  1.00e+05 
2.810e+13    4      0        0  4.34e+09  0.00e+00  0.00e+00 -1.67e-05 -1.18e-11 -1.73e-04  0.00e+00  1.56e-04  0.00e+00 -1.73e-04 -1.18e-11 -1.67e-05  1.10e-04  1.95e-04  1.01e+00  1.00e+05 
2.964e+13    5      0        0  4.06e+09  0.00e+00  0.00e+00 -1.98e-05 -9.07e-12 -1.58e-04  0.00e+00  1.38e-04  0.00e+00 -1.58e-04 -9.07e-12 -1.98e-05  8.83e-05  1.82e-04  1.01e+00  1.00e+05 
3.127e+13    6      0        0  3.78e+09  0.00e+00  0.00e+00 -1.78e-05 -6.92e-12 -1.40e-04  0.00e+00  1.22e-04  0.00e+00 -1.40e-04 -6.92e-12 -1.78e-05  8.57e-05  1.62e-04  1.01e+00  1.00e+05 
3.299e+13    7      0        0  3.53e+09  0.00e+00  0.00e+00 -1.25e-05 -5.34e-12 -1.20e-04  0.00e+00  1.08e-04  0.00e+00 -1.20e-04 -5.34e-12 -1.25e-05  8.09e-05  1.36e-04  1.01e+00  1.00e+05 
3.481e+13    8      0        0  3.31e+09  0.00e+00  0.00e+00 -1.13e-05 -4.16e-12 -1.07e-04  0.00e+00  9.57e-05  0.00e+00 -1.07e-04 -4.16e-12 -1.13e-05  6.56e-05  1.20e-04  1.01e+00  1.00e+05 
3.673e+13    9      0        0  3.09e+09  0.00e+00  0.00e+00 -8.48e-06 -3.20e-12 -9.31e-05  0.00e+00  8.46e-05  0.00e+00 -9.31e-05 -3.20e-12 -8.48e-06  7.10e-05  1.05e-04  1.01e+00  1.00e+05 
3.875e+13   10      0        0  2.91e+09  0.00e+00  0.00e+00 -3.71e-06 -2.53e-12 -7.92e-05  0.00e+00  7.55e-05  0.00e+00 -7.92e-05 -2.53e-12 -3.71e-06  6.58e-05  8.46e-05  1.00e+00  1.00e+05 
4.088e+13   11      0        0  2.75e+09  0.00e+00  0.00e+00 -3.11e-07 -2.02e-12 -6.78e-05  0.00e+00  6.75e-05  0.00e+00 -6.78e-05 -2.02e-12 -3.11e-07  6.89e-05  7.01e-05  1.00e+00  1.00e+05 
4.313e+13   12      0        0  2.61e+09  0.00e+00  0.00e+00  4.58e-06 -1.64e-12 -5.62e-05  0.00e+00  6.08e-05  0.00e+00 -5.62e-05 -1.64e-12  4.58e-06  7.19e-05  6.08e-05  1.00e+00  1.00e+05 
4.551e+13   13      0        0  2.51e+09  0.00e+00  0.00e+00  6.93e-06 -1.38e-12 -4.84e-05  0.00e+00  5.53e-05  0.00e+00 -4.84e-05 -1.38e-12  6.93e-06  6.67e-05  5.53e-05  1.00e+00  1.00e+05 
4.801e+13   14      0        0  2.41e+09  0.00e+00  0.00e+00  9.38e-06 -1.16e-12 -4.10e-05  0.00e+00  5.04e-05  0.00e+00 -4.10e-05 -1.16e-12  9.38e-06  7.23e-05  5.04e-05  1.00e+00  1.00e+05 
5.065e+13   15      0        0  2.35e+09  0.00e+00  0.00e+00  1.14e-05 -1.01e-12 -3.50e-05  0.00e+00  4.65e-05  0.00e+00 -3.50e-05 -1.01e-12  1.14e-05  6.65e-05  4.65e-05  1.00e+00  1.00e+05 
5.344e+13   16      0        0  2.28e+09  0.00e+00  0.00e+00  1.16e-05 -8.82e-13 -3.13e-05  0.00e+00  4.29e-05  0.00e+00 -3.13e-05 -8.82e-13  1.16e-05  6.58e-05  4.29e-05  1.00e+00  1.00e+05 
5.638e+13   17      0        0  2.23e+09  0.00e+00  0.00e+00  1.31e-05 -7.83e-13 -2.66e-05  0.00e+00  3.97e-05  0.00e+00 -2.66e-05 -7.83e-13  1.31e-05  6.65e-05  3.97e-05  1.00e+00  1.00e+05 
5.949e+13   18      0        0  2.20e+09  0.00e+00  0.00e+00  1.35e-05 -7.11e-13 -2.36e-05  0.00e+00  3.71e-05  0.00e+00 -2.36e-05 -7.11e-13  1.35e-05  6.19e-05  3.71e-05  1.00e+00  1.00e+05 
6.276e+13   19      0        0  2.17e+09  0.00e+00  0.00e+00  1.41e-05 -6.45e-13 -2.06e-05  0.00e+00  3.47e-05  0.00e+00 -2.06e-05 -6.45e-13  1.41e-05  6.41e-05  3.47e-05  1.00e+00  1.00e+05 
6.621e+13   20      0        0  2.16e+09  0.00e+00  0.00e+00  1.51e-05 -6.02e-13 -1.76e-05  0.00e+00  3.27e-05  0.00e+00 -1.76e-05 -6.02e-13  1.51e-05  6.18e-05  3.27e-05  1.00e+00  1.00e+05 
6.986e+13   21      0        0  2.15e+09  0.00e+00  0.00e+00  1.51e-05 -5.65e-13 -1.58e-05  0.00e+00  3.09e-05  0.00e+00 -1.58e-05 -5.65e-13  1.51e-05  6.04e-05  3.09e-05  1.00e+00  1.00e+05 
7.370e+13   22      0        0  2.15e+09  0.00e+00  0.00e+00  1.54e-05 -5.37e-13 -1.39e-05  0.00e+00  2.93e-05  0.00e+00 -1.39e-05 -5.37e-13  1.54e-05  5.98e-05  2.93e-05  1.00e+00  1.00e+05 
7.776e+13   23      0        0  2.16e+09  0.00e+00  0.00e+00  1.51e-05 -5.17e-13 -1.28e-05  0.00e+00  2.79e-05  0.00e+00 -1.28e-05 -5.17e-13  1.51e-05  5.65e-05  2.79e-05  1.00e+00  1.00e+05 
8.204e+13   24      0        0  2.17e+09  0.00e+00  0.00e+00  1.44e-05 -4.96e-13 -1.21e-05  0.00e+00  2.66e-05  0.00e+00 -1.21e-05 -4.96e-13  1.44e-05  5.44e-05  2.66e-05  1.00e+00  1.00e+05 
