        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.268e+13    0     -1        0  5.55e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13    1      0        0  5.24e+09  0.00e+00  0.00e+00  1.01e+40  2.72e-12  1.39e+12  1.74e+05  1.74e+05  5.41e+01  1.65e-01  1.73e+05  1.73e+05  1.28e+00  3.24e+41  3.24e+41  3.24e+41  1.78e+07  1.02e+05  1.73e+07  1.72e-01  2.18e+40  2.04e+40 
2.524e+13    2      0        0  4.92e+09  0.00e+00  0.00e+00  1.19e+40  2.62e-12  1.34e+12  1.70e+05  1.70e+05 -3.55e+01  2.26e+02  1.68e+05  1.68e+05  1.33e+00  3.29e+41  3.29e+41  3.29e+41  1.87e+07  9.91e+04  1.81e+07  3.92e-01  1.99e+40  8.42e+40 
2.663e+13    3      0        0  4.63e+09  0.00e+00  0.00e+00  1.40e+40  2.51e-12  1.29e+12  1.66e+05  1.66e+05  3.87e+00  1.21e+02  1.64e+05  1.64e+05  1.33e+00  3.33e+41  3.33e+41  3.32e+41  1.94e+07  9.55e+04  1.87e+07  3.65e-01  2.79e+40  4.32e+40 
2.810e+13    4      0        0  4.34e+09  0.00e+00  0.00e+00  1.64e+40  2.41e-12  1.24e+12  1.63e+05  1.63e+05  7.01e+01  3.92e+01  1.60e+05  1.60e+05  1.32e+00  3.35e+41  3.35e+41  3.35e+41  2.01e+07  9.16e+04  1.93e+07  2.70e-01  1.25e+40  2.20e+40 
2.964e+13    5      0        0  4.06e+09  0.00e+00  0.00e+00  1.92e+40  2.31e-12  1.18e+12  1.59e+05  1.59e+05 -6.59e+01  2.76e+02  1.56e+05  1.56e+05  1.30e+00  3.36e+41  3.36e+41  3.36e+41  2.07e+07  8.76e+04  1.98e+07  3.92e-01  3.25e+40  0.00e+00 
3.127e+13    6      0        0  3.78e+09  0.00e+00  0.00e+00  2.25e+40  2.20e-12  1.13e+12  1.56e+05  1.56e+05  6.72e+01  3.11e+01  1.53e+05  1.53e+05  1.28e+00  3.33e+41  3.33e+41  3.32e+41  2.12e+07  8.38e+04  2.02e+07  2.81e-01  2.79e+40  2.89e+40 
3.299e+13    7      0        0  3.53e+09  0.00e+00  0.00e+00  2.64e+40  2.09e-12  1.07e+12  1.52e+05  1.52e+05 -5.46e+01  3.27e+02  1.50e+05  1.49e+05  1.25e+00  3.27e+41  3.27e+41  3.27e+41  2.16e+07  7.97e+04  2.04e+07  5.60e-01  3.80e+40  4.69e+40 
3.481e+13    8      0        0  3.31e+09  0.00e+00  0.00e+00  3.10e+40  1.97e-12  1.01e+12  1.49e+05  1.49e+05  1.19e+01  5.08e+00  1.46e+05  1.46e+05  1.21e+00  3.18e+41  3.18e+41  3.18e+41  2.19e+07  7.57e+04  2.05e+07  2.56e-01  3.09e+40  2.40e+40 
3.673e+13    9      0        0  3.09e+09  0.00e+00  0.00e+00  3.64e+40  1.85e-12  9.50e+11  1.45e+05  1.45e+05  4.21e+01 -1.16e+02  1.43e+05  1.43e+05  1.17e+00  3.05e+41  3.05e+41  3.05e+41  2.20e+07  7.19e+04  2.05e+07  1.79e-01  5.01e+40  0.00e+00 
3.875e+13   10      0        0  2.91e+09  0.00e+00  0.00e+00  4.27e+40  1.73e-12  8.86e+11  1.41e+05  1.41e+05  7.04e+01 -1.75e+02  1.39e+05  1.39e+05  1.12e+00  2.88e+41  2.88e+41  2.88e+41  2.20e+07  6.83e+04  2.04e+07  2.81e-01  2.94e+40  0.00e+00 
4.088e+13   11      0        0  2.75e+09  0.00e+00  0.00e+00  5.01e+40  1.60e-12  8.20e+11  1.37e+05  1.37e+05 -3.35e+01 -1.60e+02  1.36e+05  1.36e+05  1.08e+00  2.69e+41  2.69e+41  2.69e+41  2.19e+07  6.49e+04  2.01e+07  3.86e-01  3.92e+40  5.16e+40 
4.313e+13   12      0        0  2.61e+09  0.00e+00  0.00e+00  5.88e+40  1.48e-12  7.58e+11  1.33e+05  1.33e+05 -6.77e+01 -1.59e+02  1.33e+05  1.33e+05  1.03e+00  2.49e+41  2.49e+41  2.49e+41  2.17e+07  6.15e+04  1.98e+07  4.25e-01  2.53e+40  0.00e+00 
4.551e+13   13      0        0  2.51e+09  0.00e+00  0.00e+00  6.91e+40  1.36e-12  6.95e+11  1.29e+05  1.29e+05  6.77e+00 -9.51e+01  1.29e+05  1.29e+05  9.79e-01  2.29e+41  2.29e+41  2.28e+41  2.15e+07  5.85e+04  1.93e+07  2.56e-01  4.37e+40  0.00e+00 
4.801e+13   14      0        0  2.41e+09  0.00e+00  0.00e+00  8.11e+40  1.24e-12  6.35e+11  1.25e+05  1.25e+05  1.17e+01 -1.57e+02  1.26e+05  1.26e+05  9.30e-01  2.09e+41  2.09e+41  2.09e+41  2.11e+07  5.55e+04  1.88e+07  3.65e-01  4.39e+40  2.89e+40 
5.065e+13   15      0        0  2.35e+09  0.00e+00  0.00e+00  9.52e+40  1.14e-12  5.82e+11  1.21e+05  1.21e+05  5.66e+00 -4.92e+01  1.23e+05  1.23e+05  8.82e-01  1.91e+41  1.91e+41  1.91e+41  2.08e+07  5.25e+04  1.83e+07  1.60e-01  3.50e+40  8.73e+40 
5.344e+13   16      0        0  2.28e+09  0.00e+00  0.00e+00  1.12e+41  1.04e-12  5.34e+11  1.18e+05  1.17e+05  1.18e+02 -1.47e+02  1.20e+05  1.20e+05  8.35e-01  1.75e+41  1.75e+41  1.75e+41  2.04e+07  4.94e+04  1.78e+07  5.40e-01  4.04e+40  1.28e+40 
5.638e+13   17      0        0  2.23e+09  0.00e+00  0.00e+00  1.31e+41  9.56e-13  4.90e+11  1.14e+05  1.13e+05  4.00e+00  2.56e+02  1.17e+05  1.17e+05  7.89e-01  1.60e+41  1.60e+41  1.60e+41  2.00e+07  4.65e+04  1.72e+07  3.65e-01  6.62e+40  3.09e+40 
5.949e+13   18      0        0  2.20e+09  0.00e+00  0.00e+00  1.54e+41  8.77e-13  4.49e+11  1.10e+05  1.10e+05 -1.39e+02  2.51e+02  1.14e+05  1.14e+05  7.45e-01  1.47e+41  1.47e+41  1.47e+41  1.96e+07  4.36e+04  1.66e+07  2.32e-01  3.39e+40  5.12e+40 
6.276e+13   19      0        0  2.17e+09  0.00e+00  0.00e+00  1.81e+41  8.04e-13  4.12e+11  1.06e+05  1.06e+05 -2.15e+01 -1.02e+02  1.11e+05  1.11e+05  7.03e-01  1.35e+41  1.35e+41  1.34e+41  1.91e+07  4.08e+04  1.60e+07  1.99e-01  5.77e+40  2.92e+40 
6.621e+13   20      0        0  2.16e+09  0.00e+00  0.00e+00  2.13e+41  7.35e-13  3.77e+11  1.02e+05  1.02e+05 -2.74e+00 -6.61e+01  1.08e+05  1.08e+05  6.64e-01  1.23e+41  1.23e+41  1.23e+41  1.87e+07  3.82e+04  1.54e+07  3.12e-01  8.12e+40  3.16e+40 
6.986e+13   21      0        0  2.15e+09  0.00e+00  0.00e+00  2.50e+41  6.73e-13  3.44e+11  9.82e+04  9.83e+04  3.51e+01  1.07e+02  1.05e+05  1.05e+05  6.27e-01  1.13e+41  1.13e+41  1.13e+41  1.82e+07  3.58e+04  1.48e+07  5.14e-01  4.15e+40  2.74e+39 
7.370e+13   22      0        0  2.15e+09  0.00e+00  0.00e+00  2.93e+41  6.15e-13  3.15e+11  9.43e+04  9.42e+04 -1.57e+02 -3.08e+00  1.02e+05  1.02e+05  5.90e-01  1.04e+41  1.04e+41  1.04e+41  1.78e+07  3.35e+04  1.42e+07  5.40e-01  2.87e+40  7.38e+40 
7.776e+13   23      0        0  2.16e+09  0.00e+00  0.00e+00  3.44e+41  5.63e-13  2.88e+11  9.06e+04  9.07e+04 -1.43e+01 -2.30e+01  9.99e+04  9.99e+04  5.55e-01  9.70e+40  9.70e+40  9.72e+40  1.74e+07  3.13e+04  1.37e+07  2.19e-01  4.26e+40  0.00e+00 
8.204e+13   24      0        0  2.17e+09  0.00e+00  0.00e+00  4.04e+41  5.15e-13  2.64e+11  8.67e+04  8.62e+04 -3.96e+02  6.99e+01  9.74e+04  9.75e+04  5.23e-01  9.23e+40  9.23e+40  9.20e+40  1.70e+07  2.92e+04  1.31e+07  8.00e-01  3.68e+40  4.00e+40 
