 i            r          v_r          rho          t_e          t_r
74 2.395658e+14 4.535115e+09 6.517300e-14 4.410268e+00 4.900298e+00
75 2.527520e+14 4.513294e+09 5.988929e-14 4.402325e+00 4.891472e+00
76 2.666639e+14 4.449289e+09 5.500450e-14 4.393722e+00 4.881914e+00
77 2.813417e+14 4.415113e+09 5.035903e-14 4.384497e+00 4.871664e+00
78 2.968273e+14 4.400230e+09 4.617780e-14 4.374901e+00 4.861001e+00
79 3.131652e+14 4.364446e+09 4.227873e-14 4.364617e+00 4.849574e+00
80 3.304024e+14 4.345588e+09 3.885020e-14 4.353876e+00 4.837640e+00
81 3.485884e+14 4.325125e+09 3.564511e-14 4.342963e+00 4.825515e+00
82 3.677754e+14 4.281910e+09 3.247438e-14 4.332305e+00 4.813672e+00
83 3.880185e+14 4.286536e+09 2.958858e-14 4.322056e+00 4.802285e+00
84 4.093758e+14 4.283243e+09 2.668775e-14 4.310224e+00 4.789138e+00
85 4.319086e+14 4.243238e+09 2.409968e-14 4.298378e+00 4.775976e+00
86 4.556817e+14 4.275738e+09 2.173305e-14 4.287748e+00 4.764164e+00
87 4.807634e+14 4.219972e+09 1.932258e-14 4.277536e+00 4.752818e+00
88 5.072255e+14 4.237498e+09 1.716297e-14 4.266624e+00 4.740694e+00
89 5.351442e+14 4.288630e+09 1.506070e-14 4.255663e+00 4.728514e+00
90 5.645996e+14 4.224743e+09 1.304456e-14 4.245375e+00 4.717083e+00
91 5.956763e+14 4.328039e+09 1.116914e-14 4.234873e+00 4.705415e+00
92 6.284634e+14 4.339294e+09 9.474514e-15 4.223252e+00 4.692503e+00
93 6.630553e+14 4.356788e+09 8.010667e-15 4.211839e+00 4.679822e+00
94 6.995512e+14 4.445415e+09 6.744218e-15 4.201073e+00 4.667859e+00
95 7.380558e+14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
96 7.786799e+14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
