       r    i inwind 
7.00e+12    0     -1 
7.35e+12    1      0 
7.72e+12    2      0 
8.10e+12    3      0 
8.51e+12    4      0 
8.93e+12    5      0 
9.37e+12    6      0 
9.84e+12    7      0 
1.03e+13    8      0 
1.08e+13    9      0 
1.14e+13   10      0 
1.19e+13   11      0 
1.25e+13   12      0 
1.32e+13   13      0 
1.38e+13   14      0 
1.45e+13   15      0 
1.52e+13   16      0 
1.60e+13   17      0 
1.68e+13   18      0 
1.76e+13   19      0 
1.85e+13   20      0 
1.94e+13   21      0 
2.04e+13   22      0 
2.14e+13   23      0 
2.25e+13   24      0 
2.36e+13   25      0 
2.48e+13   26      0 
2.60e+13   27      0 
2.73e+13   28      0 
2.86e+13   29      0 
3.01e+13   30      0 
3.16e+13   31      0 
3.31e+13   32      0 
3.48e+13   33      0 
3.65e+13   34      0 
3.83e+13   35      0 
4.02e+13   36      0 
4.22e+13   37      0 
4.43e+13   38      0 
4.65e+13   39      0 
4.88e+13   40      0 
5.13e+13   41      0 
5.38e+13   42      0 
5.65e+13   43      0 
5.93e+13   44      0 
6.23e+13   45      0 
6.54e+13   46      0 
6.86e+13   47      0 
7.20e+13   48      0 
7.56e+13   49      0 
7.94e+13   50      0 
8.33e+13   51      0 
8.75e+13   52      0 
9.18e+13   53      0 
9.64e+13   54      0 
1.01e+14   55      0 
1.06e+14   56      0 
1.11e+14   57      0 
1.17e+14   58      0 
1.23e+14   59      0 
1.29e+14   60      0 
1.35e+14   61      0 
1.42e+14   62      0 
1.49e+14   63      0 
1.57e+14   64      0 
1.64e+14   65      0 
1.73e+14   66      0 
1.81e+14   67      0 
1.90e+14   68      0 
2.00e+14   69      0 
2.10e+14   70      0 
2.20e+14   71      0 
2.31e+14   72      0 
2.42e+14   73      0 
2.55e+14   74      0 
2.67e+14   75      0 
2.80e+14   76      0 
2.94e+14   77      0 
3.09e+14   78      0 
3.24e+14   79      0 
3.41e+14   80      0 
3.58e+14   81      0 
3.75e+14   82      0 
3.94e+14   83      0 
4.14e+14   84      0 
4.34e+14   85      0 
4.56e+14   86      0 
4.78e+14   87      0 
5.02e+14   88      0 
5.27e+14   89      0 
5.53e+14   90      0 
5.81e+14   91      0 
6.10e+14   92      0 
6.40e+14   93      0 
6.72e+14   94     -1 
7.06e+14   95     -1 
