        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
7.004e+12    0     -1        0  2.65e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.353e+12    1      0        0  7.50e+08  0.00e+00  0.00e+00  7.45e-04 -2.26e-13  6.43e-04  0.00e+00  1.02e-04  0.00e+00  6.43e-04 -2.26e-13  7.45e-04  1.65e-03  1.39e-03  1.00e+00  1.00e+05 
7.719e+12    2      0        0  1.26e+09  0.00e+00  0.00e+00  7.36e-04 -1.01e-12  5.73e-04  0.00e+00  1.63e-04  0.00e+00  5.73e-04 -1.01e-12  7.36e-04  1.61e-03  1.32e-03  1.00e+00  1.00e+05 
8.103e+12    3      0        0  1.73e+09  0.00e+00  0.00e+00  7.10e-04 -2.53e-12  4.96e-04  0.00e+00  2.14e-04  0.00e+00  4.96e-04 -2.53e-12  7.10e-04  1.66e-03  1.21e-03  1.00e+00  1.00e+05 
8.506e+12    4      0        0  2.21e+09  0.00e+00  0.00e+00  7.04e-04 -5.00e-12  4.44e-04  0.00e+00  2.60e-04  0.00e+00  4.44e-04 -5.00e-12  7.04e-04  1.68e-03  1.16e-03  1.00e+00  1.00e+05 
8.929e+12    5      0        0  2.68e+09  0.00e+00  0.00e+00  6.68e-04 -8.55e-12  3.67e-04  0.00e+00  3.01e-04  0.00e+00  3.67e-04 -8.55e-12  6.68e-04  1.59e-03  1.05e-03  1.00e+00  1.00e+05 
9.373e+12    6      0        0  3.10e+09  0.00e+00  0.00e+00  6.39e-04 -1.27e-11  3.06e-04  0.00e+00  3.33e-04  0.00e+00  3.06e-04 -1.27e-11  6.39e-04  1.63e-03  9.56e-04  1.01e+00  1.00e+05 
9.839e+12    7      0        0  3.54e+09  0.00e+00  0.00e+00  6.47e-04 -1.80e-11  2.85e-04  0.00e+00  3.62e-04  0.00e+00  2.85e-04 -1.80e-11  6.47e-04  1.68e-03  9.46e-04  1.01e+00  1.00e+05 
1.033e+13    8      0        0  3.99e+09  0.00e+00  0.00e+00  6.55e-04 -2.48e-11  2.65e-04  0.00e+00  3.90e-04  0.00e+00  2.65e-04 -2.48e-11  6.55e-04  1.72e-03  9.36e-04  1.01e+00  1.00e+05 
1.084e+13    9      0        0  4.46e+09  0.00e+00  0.00e+00  6.40e-04 -3.31e-11  2.24e-04  0.00e+00  4.16e-04  0.00e+00  2.24e-04 -3.31e-11  6.40e-04  1.67e-03  8.86e-04  1.01e+00  1.00e+05 
1.138e+13   10      0        0  4.90e+09  0.00e+00  0.00e+00  6.00e-04 -4.21e-11  1.64e-04  0.00e+00  4.36e-04  0.00e+00  1.64e-04 -4.21e-11  6.00e-04  1.60e-03  7.89e-04  1.01e+00  1.00e+05 
1.195e+13   11      0        0  5.31e+09  0.00e+00  0.00e+00  5.71e-04 -5.12e-11  1.20e-04  0.00e+00  4.51e-04  0.00e+00  1.20e-04 -5.12e-11  5.71e-04  1.58e-03  7.15e-04  1.02e+00  1.00e+05 
1.254e+13   12      0        0  5.70e+09  0.00e+00  0.00e+00  5.71e-04 -6.09e-11  1.08e-04  0.00e+00  4.63e-04  0.00e+00  1.08e-04 -6.09e-11  5.71e-04  1.63e-03  7.16e-04  1.02e+00  1.00e+05 
1.317e+13   13      0        0  6.13e+09  0.00e+00  0.00e+00  5.68e-04 -7.27e-11  9.23e-05  0.00e+00  4.76e-04  0.00e+00  9.23e-05 -7.27e-11  5.68e-04  1.59e-03  6.91e-04  1.02e+00  1.00e+05 
1.382e+13   14      0        0  6.55e+09  0.00e+00  0.00e+00  5.42e-04 -8.49e-11  5.71e-05  0.00e+00  4.85e-04  0.00e+00  5.71e-05 -8.49e-11  5.42e-04  1.54e-03  6.32e-04  1.02e+00  1.00e+05 
1.451e+13   15      0        0  6.94e+09  0.00e+00  0.00e+00  5.24e-04 -9.69e-11  3.25e-05  0.00e+00  4.91e-04  0.00e+00  3.25e-05 -9.69e-11  5.24e-04  1.53e-03  5.89e-04  1.03e+00  1.00e+05 
