        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_old  cool_tot      ntot        ip    nioniz      gain macro_bf_in macro_bf_out 
1.678e+13   18      0        0  8.25e+09  0.00e+00  0.00e+00  3.24e+39  6.37e-14  3.26e+10  6.54e+05  6.54e+05  1.66e+02  2.30e+01  7.08e+05  7.08e+05  1.34e-01  2.37e+41  2.37e+41  2.37e+41  3.75e+06  3.67e+07  3.73e+06  9.99e-01  0.00e+00  0.00e+00 
1.762e+13   19      0        0  8.68e+09  0.00e+00  0.00e+00  3.76e+39  6.06e-14  3.11e+10  6.37e+05  6.37e+05  4.25e+02  8.69e+01  6.93e+05  6.93e+05  1.29e-01  2.24e+41  2.24e+41  2.24e+41  3.75e+06  3.47e+07  3.74e+06  9.99e-01  0.00e+00  0.00e+00 
1.850e+13   20      0        0  9.11e+09  0.00e+00  0.00e+00  4.37e+39  5.76e-14  2.95e+10  6.19e+05  6.19e+05  3.24e+02  1.40e+02  6.77e+05  6.77e+05  1.24e-01  2.12e+41  2.12e+41  2.12e+41  3.76e+06  3.29e+07  3.74e+06  9.99e-01  0.00e+00  0.00e+00 
1.942e+13   21      0        0  9.61e+09  0.00e+00  0.00e+00  5.09e+39  5.49e-14  2.82e+10  6.02e+05  6.01e+05  7.47e+01  4.25e+02  6.61e+05  6.61e+05  1.19e-01  2.00e+41  2.00e+41  2.00e+41  3.77e+06  3.10e+07  3.75e+06  9.99e-01  0.00e+00  0.00e+00 
2.038e+13   22      0        0  1.01e+10  0.00e+00  0.00e+00  5.92e+39  5.25e-14  2.69e+10  5.85e+05  5.84e+05  6.47e+01  3.10e+02  6.47e+05  6.46e+05  1.15e-01  1.90e+41  1.90e+41  1.90e+41  3.78e+06  2.93e+07  3.76e+06  9.99e-01  0.00e+00  0.00e+00 
2.140e+13   23      0        0  1.05e+10  0.00e+00  0.00e+00  6.89e+39  5.07e-14  2.60e+10  5.68e+05  5.67e+05  1.86e+02 -9.77e+01  6.31e+05  6.31e+05  1.11e-01  1.83e+41  1.83e+41  1.83e+41  3.79e+06  2.74e+07  3.77e+06  9.99e-01  0.00e+00  0.00e+00 
2.246e+13   24      0        0  1.09e+10  0.00e+00  0.00e+00  8.02e+39  4.90e-14  2.51e+10  5.50e+05  5.50e+05  2.34e+02  1.69e+02  6.16e+05  6.16e+05  1.08e-01  1.75e+41  1.75e+41  1.75e+41  3.80e+06  2.57e+07  3.78e+06  9.99e-01  0.00e+00  0.00e+00 
2.358e+13   25      0        0  1.14e+10  0.00e+00  0.00e+00  9.34e+39  4.76e-14  2.44e+10  5.32e+05  5.32e+05  3.78e+02  1.58e+01  6.00e+05  6.00e+05  1.06e-01  1.69e+41  1.69e+41  1.69e+41  3.82e+06  2.40e+07  3.79e+06  9.99e-01  0.00e+00  0.00e+00 
2.475e+13   26      0        0  1.19e+10  0.00e+00  0.00e+00  1.09e+40  4.64e-14  2.38e+10  5.15e+05  5.15e+05  3.40e+02  3.75e+02  5.85e+05  5.85e+05  1.03e-01  1.64e+41  1.64e+41  1.64e+41  3.84e+06  2.23e+07  3.80e+06  9.99e-01  0.00e+00  0.00e+00 
2.598e+13   27      0        0  1.23e+10  0.00e+00  0.00e+00  1.27e+40  4.55e-14  2.33e+10  4.98e+05  4.98e+05  4.29e+01  7.99e+01  5.70e+05  5.70e+05  1.02e-01  1.61e+41  1.61e+41  1.61e+41  3.86e+06  2.08e+07  3.82e+06  9.99e-01  0.00e+00  0.00e+00 
