 i            r          v_r          rho          t_e          t_r
-- ------------ ------------ ------------ ------------ ------------
 0 7.360245e+12 5.402298e+08 0.000000e+00 0.000000e+00 0.000000e+00
 1 7.765367e+12 1.110048e+09 1.729631e-13 5.014331e+00 5.571479e+00
 2 8.192788e+12 1.659670e+09 1.575729e-13 5.007027e+00 5.563363e+00
 3 8.643735e+12 2.162682e+09 1.442688e-13 5.000868e+00 5.556520e+00
 4 9.119503e+12 2.692223e+09 1.328527e-13 4.994732e+00 5.549702e+00
 5 9.621459e+12 3.159501e+09 1.228322e-13 4.987829e+00 5.542032e+00
 6 1.015104e+13 3.646602e+09 1.137991e-13 4.981212e+00 5.534680e+00
 7 1.070978e+13 4.158250e+09 1.059064e-13 4.975346e+00 5.528162e+00
 8 1.129926e+13 4.676148e+09 9.927224e-14 4.968659e+00 5.520733e+00
 9 1.192120e+13 5.154563e+09 9.344785e-14 4.961782e+00 5.513091e+00
10 1.257736e+13 5.566965e+09 8.822852e-14 4.955550e+00 5.506167e+00
11 1.326965e+13 6.033785e+09 8.353244e-14 4.949737e+00 5.499708e+00
12 1.400003e+13 6.513433e+09 7.893726e-14 4.942893e+00 5.492104e+00
13 1.477062e+13 6.942433e+09 7.451823e-14 4.935384e+00 5.483760e+00
14 1.558363e+13 7.367856e+09 7.042380e-14 4.929562e+00 5.477291e+00
15 1.644138e+13 7.911581e+09 6.683815e-14 4.923600e+00 5.470667e+00
16 1.734634e+13 8.402088e+09 6.366323e-14 4.915957e+00 5.462175e+00
17 1.830112e+13 8.854489e+09 6.067601e-14 4.908033e+00 5.453371e+00
18 1.930845e+13 9.366082e+09 5.808703e-14 4.902680e+00 5.447422e+00
19 2.037123e+13 9.917406e+09 5.587331e-14 4.895577e+00 5.439530e+00
20 2.149250e+13 1.038355e+10 5.396328e-14 4.886657e+00 5.429619e+00
21 2.267549e+13 1.086119e+10 5.239310e-14 4.879090e+00 5.421211e+00
22 2.392359e+13 1.140094e+10 5.145940e-14 4.873535e+00 5.415039e+00
23 2.524039e+13 1.193085e+10 5.107468e-14 4.865576e+00 5.406196e+00
24 2.662967e+13 1.238310e+10 5.136197e-14 4.858043e+00 5.397826e+00
25 2.809542e+13 1.283610e+10 5.214617e-14 4.849853e+00 5.388726e+00
26 2.964185e+13 1.334583e+10 5.334549e-14 4.842205e+00 5.380228e+00
27 3.127339e+13 1.387405e+10 5.509841e-14 4.836514e+00 5.373904e+00
28 3.299474e+13 1.435375e+10 5.745655e-14 4.829366e+00 5.365963e+00
29 3.481084e+13 1.479349e+10 6.037126e-14 4.819788e+00 5.355320e+00
30 3.672690e+13 1.526057e+10 6.363829e-14 4.812320e+00 5.347022e+00
31 3.874842e+13 1.573004e+10 6.733628e-14 4.806445e+00 5.340495e+00
32 4.088120e+13 1.612169e+10 7.138524e-14 4.797899e+00 5.330998e+00
33 4.313139e+13 1.648317e+10 7.531681e-14 4.789300e+00 5.321444e+00
34 4.550542e+13 1.683920e+10 7.920140e-14 4.781313e+00 5.312569e+00
35 4.801013e+13 1.715140e+10 8.285189e-14 4.772967e+00 5.303297e+00
36 5.065270e+13 1.742850e+10 8.615821e-14 4.763989e+00 5.293321e+00
37 5.344072e+13 1.767710e+10 8.918135e-14 4.754807e+00 5.283119e+00
38 5.638221e+13 1.788725e+10 9.152040e-14 4.744976e+00 5.272196e+00
39 5.948559e+13 1.806954e+10 9.329774e-14 4.735305e+00 5.261450e+00
40 6.275980e+13 1.823573e+10 9.451951e-14 4.725197e+00 5.250219e+00
41 6.621422e+13 1.836463e+10 9.507918e-14 4.714374e+00 5.238194e+00
42 6.985878e+13 1.846530e+10 9.498417e-14 4.703475e+00 5.226083e+00
43 7.370394e+13 1.853858e+10 9.448128e-14 4.692593e+00 5.213992e+00
44 7.776075e+13 1.858188e+10 9.357405e-14 4.681947e+00 5.202163e+00
45 8.204086e+13 1.859825e+10 9.228423e-14 4.671290e+00 5.190322e+00
46 8.655655e+13 1.858689e+10 9.065229e-14 4.660796e+00 5.178663e+00
47 9.132079e+13 1.853565e+10 8.873040e-14 4.650259e+00 5.166955e+00
48 9.634727e+13 1.845316e+10 8.667986e-14 4.639153e+00 5.154615e+00
49 1.016504e+14 1.834041e+10 8.460711e-14 4.628519e+00 5.142799e+00
50 1.072454e+14 1.819526e+10 8.256502e-14 4.618349e+00 5.131499e+00
51 1.131484e+14 1.802275e+10 8.059152e-14 4.608160e+00 5.120178e+00
52 1.193764e+14 1.782362e+10 7.872762e-14 4.598033e+00 5.108925e+00
