 i            r          v_r          rho          t_e          t_r
53 1.259471e+14 1.757990e+10 7.695890e-14 4.588449e+00 5.098277e+00
54 1.328794e+14 1.731015e+10 7.486244e-14 4.579392e+00 5.088213e+00
55 1.401934e+14 1.703260e+10 7.248838e-14 4.570287e+00 5.078097e+00
56 1.479099e+14 1.672477e+10 6.984969e-14 4.561701e+00 5.068556e+00
57 1.560512e+14 1.640650e+10 6.692992e-14 4.553977e+00 5.059975e+00
58 1.646405e+14 1.606903e+10 6.381544e-14 4.546207e+00 5.051341e+00
59 1.737027e+14 1.572161e+10 6.054012e-14 4.538714e+00 5.043015e+00
60 1.832636e+14 1.537585e+10 5.724839e-14 4.531713e+00 5.035237e+00
61 1.933508e+14 1.502803e+10 5.396652e-14 4.525252e+00 5.028058e+00
62 2.039932e+14 1.468860e+10 5.072679e-14 4.518604e+00 5.020671e+00
63 2.152214e+14 1.436203e+10 4.758990e-14 4.511130e+00 5.012366e+00
64 2.270676e+14 1.404347e+10 4.448242e-14 4.503645e+00 5.004050e+00
65 2.395658e+14 1.373099e+10 4.145223e-14 4.495487e+00 4.994985e+00
66 2.527520e+14 1.343690e+10 3.851504e-14 4.486973e+00 4.985526e+00
67 2.666639e+14 1.316041e+10 3.574059e-14 4.478438e+00 4.976042e+00
68 2.813417e+14 1.289316e+10 3.320490e-14 4.469604e+00 4.966227e+00
69 2.968273e+14 1.262363e+10 3.091504e-14 4.460402e+00 4.956002e+00
70 3.131652e+14 1.235077e+10 2.877319e-14 4.450864e+00 4.945404e+00
71 3.304024e+14 1.208899e+10 2.674936e-14 4.441178e+00 4.934642e+00
72 3.485884e+14 1.184796e+10 2.485868e-14 4.431310e+00 4.923678e+00
73 3.677754e+14 1.162550e+10 2.306475e-14 4.420870e+00 4.912078e+00
74 3.880185e+14 1.141880e+10 2.136087e-14 4.409133e+00 4.899037e+00
75 4.093758e+14 1.123513e+10 1.977052e-14 4.397263e+00 4.885848e+00
76 4.319086e+14 1.106657e+10 1.827816e-14 4.385030e+00 4.872256e+00
77 4.556817e+14 1.089447e+10 1.687170e-14 4.373132e+00 4.859035e+00
78 4.807634e+14 1.075126e+10 1.556163e-14 4.361904e+00 4.846560e+00
79 5.072255e+14 1.061687e+10 1.436760e-14 4.349395e+00 4.832661e+00
80 5.351442e+14 1.047985e+10 1.323476e-14 4.336101e+00 4.817890e+00
81 5.645996e+14 1.036395e+10 1.216173e-14 4.322789e+00 4.803099e+00
82 5.956763e+14 1.027542e+10 1.113291e-14 4.309273e+00 4.788081e+00
83 6.284634e+14 1.016241e+10 1.011712e-14 4.295898e+00 4.773220e+00
84 6.630553e+14 1.009941e+10 9.115366e-15 4.285130e+00 4.761255e+00
85 6.995512e+14 1.004037e+10 8.154238e-15 4.273732e+00 4.748591e+00
86 7.380558e+14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
87 7.786799e+14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
