  i            r          v_r          rho          t_e          t_r
--- ------------ ------------ ------------ ------------ ------------
  0 3.294931e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
  1 3.476290e+12 0.000000e+00 1.407964e-10 5.393914e+00 5.993238e+00
  2 3.667632e+12 1.060348e+07 1.339569e-10 5.383496e+00 5.981662e+00
  3 3.869505e+12 1.303834e+08 1.274967e-10 5.373150e+00 5.970166e+00
  4 4.082491e+12 2.942072e+08 1.213083e-10 5.362785e+00 5.958650e+00
  5 4.307199e+12 4.721982e+08 1.153495e-10 5.352356e+00 5.947062e+00
  6 4.544276e+12 6.546007e+08 1.093212e-10 5.341572e+00 5.935080e+00
  7 4.794401e+12 8.241479e+08 1.029763e-10 5.330267e+00 5.922519e+00
  8 5.058295e+12 9.754053e+08 9.676310e-11 5.318638e+00 5.909598e+00
  9 5.336713e+12 1.110344e+09 9.095854e-11 5.306791e+00 5.896434e+00
 10 5.630456e+12 1.224470e+09 8.520135e-11 5.294518e+00 5.882798e+00
 11 5.940368e+12 1.318217e+09 7.960826e-11 5.282034e+00 5.868927e+00
 12 6.267337e+12 1.390130e+09 7.442884e-11 5.269556e+00 5.855062e+00
 13 6.612304e+12 1.440265e+09 6.984796e-11 5.257256e+00 5.841395e+00
 14 6.976258e+12 1.467715e+09 6.583861e-11 5.245204e+00 5.828004e+00
 15 7.360245e+12 1.476168e+09 6.220906e-11 5.233341e+00 5.814824e+00
 16 7.765367e+12 1.463970e+09 5.877845e-11 5.221533e+00 5.801703e+00
 17 8.192788e+12 1.436260e+09 5.558482e-11 5.209710e+00 5.788567e+00
 18 8.643735e+12 1.397564e+09 5.259196e-11 5.197840e+00 5.775377e+00
 19 9.119503e+12 1.343681e+09 4.985567e-11 5.185880e+00 5.762089e+00
 20 9.621459e+12 1.284877e+09 4.747832e-11 5.173910e+00 5.748789e+00
 21 1.015104e+13 1.221074e+09 4.535688e-11 5.162096e+00 5.735662e+00
 22 1.070978e+13 1.154669e+09 4.287494e-11 5.150454e+00 5.722727e+00
 23 1.129926e+13 1.087370e+09 4.011083e-11 5.138896e+00 5.709885e+00
 24 1.192120e+13 1.018640e+09 3.704679e-11 5.127499e+00 5.697222e+00
 25 1.257736e+13 9.564809e+08 3.406862e-11 5.116326e+00 5.684806e+00
 26 1.326965e+13 8.967824e+08 3.155649e-11 5.105307e+00 5.672563e+00
 27 1.400003e+13 8.392376e+08 2.923049e-11 5.094303e+00 5.660337e+00
 28 1.477062e+13 7.877815e+08 2.709383e-11 5.083180e+00 5.647978e+00
 29 1.558363e+13 7.410065e+08 2.495397e-11 5.071763e+00 5.635292e+00
 30 1.644138e+13 6.938704e+08 2.283287e-11 5.060032e+00 5.622257e+00
 31 1.734634e+13 6.498048e+08 2.095220e-11 5.048111e+00 5.609012e+00
 32 1.830112e+13 6.070145e+08 1.937884e-11 5.036079e+00 5.595643e+00
 33 1.930845e+13 5.649784e+08 1.813468e-11 5.024139e+00 5.582376e+00
 34 2.037123e+13 5.241665e+08 1.714558e-11 5.012268e+00 5.569187e+00
 35 2.149250e+13 4.875147e+08 1.633571e-11 5.000384e+00 5.555982e+00
 36 2.267549e+13 4.493436e+08 1.566126e-11 4.988514e+00 5.542794e+00
 37 2.392359e+13 4.111316e+08 1.506321e-11 4.976686e+00 5.529652e+00
 38 2.524039e+13 3.737138e+08 1.453031e-11 4.964793e+00 5.516437e+00
 39 2.662967e+13 3.386679e+08 1.405255e-11 4.952812e+00 5.503124e+00
 40 2.809542e+13 3.106846e+08 1.359338e-11 4.940739e+00 5.489710e+00
 41 2.964185e+13 2.876624e+08 1.315228e-11 4.928674e+00 5.476304e+00
 42 3.127339e+13 2.662212e+08 1.278699e-11 4.916827e+00 5.463142e+00
 43 3.299474e+13 2.466709e+08 1.254461e-11 4.905448e+00 5.450498e+00
 44 3.481084e+13 2.292742e+08 1.239304e-11 4.894328e+00 5.438142e+00
 45 3.672690e+13 2.136346e+08 1.230261e-11 4.883481e+00 5.426089e+00
 46 3.874842e+13 1.995683e+08 1.222562e-11 4.872923e+00 5.414359e+00
 47 4.088120e+13 1.880285e+08 1.215241e-11 4.862553e+00 5.402837e+00
 48 4.313139e+13 1.769089e+08 1.204879e-11 4.852152e+00 5.391280e+00
 49 4.550542e+13 1.661926e+08 1.188279e-11 4.841880e+00 5.379867e+00
 50 4.801013e+13 1.575686e+08 1.159129e-11 4.831375e+00 5.368195e+00
 51 5.065270e+13 1.530086e+08 1.125716e-11 4.820847e+00 5.356496e+00
 52 5.344072e+13 1.548702e+08 1.088019e-11 4.810415e+00 5.344906e+00
 53 5.638221e+13 1.619767e+08 1.049321e-11 4.799804e+00 5.333116e+00
 54 5.948559e+13 1.729131e+08 9.994178e-12 4.788858e+00 5.320954e+00
 55 6.275980e+13 1.882855e+08 9.405984e-12 4.777296e+00 5.308107e+00
 56 6.621422e+13 2.035870e+08 8.724587e-12 4.764805e+00 5.294227e+00
 57 6.985878e+13 2.137348e+08 8.005265e-12 4.751652e+00 5.279613e+00
 58 7.370394e+13 2.270024e+08 7.225412e-12 4.737470e+00 5.263855e+00
 59 7.776075e+13 2.371420e+08 6.470798e-12 4.722342e+00 5.247047e+00
 60 8.204086e+13 2.414637e+08 5.742322e-12 4.706460e+00 5.229400e+00
 61 8.655655e+13 2.461451e+08 5.083342e-12 4.690067e+00 5.211186e+00
 62 9.132079e+13 2.424332e+08 4.531997e-12 4.673606e+00 5.192896e+00
 63 9.634727e+13 2.403631e+08 4.005368e-12 4.656937e+00 5.174374e+00
 64 1.016504e+14 2.342420e+08 3.591798e-12 4.641183e+00 5.156870e+00
 65 1.072454e+14 2.192061e+08 3.214426e-12 4.625377e+00 5.139308e+00
 66 1.131484e+14 2.037221e+08 2.888668e-12 4.610203e+00 5.122448e+00
 67 1.193764e+14 1.815436e+08 2.622403e-12 4.595728e+00 5.106365e+00
 68 1.259471e+14 1.580096e+08 2.390563e-12 4.581285e+00 5.090316e+00
 69 1.328794e+14 1.374538e+08 2.192195e-12 4.568047e+00 5.075608e+00
 70 1.401934e+14 1.150659e+08 2.007424e-12 4.554425e+00 5.060473e+00
 71 1.479099e+14 9.734127e+07 1.853677e-12 4.541579e+00 5.046198e+00
 72 1.560512e+14 8.039543e+07 1.721900e-12 4.529510e+00 5.032789e+00
 73 1.646405e+14 6.730192e+07 1.602032e-12 4.517050e+00 5.018944e+00
 74 1.737027e+14 5.594050e+07 1.500394e-12 4.505873e+00 5.006525e+00
