  i            r          v_r          rho          t_e          t_r
 73 1.832636e+14 2.280095e+09 1.388819e-13 7.610040e+04 8.455600e+04
 74 1.933508e+14 2.256488e+09 1.283932e-13 7.435790e+04 8.261989e+04
 75 2.039932e+14 2.231739e+09 1.189302e-13 7.272934e+04 8.081038e+04
 76 2.152214e+14 2.195683e+09 1.100076e-13 7.106931e+04 7.896590e+04
 77 2.270676e+14 2.160944e+09 1.023587e-13 6.944606e+04 7.716228e+04
 78 2.395658e+14 2.128168e+09 9.561811e-14 6.783202e+04 7.536891e+04
 79 2.527520e+14 2.068453e+09 9.018503e-14 6.628266e+04 7.364740e+04
 80 2.666639e+14 2.028715e+09 8.572194e-14 6.477524e+04 7.197249e+04
 81 2.813417e+14 1.978908e+09 8.160907e-14 6.320782e+04 7.023091e+04
 82 2.968273e+14 1.925510e+09 7.943180e-14 6.165335e+04 6.850372e+04
 83 3.131652e+14 1.883300e+09 7.742454e-14 6.007290e+04 6.674767e+04
 84 3.304024e+14 1.818121e+09 7.581993e-14 5.848496e+04 6.498329e+04
 85 3.485884e+14 1.779076e+09 7.443222e-14 5.688266e+04 6.320296e+04
 86 3.677754e+14 1.763517e+09 7.255373e-14 5.518168e+04 6.131298e+04
 87 3.880185e+14 1.737603e+09 6.545614e-14 5.338634e+04 5.931815e+04
 88 4.093758e+14 1.742421e+09 5.518459e-14 5.162951e+04 5.736612e+04
 89 4.319086e+14 1.769754e+09 4.692578e-14 4.992665e+04 5.547406e+04
 90 4.556817e+14 1.762207e+09 4.130473e-14 4.825284e+04 5.361427e+04
 91 4.807634e+14 1.804849e+09 3.777224e-14 4.655302e+04 5.172558e+04
 92 5.072255e+14 1.855337e+09 3.557764e-14 4.478143e+04 4.975714e+04
 93 5.351442e+14 1.865751e+09 3.058316e-14 4.277421e+04 4.752690e+04
 94 5.645996e+14 1.958540e+09 2.514588e-14 4.080497e+04 4.533886e+04
 95 5.956763e+14 2.065760e+09 2.130316e-14 3.890829e+04 4.323143e+04
 96 6.284634e+14 2.122488e+09 1.817269e-14 3.703524e+04 4.115027e+04
 97 6.630553e+14 2.221381e+09 1.435055e-14 3.522398e+04 3.913775e+04
 98 6.995512e+14 2.339537e+09 1.144196e-14 3.366463e+04 3.740515e+04
 99 7.380558e+14 2.450129e+09 0.000000e+00 0.000000e+00 0.000000e+00
100 7.786799e+14 2.450129e+09 0.000000e+00 0.000000e+00 0.000000e+00
