        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
3.550e+12 3.638e+12    0     -1        0  5.14e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.726e+12 3.819e+12    1      0        0  2.43e+08  0.00e+00  0.00e+00  3.40e+37  1.28e-11  6.54e+12  9.40e+05  9.43e+05  4.44e-11  8.47e-11  0.00e+00  0.00e+00  1.00e-20 -6.12e+34 -5.52e+32 -3.87e+34  2.94e+06  1.71e+07  0.00e+00  1.70e+07 
3.911e+12 4.009e+12    2      0        0  6.68e+08  0.00e+00  0.00e+00  3.93e+37  1.23e-11  6.30e+12  8.94e+05  8.96e+05  4.09e-11  8.03e-11  0.00e+00  0.00e+00  1.00e-20 -5.48e+34 -9.83e+31 -3.54e+34  2.63e+06  1.61e+07  0.00e+00  1.61e+07 
4.106e+12 4.208e+12    3      0        0  1.23e+09  0.00e+00  0.00e+00  4.55e+37  1.18e-11  6.03e+12  8.49e+05  8.50e+05  2.92e-11  4.05e-11  0.00e+00  0.00e+00  1.00e-20 -4.77e+34 -3.91e+32 -3.18e+34  2.33e+06  1.51e+07  0.00e+00  1.51e+07 
4.310e+12 4.418e+12    4      0        0  1.82e+09  0.00e+00  0.00e+00  5.27e+37  1.11e-11  5.68e+12  8.04e+05  8.05e+05  2.61e-11  5.11e-11  0.00e+00  0.00e+00  1.00e-20 -4.19e+34  4.27e+32 -2.70e+34  2.10e+06  1.42e+07  0.00e+00  1.41e+07 
4.525e+12 4.637e+12    5      0        0  2.40e+09  0.00e+00  0.00e+00  6.11e+37  1.04e-11  5.34e+12  7.61e+05  7.63e+05  2.27e-11  3.47e-11  0.00e+00  0.00e+00  1.00e-20 -3.64e+34 -6.84e+32 -2.31e+34  1.90e+06  1.34e+07  0.00e+00  1.33e+07 
4.750e+12 4.868e+12    6      0        0  2.98e+09  0.00e+00  0.00e+00  7.08e+37  9.76e-12  5.01e+12  7.20e+05  7.21e+05  2.87e-11  3.38e-11  0.00e+00  0.00e+00  1.00e-20 -3.01e+34 -3.06e+32 -1.92e+34  1.73e+06  1.27e+07  0.00e+00  1.26e+07 
4.986e+12 5.110e+12    7      0        0  3.55e+09  0.00e+00  0.00e+00  8.21e+37  9.22e-12  4.73e+12  6.82e+05  6.82e+05  2.75e-11  2.75e-11  0.00e+00  0.00e+00  1.00e-20 -2.72e+34 -4.93e+31 -1.77e+34  1.58e+06  1.21e+07  0.00e+00  1.19e+07 
5.234e+12 5.364e+12    8      0        0  4.07e+09  0.00e+00  0.00e+00  9.52e+37  8.60e-12  4.41e+12  6.45e+05  6.45e+05  2.01e-11  4.67e-11  0.00e+00  0.00e+00  1.00e-20 -2.27e+34  1.37e+31 -1.43e+34  1.46e+06  1.16e+07  0.00e+00  1.14e+07 
5.495e+12 5.631e+12    9      0        0  4.60e+09  0.00e+00  0.00e+00  1.10e+38  8.15e-12  4.18e+12  6.10e+05  6.09e+05  2.40e-11  4.45e-11  0.00e+00  0.00e+00  1.27e-20 -2.09e+34 -9.65e+31 -1.28e+34  1.33e+06  1.12e+07  0.00e+00  1.09e+07 
