        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
2.268e+13 2.330e+13    0     -1        0  4.49e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13 2.458e+13    1      0        0  4.11e+08  0.00e+00  0.00e+00  1.00e+40  1.51e-11  7.71e+12  1.90e+05  1.90e+05  4.78e-09  6.61e-09  0.00e+00  0.00e+00  2.04e-06 -2.71e+33  1.78e+31 -1.63e+33  2.21e+04  3.12e+07  0.00e+00  3.06e+07 
2.524e+13 2.594e+13    2      0        0  3.74e+08  0.00e+00  0.00e+00  1.17e+40  1.45e-11  7.44e+12  1.80e+05  1.78e+05  4.80e-09  7.77e-09  0.00e+00  0.00e+00  3.52e-06 -2.71e+33  1.92e+31 -1.58e+33  2.13e+04  3.30e+07  0.00e+00  3.24e+07 
2.663e+13 2.736e+13    3      0        0  3.39e+08  0.00e+00  0.00e+00  1.38e+40  1.41e-11  7.20e+12  1.72e+05  1.67e+05  5.15e-09  7.76e-09  0.00e+00  0.00e+00  6.41e-06 -2.58e+33 -1.77e+31 -1.66e+33  2.03e+04  3.44e+07  0.00e+00  3.37e+07 
2.810e+13 2.887e+13    4      0        0  3.11e+08  0.00e+00  0.00e+00  1.62e+40  1.36e-11  6.96e+12  1.65e+05  1.58e+05  5.57e-09  8.31e-09  0.00e+00  0.00e+00  1.22e-05 -2.47e+33  4.12e+31 -1.58e+33  1.93e+04  3.57e+07  0.00e+00  3.49e+07 
2.964e+13 3.046e+13    5      0        0  2.88e+08  0.00e+00  0.00e+00  1.90e+40  1.32e-11  6.74e+12  1.59e+05  1.51e+05  5.99e-09  9.05e-09  0.00e+00  0.00e+00  2.45e-05 -2.63e+33  8.30e+29 -1.64e+33  1.83e+04  3.70e+07  0.00e+00  3.61e+07 
3.127e+13 3.213e+13    6      0        0  2.66e+08  0.00e+00  0.00e+00  2.23e+40  1.28e-11  6.55e+12  1.53e+05  1.44e+05  6.34e-09  9.81e-09  0.00e+00  0.00e+00  5.43e-05 -2.57e+33 -2.06e+31 -1.79e+33  1.72e+04  3.83e+07  0.00e+00  3.73e+07 
3.299e+13 3.390e+13    7      0        0  2.47e+08  0.00e+00  0.00e+00  2.62e+40  1.25e-11  6.42e+12  1.48e+05  1.39e+05  6.19e-09  1.01e-08  0.00e+00  0.00e+00  1.54e-04 -2.59e+33 -2.72e+31 -1.66e+33  1.59e+04  3.95e+07  0.00e+00  3.84e+07 
3.481e+13 3.577e+13    8      0        0  2.29e+08  0.00e+00  0.00e+00  3.08e+40  1.24e-11  6.35e+12  1.42e+05  1.35e+05  6.73e-09  1.15e-08  0.00e+00  0.00e+00  6.11e-04 -2.39e+33  7.88e+31 -1.54e+33  1.45e+04  4.05e+07  0.00e+00  3.93e+07 
3.673e+13 3.774e+13    9      0        0  2.14e+08  0.00e+00  0.00e+00  3.62e+40  1.23e-11  6.30e+12  1.37e+05  1.31e+05  7.64e-09  1.27e-08  0.00e+00  0.00e+00  6.06e-03 -2.74e+33  4.48e+31 -1.68e+33  1.31e+04  4.14e+07  0.00e+00  4.01e+07 
