        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
5.949e+13   18      0        0  1.73e+08  0.00e+00  0.00e+00  1.54e+41  9.99e-12  5.12e+12  9.60e+04  9.02e+04 -4.88e+03  3.33e+03  1.08e+05  1.08e+05  9.43e-01  8.02e+42  8.05e+42  7.92e+42  3.77e+07  4.10e+03  3.49e+07  8.00e-01  0.00e+00  0.00e+00 
6.276e+13   19      0        0  1.88e+08  0.00e+00  0.00e+00  1.81e+41  9.41e-12  4.81e+12  8.88e+04  8.87e+04 -7.86e+01  1.24e+02  1.04e+05  1.04e+05  8.83e-01  7.91e+42  7.91e+42  7.89e+42  3.64e+07  3.64e+03  3.33e+07  1.00e-01  0.00e+00  0.00e+00 
6.621e+13   20      0        0  2.04e+08  0.00e+00  0.00e+00  2.12e+41  8.72e-12  4.46e+12  8.51e+04  8.49e+04 -2.69e+02  4.11e+02  1.00e+05  1.01e+05  8.41e-01  7.76e+42  7.76e+42  7.72e+42  3.51e+07  3.29e+03  3.17e+07  2.24e-01  0.00e+00  0.00e+00 
6.986e+13   21      0        0  2.14e+08  0.00e+00  0.00e+00  2.49e+41  8.01e-12  4.10e+12  8.14e+04  8.13e+04 -2.26e+01  7.16e+01  9.67e+04  9.68e+04  8.09e-01  7.52e+42  7.52e+42  7.50e+42  3.38e+07  3.02e+03  3.02e+07  1.00e-01  0.00e+00  0.00e+00 
7.370e+13   22      0        0  2.27e+08  0.00e+00  0.00e+00  2.92e+41  7.23e-12  3.70e+12  7.80e+04  7.80e+04  1.85e+01 -4.98e+01  9.30e+04  9.30e+04  7.91e-01  7.04e+42  7.04e+42  7.03e+42  3.27e+07  2.83e+03  2.87e+07  1.00e-01  0.00e+00  0.00e+00 
7.776e+13   23      0        0  2.37e+08  0.00e+00  0.00e+00  3.43e+41  6.47e-12  3.31e+12  7.50e+04  7.50e+04 -8.68e+01  5.08e+01  8.95e+04  8.95e+04  7.79e-01  6.50e+42  6.50e+42  6.50e+42  3.17e+07  2.70e+03  2.74e+07  1.40e-01  0.00e+00  0.00e+00 
8.204e+13   24      0        0  2.41e+08  0.00e+00  0.00e+00  4.03e+41  5.74e-12  2.94e+12  7.24e+04  7.24e+04  4.17e+01  6.26e+00  8.62e+04  8.61e+04  7.75e-01  5.92e+42  5.92e+42  5.96e+42  3.10e+07  2.62e+03  2.63e+07  1.61e-01  0.00e+00  0.00e+00 
8.656e+13   25      0        0  2.46e+08  0.00e+00  0.00e+00  4.74e+41  5.08e-12  2.60e+12  6.97e+04  6.98e+04 -6.69e+01 -3.37e+01  8.31e+04  8.31e+04  7.75e-01  5.40e+42  5.40e+42  5.43e+42  3.04e+07  2.56e+03  2.53e+07  1.21e-01  0.00e+00  0.00e+00 
9.132e+13   26      0        0  2.42e+08  0.00e+00  0.00e+00  5.56e+41  4.53e-12  2.32e+12  6.75e+04  6.75e+04 -6.75e+01  3.20e+01  8.05e+04  8.06e+04  7.65e-01  5.01e+42  5.01e+42  5.02e+42  2.99e+07  2.51e+03  2.45e+07  1.10e-01  0.00e+00  0.00e+00 
9.635e+13   27      0        0  2.40e+08  0.00e+00  0.00e+00  6.53e+41  4.01e-12  2.05e+12  6.53e+04  6.54e+04 -4.38e+00 -1.05e+01  7.84e+04  7.84e+04  7.53e-01  4.60e+42  4.60e+42  4.60e+42  2.95e+07  2.50e+03  2.38e+07  1.10e-01  0.00e+00  0.00e+00 
1.017e+14   28      0        0  2.34e+08  0.00e+00  0.00e+00  7.67e+41  3.59e-12  1.84e+12  6.35e+04  6.35e+04  2.71e+00 -2.33e+00  7.66e+04  7.67e+04  7.35e-01  4.37e+42  4.37e+42  4.40e+42  2.93e+07  2.47e+03  2.32e+07  1.10e-01  0.00e+00  0.00e+00 
