        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r         w  ave_freq     j_bar   lum_tot  heat_tot heat_comp heat_lines   heat_ff heat_photo heat_auger  cool_tot cool_comp lum_lines   cool_dr    lum_ff   cool_rr cool_adiab heat_shock heat_lines_macro heat_photo_macro 
4.884e+13   14      0        0  1.93e+08  0.00e+00  0.00e+00  7.65e+40  1.13e-11  5.80e+12  7.02e+05  1.78e+05  6.47e+01  1.42e+16  1.16e+18  6.89e+42  2.05e+45  4.95e+44  2.25e+38  1.45e+43  7.05e+41  0.00e+00  2.05e+45  2.04e+45  3.46e+40  0.00e+00  5.15e+42  1.71e+42  6.89e+38  0.00e+00  2.23e+38  6.52e+41 
5.127e+13   15      0        0  1.94e+08  0.00e+00  0.00e+00  8.85e+40  1.11e-11  5.68e+12  6.92e+05  1.64e+05  7.44e+01  1.31e+16  9.68e+17  7.61e+42  1.91e+45  4.31e+44  1.99e+38  1.55e+43  8.88e+41  0.00e+00  1.91e+45  1.90e+45  3.37e+40  0.00e+00  5.67e+42  1.90e+42  8.09e+38  0.00e+00  1.92e+38  8.33e+41 
5.382e+13   16      0        0  1.98e+08  0.00e+00  0.00e+00  1.02e+41  1.09e-11  5.57e+12  6.71e+05  1.52e+05  8.30e+01  1.22e+16  8.04e+17  8.38e+42  1.75e+45  3.77e+44  2.06e+38  1.68e+43  7.92e+41  0.00e+00  1.75e+45  1.74e+45  2.78e+40  0.00e+00  6.21e+42  2.14e+42  1.04e+39  0.00e+00  1.86e+38  7.36e+41 
5.650e+13   17      0        0  2.06e+08  0.00e+00  0.00e+00  1.18e+41  1.05e-11  5.38e+12  6.43e+05  1.42e+05  8.99e+01  1.14e+16  6.67e+17  8.92e+42  1.55e+45  3.27e+44  3.11e+38  1.79e+43  8.16e+41  0.00e+00  1.55e+45  1.54e+45  1.98e+40  0.00e+00  6.57e+42  2.34e+42  1.18e+39  0.00e+00  2.68e+38  7.55e+41 
5.931e+13   18      0        0  2.16e+08  0.00e+00  0.00e+00  1.37e+41  9.99e-12  5.11e+12  6.09e+05  1.34e+05  9.43e+01  1.07e+16  5.56e+17  9.18e+42  1.35e+45  2.83e+44  4.21e+38  1.86e+43  9.34e+41  0.00e+00  1.35e+45  1.34e+45  1.19e+40  0.00e+00  6.68e+42  2.48e+42  1.27e+39  0.00e+00  3.06e+38  8.67e+41 
6.226e+13   19      0        0  2.27e+08  0.00e+00  0.00e+00  1.59e+41  9.42e-12  4.83e+12  5.72e+05  1.27e+05  9.70e+01  1.02e+16  4.62e+17  9.28e+42  1.15e+45  2.43e+44  6.00e+38  1.91e+43  1.04e+42  0.00e+00  1.15e+45  1.14e+45  6.25e+39  0.00e+00  6.67e+42  2.60e+42  1.32e+39  0.00e+00  3.26e+38  9.67e+41 
6.536e+13   20      0        0  2.40e+08  0.00e+00  0.00e+00  1.83e+41  8.82e-12  4.52e+12  5.34e+05  1.21e+05  9.80e+01  9.70e+15  3.85e+17  9.22e+42  9.69e+44  2.09e+44  1.01e+39  1.94e+43  1.17e+42  0.00e+00  9.69e+44  9.60e+44  3.19e+39  0.00e+00  6.53e+42  2.69e+42  1.34e+39  0.00e+00  4.32e+38  1.08e+42 
6.861e+13   21      0        0  2.53e+08  0.00e+00  0.00e+00  2.12e+41  8.00e-12  4.10e+12  4.97e+05  1.16e+05  9.73e+01  9.28e+15  3.21e+17  8.59e+42  7.89e+44  1.75e+44  1.31e+39  1.83e+43  1.11e+42  0.00e+00  7.90e+44  7.81e+44  1.75e+39  0.00e+00  5.99e+42  2.60e+42  1.32e+39  0.00e+00  3.42e+38  1.01e+42 
7.203e+13   22      0        0  2.67e+08  0.00e+00  0.00e+00  2.45e+41  7.20e-12  3.69e+12  4.63e+05  1.12e+05  9.48e+01  8.94e+15  2.69e+17  7.90e+42  6.44e+44  1.47e+44  1.84e+39  1.71e+43  1.09e+42  0.00e+00  6.44e+44  6.36e+44  1.26e+39  0.00e+00  5.42e+42  2.48e+42  1.22e+39  0.00e+00  3.29e+38  9.90e+41 
7.561e+13   23      0        0  2.80e+08  0.00e+00  0.00e+00  2.84e+41  6.48e-12  3.32e+12  4.32e+05  1.08e+05  9.15e+01  8.65e+15  2.28e+17  7.25e+42  5.29e+44  1.25e+44  2.58e+39  1.60e+43  1.12e+42  0.00e+00  5.29e+44  5.22e+44  1.14e+39  0.00e+00  4.89e+42  2.35e+42  1.07e+39  0.00e+00  3.66e+38  1.01e+42 
