        r      rcen    i inwind converge     nband      nxtot        xj xave_freq  xsd_freq      fmin      fmax  fmin_mod  fmax_mod spec_mod_type  pl_alpha  pl_log_w  exp_temp     exp_w 
8.746e+13 8.964e+13   26      0        0      0  1.24e+05  7.00e+13  7.37e+14  1.95e+14  1.05e+14  1.00e+15  1.05e+14  1.00e+15  1.00e+00  1.79e+00 -2.75e+01 -1.55e+04  1.04e-02 
9.181e+13 9.410e+13   27      0        0      0  1.22e+05  6.36e+13  7.35e+14  1.98e+14  1.09e+14  1.00e+15  1.09e+14  1.00e+15  1.00e+00  1.75e+00 -2.70e+01 -1.58e+04  9.87e-03 
9.638e+13 9.878e+13   28      0        0      0  1.16e+05  5.60e+13  7.32e+14  1.98e+14  1.02e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.71e+00 -2.65e+01 -1.60e+04  8.94e-03 
1.012e+14 1.037e+14   29      0        0      0  1.17e+05  5.38e+13  7.36e+14  1.96e+14  1.02e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.78e+00 -2.75e+01 -1.55e+04  7.99e-03 
1.062e+14 1.089e+14   30      0        0      0  1.17e+05  5.22e+13  7.55e+14  1.97e+14  1.02e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  2.06e+00 -3.18e+01 -1.37e+04  5.76e-03 
1.115e+14 1.143e+14   31      0        0      0  1.22e+05  5.20e+13  7.50e+14  1.95e+14  1.04e+14  1.00e+15  1.04e+14  1.00e+15  1.00e+00  1.99e+00 -3.06e+01 -1.42e+04  6.25e-03 
1.170e+14 1.200e+14   32      0        0      0  1.18e+05  4.80e+13  7.41e+14  1.95e+14  1.11e+14  1.00e+15  1.11e+14  1.00e+15  1.00e+00  1.84e+00 -2.85e+01 -1.51e+04  6.78e-03 
1.229e+14 1.259e+14   33      0        0      0  1.18e+05  4.52e+13  7.46e+14  1.93e+14  1.03e+14  1.00e+15  1.03e+14  1.00e+15  1.00e+00  1.93e+00 -2.98e+01 -1.45e+04  5.75e-03 
1.290e+14 1.322e+14   34      0        0      0  1.21e+05  4.49e+13  7.48e+14  1.90e+14  1.03e+14  1.00e+15  1.03e+14  1.00e+15  1.00e+00  1.96e+00 -3.03e+01 -1.43e+04  5.56e-03 
1.354e+14 1.388e+14   35      0        0      0  1.20e+05  4.22e+13  7.51e+14  1.81e+14  1.05e+14  1.00e+15  1.05e+14  1.00e+15  1.00e+00  2.00e+00 -3.09e+01 -1.41e+04  5.01e-03 
1.421e+14 1.457e+14   36      0        0      0  1.17e+05  3.69e+13  7.52e+14  1.84e+14  1.07e+14  1.00e+15  1.07e+14  1.00e+15  1.00e+00  2.03e+00 -3.13e+01 -1.40e+04  4.30e-03 
1.492e+14 1.529e+14   37      0        0      0  1.16e+05  3.30e+13  7.47e+14  1.90e+14  1.06e+14  1.00e+15  1.06e+14  1.00e+15  1.00e+00  1.94e+00 -3.01e+01 -1.45e+04  4.18e-03 
1.566e+14 1.605e+14   38      0        0      0  1.18e+05  3.00e+13  7.44e+14  1.88e+14  1.04e+14  1.00e+15  1.04e+14  1.00e+15  1.00e+00  1.89e+00 -2.94e+01 -1.48e+04  4.00e-03 
1.644e+14 1.685e+14   39      0        0      0  1.21e+05  2.79e+13  7.43e+14  1.92e+14  1.04e+14  1.00e+15  1.04e+14  1.00e+15  1.00e+00  1.87e+00 -2.91e+01 -1.49e+04  3.79e-03 
1.726e+14 1.769e+14   40      0        0      0  1.22e+05  2.58e+13  7.42e+14  1.95e+14  1.04e+14  1.00e+15  1.04e+14  1.00e+15  1.00e+00  1.87e+00 -2.91e+01 -1.49e+04  3.52e-03 
1.812e+14 1.857e+14   41      0        0      0  1.24e+05  2.34e+13  7.34e+14  1.94e+14  1.03e+14  1.00e+15  1.03e+14  1.00e+15  1.00e+00  1.74e+00 -2.72e+01 -1.58e+04  3.65e-03 
1.902e+14 1.949e+14   42      0        0      0  1.31e+05  2.25e+13  7.42e+14  1.90e+14  1.02e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.86e+00 -2.91e+01 -1.49e+04  3.07e-03 
1.997e+14 2.046e+14   43      0        0      0  1.38e+05  2.10e+13  7.45e+14  1.89e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.90e+00 -2.97e+01 -1.46e+04  2.74e-03 
2.096e+14 2.148e+14   44      0        0      0  1.42e+05  1.98e+13  7.46e+14  1.86e+14  1.01e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.92e+00 -3.01e+01 -1.45e+04  2.54e-03 
2.200e+14 2.255e+14   45      0        0      0  1.51e+05  1.87e+13  7.55e+14  1.85e+14  1.01e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  2.07e+00 -3.23e+01 -1.37e+04  2.05e-03 
2.310e+14 2.367e+14   46      0        0      0  1.62e+05  1.77e+13  7.55e+14  1.83e+14  1.01e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  2.08e+00 -3.25e+01 -1.36e+04  1.93e-03 
