        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
2.475e+13 2.537e+13    0     -1        0  3.48e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.598e+13 2.663e+13    1      0        0  3.24e+08  0.00e+00  0.00e+00  1.15e+40  1.43e-11  7.32e+12  9.14e+05  9.02e+05  1.56e-10  2.50e-10  0.00e+00  0.00e+00  1.00e-20 -3.96e+36 -4.51e+34 -2.49e+36  3.23e+06  1.57e+07  0.00e+00  1.57e+07 
2.728e+13 2.795e+13    2      0        0  3.03e+08  0.00e+00  0.00e+00  1.33e+40  1.39e-11  7.11e+12  8.09e+05  7.71e+05  1.41e-10  2.00e-10  0.00e+00  0.00e+00  1.00e-20 -3.20e+36  6.01e+34 -1.96e+36  3.11e+06  1.64e+07  0.00e+00  1.64e+07 
2.863e+13 2.934e+13    3      0        0  2.87e+08  0.00e+00  0.00e+00  1.54e+40  1.34e-11  6.89e+12  7.30e+05  6.63e+05  7.23e-11  1.76e-10  0.00e+00  0.00e+00  1.00e-20 -2.57e+36  1.15e+34 -1.67e+36  2.99e+06  1.68e+07  0.00e+00  1.68e+07 
3.006e+13 3.080e+13    4      0        0  2.73e+08  0.00e+00  0.00e+00  1.78e+40  1.31e-11  6.71e+12  6.74e+05  5.74e+05  4.31e-11  1.63e-10  0.00e+00  0.00e+00  1.15e-20 -2.32e+36 -5.51e+34 -1.43e+36  2.84e+06  1.72e+07  0.00e+00  1.71e+07 
3.155e+13 3.234e+13    5      0        0  2.56e+08  0.00e+00  0.00e+00  2.06e+40  1.27e-11  6.53e+12  6.38e+05  4.99e+05  3.39e-11  9.53e-11  0.00e+00  0.00e+00  4.26e-19 -1.92e+36  1.08e+34 -1.25e+36  2.70e+06  1.75e+07  0.00e+00  1.75e+07 
3.312e+13 3.395e+13    6      0        0  2.44e+08  0.00e+00  0.00e+00  2.39e+40  1.24e-11  6.35e+12  6.19e+05  4.36e+05  4.84e-11  1.15e-10  0.00e+00  0.00e+00  2.08e-17 -1.61e+36 -6.88e+34 -1.06e+36  2.56e+06  1.79e+07  0.00e+00  1.78e+07 
3.477e+13 3.563e+13    7      0        0  2.32e+08  0.00e+00  0.00e+00  2.76e+40  1.22e-11  6.26e+12  6.15e+05  3.83e+05  9.03e-11  1.82e-10  0.00e+00  0.00e+00  1.80e-15 -1.47e+36  1.23e+34 -9.12e+35  2.39e+06  1.82e+07  0.00e+00  1.81e+07 
3.650e+13 3.741e+13    8      0        0  2.25e+08  0.00e+00  0.00e+00  3.19e+40  1.21e-11  6.18e+12  6.23e+05  3.37e+05  8.78e-11  1.43e-10  0.00e+00  0.00e+00  1.99e-13 -1.21e+36 -2.75e+34 -8.43e+35  2.22e+06  1.85e+07  0.00e+00  1.84e+07 
3.832e+13 3.927e+13    9      0        0  2.17e+08  0.00e+00  0.00e+00  3.69e+40  1.20e-11  6.16e+12  6.38e+05  2.98e+05  8.86e-11  1.19e-10  0.00e+00  0.00e+00  1.04e-09 -1.06e+36 -2.38e+34 -7.14e+35  2.04e+06  1.87e+07  0.00e+00  1.86e+07 
4.022e+13 4.122e+13   10      0        0  2.12e+08  0.00e+00  0.00e+00  4.27e+40  1.19e-11  6.10e+12  6.58e+05  2.65e+05  7.99e-11  1.50e-10  0.00e+00  0.00e+00  1.58e-09 -1.03e+36  5.03e+33 -6.58e+35  1.88e+06  1.89e+07  0.00e+00  1.87e+07 
4.222e+13 4.327e+13   11      0        0  2.05e+08  0.00e+00  0.00e+00  4.94e+40  1.18e-11  6.03e+12  6.77e+05  2.37e+05  6.62e-11  1.18e-10  0.00e+00  0.00e+00  2.51e-09 -8.30e+35 -9.46e+33 -5.33e+35  1.72e+06  1.89e+07  0.00e+00  1.88e+07 
4.432e+13 4.543e+13   12      0        0  1.99e+08  0.00e+00  0.00e+00  5.72e+40  1.17e-11  5.99e+12  6.93e+05  2.14e+05  8.82e-11  1.17e-10  0.00e+00  0.00e+00  4.23e-09 -8.75e+35 -3.08e+33 -5.38e+35  1.56e+06  1.89e+07  0.00e+00  1.87e+07 
4.653e+13 4.769e+13   13      0        0  1.95e+08  0.00e+00  0.00e+00  6.62e+40  1.16e-11  5.92e+12  7.02e+05  1.94e+05  5.84e-11  1.40e-10  0.00e+00  0.00e+00  7.65e-09 -7.33e+35 -1.29e+34 -4.72e+35  1.42e+06  1.88e+07  0.00e+00  1.85e+07 
4.884e+13 5.006e+13   14      0        0  1.93e+08  0.00e+00  0.00e+00  7.65e+40  1.13e-11  5.80e+12  7.02e+05  1.78e+05  8.11e-11  9.75e-11  0.00e+00  0.00e+00  1.45e-08 -7.43e+35  1.24e+34 -4.42e+35  1.29e+06  1.85e+07  0.00e+00  1.83e+07 
5.127e+13 5.255e+13   15      0        0  1.94e+08  0.00e+00  0.00e+00  8.85e+40  1.11e-11  5.68e+12  6.92e+05  1.64e+05  8.17e-11  1.36e-10  0.00e+00  0.00e+00  2.95e-08 -6.21e+35  1.40e+32 -3.99e+35  1.16e+06  1.82e+07  0.00e+00  1.79e+07 
5.382e+13 5.516e+13   16      0        0  1.98e+08  0.00e+00  0.00e+00  1.02e+41  1.09e-11  5.57e+12  6.71e+05  1.52e+05  8.17e-11  1.18e-10  0.00e+00  0.00e+00  6.45e-08 -6.03e+35  1.82e+33 -3.54e+35  1.04e+06  1.77e+07  0.00e+00  1.74e+07 
5.650e+13 5.791e+13   17      0        0  2.06e+08  0.00e+00  0.00e+00  1.18e+41  1.05e-11  5.38e+12  6.43e+05  1.42e+05  8.31e-11  7.87e-11  0.00e+00  0.00e+00  1.51e-07 -5.12e+35  1.71e+34 -3.35e+35  9.35e+05  1.72e+07  0.00e+00  1.68e+07 
5.931e+13 6.079e+13   18      0        0  2.16e+08  0.00e+00  0.00e+00  1.37e+41  9.99e-12  5.11e+12  6.09e+05  1.34e+05  8.67e-11  7.70e-11  0.00e+00  0.00e+00  3.29e-07 -5.53e+35 -5.45e+33 -3.09e+35  8.56e+05  1.66e+07  0.00e+00  1.62e+07 
6.226e+13 6.381e+13   19      0        0  2.27e+08  0.00e+00  0.00e+00  1.59e+41  9.42e-12  4.83e+12  5.72e+05  1.27e+05  7.52e-11  1.17e-10  0.00e+00  0.00e+00  7.16e-07 -4.61e+35  7.42e+33 -2.61e+35  7.85e+05  1.60e+07  0.00e+00  1.55e+07 
6.536e+13 6.699e+13   20      0        0  2.40e+08  0.00e+00  0.00e+00  1.83e+41  8.82e-12  4.52e+12  5.34e+05  1.21e+05  7.76e-11  1.47e-10  0.00e+00  0.00e+00  1.37e-06 -4.19e+35 -5.19e+33 -2.74e+35  7.26e+05  1.54e+07  0.00e+00  1.48e+07 
