        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_old  cool_tot      ntot        ip    nioniz      gain macro_bf_in macro_bf_out 
2.475e+13    0     -1        0  3.48e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.598e+13    1      0        0  3.24e+08  0.00e+00  0.00e+00  1.15e+40  1.43e-11  7.32e+12  9.14e+05  9.14e+05  2.79e+02 -7.01e+02  9.02e+05  9.01e+05  1.31e+00  6.78e+45  6.78e+45  6.78e+45  1.57e+07  3.23e+06  1.57e+07  5.60e-01  0.00e+00  0.00e+00 
2.728e+13    2      0        0  3.03e+08  0.00e+00  0.00e+00  1.33e+40  1.39e-11  7.11e+12  8.09e+05  8.09e+05  6.75e+02  1.96e+02  7.71e+05  7.71e+05  1.92e+00  5.30e+45  5.30e+45  5.30e+45  1.64e+07  3.11e+06  1.64e+07  6.16e-01  0.00e+00  0.00e+00 
2.863e+13    3      0        0  2.87e+08  0.00e+00  0.00e+00  1.54e+40  1.34e-11  6.89e+12  7.30e+05  7.30e+05  7.34e+02 -2.24e+02  6.63e+05  6.63e+05  2.78e+00  4.24e+45  4.24e+45  4.24e+45  1.68e+07  2.99e+06  1.68e+07  8.00e-01  0.00e+00  0.00e+00 
3.006e+13    4      0        0  2.73e+08  0.00e+00  0.00e+00  1.78e+40  1.31e-11  6.71e+12  6.74e+05  6.74e+05  5.91e+02 -6.74e+02  5.74e+05  5.75e+05  3.96e+00  3.53e+45  3.53e+45  3.53e+45  1.72e+07  2.84e+06  1.71e+07  5.60e-01  0.00e+00  0.00e+00 
3.155e+13    5      0        0  2.56e+08  0.00e+00  0.00e+00  2.06e+40  1.27e-11  6.53e+12  6.38e+05  6.38e+05 -4.61e+01 -2.77e+02  4.99e+05  5.00e+05  5.59e+00  3.03e+45  3.03e+45  3.03e+45  1.75e+07  2.70e+06  1.75e+07  8.00e-01  0.00e+00  0.00e+00 
3.312e+13    6      0        0  2.44e+08  0.00e+00  0.00e+00  2.39e+40  1.24e-11  6.35e+12  6.19e+05  6.19e+05 -1.33e+02  3.68e+02  4.36e+05  4.36e+05  7.80e+00  2.70e+45  2.70e+45  2.70e+45  1.79e+07  2.56e+06  1.78e+07  3.92e-01  0.00e+00  0.00e+00 
3.477e+13    7      0        0  2.32e+08  0.00e+00  0.00e+00  2.76e+40  1.22e-11  6.26e+12  6.15e+05  6.15e+05  4.40e+02  7.45e+02  3.83e+05  3.83e+05  1.08e+01  2.50e+45  2.50e+45  2.50e+45  1.82e+07  2.39e+06  1.81e+07  6.16e-01  0.00e+00  0.00e+00 
3.650e+13    8      0        0  2.25e+08  0.00e+00  0.00e+00  3.19e+40  1.21e-11  6.18e+12  6.23e+05  6.23e+05  5.46e+02  1.66e+02  3.37e+05  3.37e+05  1.48e+01  2.39e+45  2.39e+45  2.39e+45  1.85e+07  2.22e+06  1.84e+07  6.16e-01  0.00e+00  0.00e+00 
3.832e+13    9      0        0  2.17e+08  0.00e+00  0.00e+00  3.69e+40  1.20e-11  6.16e+12  6.38e+05  6.38e+05 -1.17e+02  6.99e+02  2.98e+05  2.99e+05  2.00e+01  2.34e+45  2.34e+45  2.34e+45  1.87e+07  2.04e+06  1.86e+07  5.60e-01  0.00e+00  0.00e+00 
4.022e+13   10      0        0  2.12e+08  0.00e+00  0.00e+00  4.27e+40  1.19e-11  6.10e+12  6.58e+05  6.58e+05  1.40e+01  5.05e+02  2.65e+05  2.65e+05  2.67e+01  2.31e+45  2.31e+45  2.31e+45  1.89e+07  1.88e+06  1.87e+07  8.00e-01  0.00e+00  0.00e+00 
4.222e+13   11      0        0  2.05e+08  0.00e+00  0.00e+00  4.94e+40  1.18e-11  6.03e+12  6.77e+05  6.77e+05  1.02e+03  6.36e+01  2.37e+05  2.37e+05  3.48e+01  2.27e+45  2.27e+45  2.27e+45  1.89e+07  1.72e+06  1.88e+07  8.00e-01  0.00e+00  0.00e+00 
4.432e+13   12      0        0  1.99e+08  0.00e+00  0.00e+00  5.72e+40  1.17e-11  5.99e+12  6.93e+05  6.92e+05 -8.56e+02  8.79e+02  2.14e+05  2.14e+05  4.39e+01  2.23e+45  2.23e+45  2.23e+45  1.89e+07  1.56e+06  1.87e+07  4.90e-01  0.00e+00  0.00e+00 
4.653e+13   13      0        0  1.95e+08  0.00e+00  0.00e+00  6.62e+40  1.16e-11  5.92e+12  7.02e+05  7.02e+05 -6.61e+02  1.08e+03  1.94e+05  1.94e+05  5.42e+01  2.16e+45  2.16e+45  2.16e+45  1.88e+07  1.42e+06  1.85e+07  5.60e-01  0.00e+00  0.00e+00 
