  i            r          v_r          rho          t_e          t_r
 73 1.832636e+14 2.280095e+09 1.388819e-13 4.434421e+00 4.927135e+00
 74 1.933508e+14 2.256488e+09 1.283932e-13 4.425370e+00 4.917078e+00
 75 2.039932e+14 2.231739e+09 1.189302e-13 4.416717e+00 4.907463e+00
 76 2.152214e+14 2.195683e+09 1.100076e-13 4.407693e+00 4.897436e+00
 77 2.270676e+14 2.160944e+09 1.023587e-13 4.398661e+00 4.887401e+00
 78 2.395658e+14 2.128168e+09 9.561811e-14 4.389470e+00 4.877188e+00
 79 2.527520e+14 2.068453e+09 9.018503e-14 4.380438e+00 4.867154e+00
 80 2.666639e+14 2.028715e+09 8.572194e-14 4.371447e+00 4.857163e+00
 81 2.813417e+14 1.978908e+09 8.160907e-14 4.361874e+00 4.846526e+00
 82 2.968273e+14 1.925510e+09 7.943180e-14 4.352140e+00 4.835711e+00
 83 3.131652e+14 1.883300e+09 7.742454e-14 4.341989e+00 4.824433e+00
 84 3.304024e+14 1.818121e+09 7.581993e-14 4.331516e+00 4.812795e+00
 85 3.485884e+14 1.779076e+09 7.443222e-14 4.320649e+00 4.800721e+00
 86 3.677754e+14 1.763517e+09 7.255373e-14 4.308773e+00 4.787525e+00
 87 3.880185e+14 1.737603e+09 6.545614e-14 4.295823e+00 4.773136e+00
 88 4.093758e+14 1.742421e+09 5.518459e-14 4.282720e+00 4.758578e+00
 89 4.319086e+14 1.769754e+09 4.692578e-14 4.269594e+00 4.743993e+00
 90 4.556817e+14 1.762207e+09 4.130473e-14 4.256231e+00 4.729145e+00
 91 4.807634e+14 1.804849e+09 3.777224e-14 4.242170e+00 4.713523e+00
 92 5.072255e+14 1.855337e+09 3.557764e-14 4.226939e+00 4.696599e+00
 93 5.351442e+14 1.865751e+09 3.058316e-14 4.208862e+00 4.676513e+00
 94 5.645996e+14 1.958540e+09 2.514588e-14 4.190276e+00 4.655863e+00
 95 5.956763e+14 2.065760e+09 2.130316e-14 4.171529e+00 4.635032e+00
 96 6.284634e+14 2.122488e+09 1.817269e-14 4.152056e+00 4.613396e+00
 97 6.630553e+14 2.221381e+09 1.435055e-14 4.132110e+00 4.591233e+00
 98 6.995512e+14 2.339537e+09 1.144196e-14 4.114204e+00 4.571337e+00
 99 7.380558e+14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
100 7.786799e+14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
