        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.268e+13    0     -1        0  1.09e+10  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13    1      0        0  1.14e+10  0.00e+00  0.00e+00  1.09e+40  4.74e-14  2.43e+10  1.45e+05  1.45e+05 -8.43e+00 -1.15e+01  1.61e+05  1.61e+05  6.48e-01  1.70e+39  1.70e+39  1.71e+39  1.07e+07  2.32e+06  1.02e+07  4.25e-01  0.00e+00  0.00e+00 
2.524e+13    2      0        0  1.19e+10  0.00e+00  0.00e+00  1.28e+40  4.67e-14  2.39e+10  1.34e+05  1.34e+05 -7.86e+00 -4.77e+01  1.50e+05  1.50e+05  6.50e-01  1.42e+39  1.42e+39  1.42e+39  1.08e+07  1.88e+06  1.02e+07  4.25e-01  0.00e+00  0.00e+00 
2.663e+13    3      0        0  1.24e+10  0.00e+00  0.00e+00  1.52e+40  4.66e-14  2.39e+10  1.27e+05  1.27e+05 -9.83e-01 -2.90e+01  1.43e+05  1.43e+05  6.45e-01  1.29e+39  1.29e+39  1.29e+39  1.08e+07  1.58e+06  1.01e+07  2.81e-01  0.00e+00  0.00e+00 
2.810e+13    4      0        0  1.28e+10  0.00e+00  0.00e+00  1.80e+40  4.69e-14  2.40e+10  1.20e+05  1.20e+05  1.87e+01 -9.14e+01  1.37e+05  1.37e+05  6.43e-01  1.22e+39  1.22e+39  1.22e+39  1.09e+07  1.34e+06  1.01e+07  5.60e-01  0.00e+00  0.00e+00 
2.964e+13    5      0        0  1.33e+10  0.00e+00  0.00e+00  2.14e+40  4.75e-14  2.43e+10  1.14e+05  1.14e+05 -9.40e+00 -6.29e+00  1.31e+05  1.31e+05  6.46e-01  1.18e+39  1.18e+39  1.18e+39  1.10e+07  1.15e+06  1.01e+07  1.72e-01  0.00e+00  0.00e+00 
3.127e+13    6      0        0  1.39e+10  0.00e+00  0.00e+00  2.53e+40  4.86e-14  2.49e+10  1.08e+05  1.08e+05 -1.72e+01 -6.58e+00  1.26e+05  1.26e+05  6.52e-01  1.17e+39  1.17e+39  1.17e+39  1.11e+07  9.79e+05  1.01e+07  4.25e-01  0.00e+00  0.00e+00 
3.299e+13    7      0        0  1.44e+10  0.00e+00  0.00e+00  3.00e+40  5.02e-14  2.57e+10  1.03e+05  1.03e+05 -3.04e+01  9.03e-01  1.21e+05  1.21e+05  6.59e-01  1.19e+39  1.19e+39  1.19e+39  1.11e+07  8.32e+05  1.01e+07  6.94e-01  0.00e+00  0.00e+00 
3.481e+13    8      0        0  1.48e+10  0.00e+00  0.00e+00  3.56e+40  5.22e-14  2.68e+10  9.78e+04  9.78e+04 -3.51e+01 -2.98e+01  1.16e+05  1.16e+05  6.69e-01  1.22e+39  1.22e+39  1.22e+39  1.12e+07  7.05e+05  1.00e+07  4.42e-01  0.00e+00  0.00e+00 
3.673e+13    9      0        0  1.53e+10  0.00e+00  0.00e+00  4.23e+40  5.45e-14  2.79e+10  9.31e+04  9.31e+04 -1.02e+01 -4.81e+00  1.12e+05  1.12e+05  6.83e-01  1.27e+39  1.27e+39  1.27e+39  1.13e+07  5.99e+05  1.00e+07  5.74e-01  0.00e+00  0.00e+00 
3.875e+13   10      0        0  1.57e+10  0.00e+00  0.00e+00  5.02e+40  5.70e-14  2.92e+10  8.90e+04  8.90e+04 -5.51e+01  4.01e+01  1.07e+05  1.08e+05  6.97e-01  1.34e+39  1.34e+39  1.34e+39  1.14e+07  5.08e+05  9.97e+06  5.74e-01  0.00e+00  0.00e+00 
4.088e+13   11      0        0  1.61e+10  0.00e+00  0.00e+00  5.95e+40  5.99e-14  3.07e+10  8.53e+04  8.53e+04 -8.66e+00 -5.03e+01  1.04e+05  1.04e+05  7.10e-01  1.43e+39  1.43e+39  1.43e+39  1.15e+07  4.31e+05  9.91e+06  3.65e-01  0.00e+00  0.00e+00 
4.313e+13   12      0        0  1.65e+10  0.00e+00  0.00e+00  7.05e+40  6.26e-14  3.21e+10  8.19e+04  8.19e+04 -4.40e+01 -3.91e+01  1.00e+05  1.00e+05  7.25e-01  1.52e+39  1.52e+39  1.52e+39  1.16e+07  3.68e+05  9.84e+06  2.97e-01  0.00e+00  0.00e+00 
4.551e+13   13      0        0  1.68e+10  0.00e+00  0.00e+00  8.36e+40  6.52e-14  3.34e+10  7.89e+04  7.89e+04 -2.96e+01 -4.73e+01  9.65e+04  9.66e+04  7.39e-01  1.63e+39  1.63e+39  1.64e+39  1.17e+07  3.15e+05  9.76e+06  2.56e-01  0.00e+00  0.00e+00 
