        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
2.268e+13 2.330e+13    0     -1        0  1.09e+10  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13 2.458e+13    1      0        0  1.14e+10  0.00e+00  0.00e+00  1.09e+40  4.74e-14  2.43e+10  1.45e+05  1.61e+05  4.34e-12  2.64e-11  0.00e+00  0.00e+00  5.59e-08 -2.09e+32  2.55e+30 -1.32e+32  2.32e+06  1.07e+07  0.00e+00  1.02e+07 
2.524e+13 2.594e+13    2      0        0  1.19e+10  0.00e+00  0.00e+00  1.28e+40  4.67e-14  2.39e+10  1.34e+05  1.50e+05  5.33e-12  3.86e-11  0.00e+00  0.00e+00  1.18e-07 -2.38e+32 -5.71e+30 -1.64e+32  1.88e+06  1.08e+07  0.00e+00  1.02e+07 
2.663e+13 2.736e+13    3      0        0  1.24e+10  0.00e+00  0.00e+00  1.52e+40  4.66e-14  2.39e+10  1.27e+05  1.43e+05  4.88e-12  4.02e-11  0.00e+00  0.00e+00  2.09e-07 -2.69e+32  5.79e+30 -1.79e+32  1.58e+06  1.08e+07  0.00e+00  1.01e+07 
2.810e+13 2.887e+13    4      0        0  1.28e+10  0.00e+00  0.00e+00  1.80e+40  4.69e-14  2.40e+10  1.20e+05  1.37e+05  4.73e-12  5.51e-11  0.00e+00  0.00e+00  3.57e-07 -2.87e+32 -4.57e+30 -1.91e+32  1.34e+06  1.09e+07  0.00e+00  1.01e+07 
2.964e+13 3.046e+13    5      0        0  1.33e+10  0.00e+00  0.00e+00  2.14e+40  4.75e-14  2.43e+10  1.14e+05  1.31e+05  9.10e-12  5.32e-11  0.00e+00  0.00e+00  6.08e-07 -3.23e+32 -1.58e+30 -2.12e+32  1.15e+06  1.10e+07  0.00e+00  1.01e+07 
3.127e+13 3.213e+13    6      0        0  1.39e+10  0.00e+00  0.00e+00  2.53e+40  4.86e-14  2.49e+10  1.08e+05  1.26e+05  5.65e-12  6.06e-11  0.00e+00  0.00e+00  1.03e-06 -3.49e+32 -3.37e+30 -2.25e+32  9.79e+05  1.11e+07  0.00e+00  1.01e+07 
3.299e+13 3.390e+13    7      0        0  1.44e+10  0.00e+00  0.00e+00  3.00e+40  5.02e-14  2.57e+10  1.03e+05  1.21e+05  5.48e-12  7.69e-11  0.00e+00  0.00e+00  1.72e-06 -3.69e+32 -2.31e+30 -2.42e+32  8.32e+05  1.11e+07  0.00e+00  1.01e+07 
3.481e+13 3.577e+13    8      0        0  1.48e+10  0.00e+00  0.00e+00  3.56e+40  5.22e-14  2.68e+10  9.78e+04  1.16e+05  9.68e-12  9.30e-11  0.00e+00  0.00e+00  2.89e-06 -4.15e+32 -6.72e+30 -2.61e+32  7.05e+05  1.12e+07  0.00e+00  1.00e+07 
3.673e+13 3.774e+13    9      0        0  1.53e+10  0.00e+00  0.00e+00  4.23e+40  5.45e-14  2.79e+10  9.31e+04  1.12e+05  1.37e-11  1.29e-10  0.00e+00  0.00e+00  4.93e-06 -4.62e+32  9.64e+30 -2.91e+32  5.99e+05  1.13e+07  0.00e+00  1.00e+07 
