 i            r          v_r          rho          t_e          t_r
74 3.880185e+14 1.141880e+10 2.136087e-14 7.164758e+04 7.960842e+04
75 4.093758e+14 1.123513e+10 1.977052e-14 6.949990e+04 7.722211e+04
76 4.319086e+14 1.106657e+10 1.827816e-14 6.735771e+04 7.484190e+04
77 4.556817e+14 1.089447e+10 1.687170e-14 6.533598e+04 7.259553e+04
78 4.807634e+14 1.075126e+10 1.556163e-14 6.347254e+04 7.052504e+04
79 5.072255e+14 1.061687e+10 1.436760e-14 6.146873e+04 6.829859e+04
80 5.351442e+14 1.047985e+10 1.323476e-14 5.940105e+04 6.600117e+04
81 5.645996e+14 1.036395e+10 1.216173e-14 5.740470e+04 6.378300e+04
82 5.956763e+14 1.027542e+10 1.113291e-14 5.545438e+04 6.161598e+04
83 6.284634e+14 1.016241e+10 1.011712e-14 5.358682e+04 5.954091e+04
84 6.630553e+14 1.009941e+10 9.115366e-15 5.212901e+04 5.792112e+04
85 6.995512e+14 1.004037e+10 8.154238e-15 5.062887e+04 5.625429e+04
86 7.380558e+14 9.954470e+09 0.000000e+00 0.000000e+00 0.000000e+00
87 7.786799e+14 9.954470e+09 0.000000e+00 0.000000e+00 0.000000e+00
