       x        z    i    j inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
2.95e+13 3.11e+13    1   14      0        0  5.43e+09  0.00e+00  5.91e+09 -5.83e-04  3.10e-16  2.52e-04  0.00e+00  0.00e+00  0.00e+00 -7.48e-04  4.65e-16  4.41e-04 -1.25e-04  6.40e-04  1.04e+00  6.26e+05 
3.11e+13 2.95e+13    1   15      0        0  4.25e+09  0.00e+00  4.36e+09 -4.89e-04 -1.50e-16  2.51e-04  0.00e+00  0.00e+00  0.00e+00 -5.46e-04  7.51e-17  3.65e-04 -8.99e-05  5.14e-04  1.02e+00  6.26e+05 
3.26e+13 2.79e+13    1   16      0        0  3.26e+09  0.00e+00  3.23e+09 -3.66e-04 -2.40e-16  2.15e-04  0.00e+00  0.00e+00  0.00e+00 -3.60e-04 -5.53e-17  2.77e-04 -4.76e-05  3.74e-04  1.01e+00  6.26e+05 
3.40e+13 2.61e+13    1   17      0        0  2.54e+09  0.00e+00  2.47e+09 -2.47e-04 -2.46e-16  1.75e-04  0.00e+00  0.00e+00  0.00e+00 -2.17e-04 -5.93e-17  2.04e-04 -1.33e-05  2.48e-04  1.01e+00  6.26e+05 
3.54e+13 2.43e+13    1   18      0        0  2.02e+09  0.00e+00  1.97e+09 -1.62e-04 -7.26e-17  1.39e-04  0.00e+00  0.00e+00  0.00e+00 -1.29e-04 -1.75e-16  1.53e-04  7.79e-06  1.62e-04  1.00e+00  6.26e+05 
3.66e+13 2.24e+13    1   19      0        0  1.64e+09  0.00e+00  1.61e+09 -1.14e-04 -2.07e-16  1.17e-04  0.00e+00  0.00e+00  0.00e+00 -8.64e-05 -3.09e-16  1.24e-04  1.63e-05  1.25e-04  1.00e+00  6.26e+05 
3.77e+13 2.05e+13    1   20      0        0  1.33e+09  0.00e+00  1.32e+09 -9.51e-05  1.38e-16  1.10e-04  0.00e+00  0.00e+00  0.00e+00 -6.94e-05 -9.77e-17  1.11e-04  2.32e-05  1.13e-04  1.00e+00  6.26e+05 
3.87e+13 1.85e+13    1   21      0        0  1.03e+09  0.00e+00  1.05e+09 -7.96e-05  1.90e-16  1.06e-04  0.00e+00  0.00e+00  0.00e+00 -5.66e-05  1.99e-16  1.03e-04  3.22e-05  1.06e-04  1.00e+00  6.26e+05 
3.96e+13 1.64e+13    1   22      0        0  7.60e+08  0.00e+00  8.11e+08 -6.25e-05 -1.70e-16  1.03e-04  0.00e+00  0.00e+00  0.00e+00 -4.33e-05 -4.31e-17  9.63e-05  3.91e-05  1.02e-04  1.00e+00  6.26e+05 
4.05e+13 1.43e+13    1   23      0        0  5.10e+08  0.00e+00  5.93e+08 -5.32e-05 -4.68e-18  1.07e-04  0.00e+00  0.00e+00  0.00e+00 -3.78e-05  5.09e-17  9.44e-05  4.16e-05  1.02e-04  1.00e+00  6.26e+05 
4.11e+13 1.22e+13    1   24      0        0  2.43e+08  0.00e+00  3.70e+08 -5.49e-05  2.90e-17  1.23e-04  0.00e+00  0.00e+00  0.00e+00 -3.74e-05  8.01e-17  9.90e-05  4.78e-05  1.10e-04  1.00e+00  6.26e+05 
4.17e+13 1.00e+13    1   25      0        0 -7.17e+07  0.00e+00  1.35e+08 -4.90e-05  1.07e-17  1.38e-04  0.00e+00  0.00e+00  0.00e+00 -3.20e-05 -1.66e-17  9.39e-05  4.41e-05  1.11e-04  1.00e+00  6.26e+05 
4.22e+13 7.82e+12    1   26      0        0 -3.89e+08  0.00e+00 -5.90e+07 -2.29e-05  2.91e-17  1.13e-04  0.00e+00  0.00e+00  0.00e+00 -9.56e-06  5.33e-18  6.43e-05  3.34e-05  8.82e-05  1.00e+00  6.26e+05 
4.25e+13 5.60e+12    1   27      0        0 -5.70e+08  0.00e+00 -1.46e+08  8.06e-06  3.75e-17  5.30e-05  0.00e+00  0.00e+00  0.00e+00  6.53e-06 -2.25e-18  2.11e-05  1.17e-05  4.50e-05  1.00e+00  6.26e+05 
4.28e+13 3.37e+12    1   28      0        0 -6.11e+08  0.00e+00 -1.45e+08  1.49e-05 -1.97e-18  1.14e-05  0.00e+00  0.00e+00  0.00e+00  1.19e-05 -2.06e-17 -2.33e-06  8.01e-06  2.08e-05  1.00e+00  6.26e+05 
