        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
3.550e+12 3.638e+12    0     -1        0  5.14e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.726e+12 3.819e+12    1      0        0  2.43e+08  0.00e+00  0.00e+00  3.40e+37  1.28e-11  6.54e+12  9.40e+05  9.43e+05  5.86e-11  6.94e-11  0.00e+00  0.00e+00  1.00e-20 -6.29e+34 -4.15e+32 -3.92e+34  2.94e+06  1.71e+07  0.00e+00  1.70e+07 
3.911e+12 4.009e+12    2      0        0  6.68e+08  0.00e+00  0.00e+00  3.93e+37  1.23e-11  6.30e+12  8.95e+05  8.96e+05  4.23e-11  7.54e-11  0.00e+00  0.00e+00  1.00e-20 -5.47e+34  5.93e+30 -3.49e+34  2.63e+06  1.61e+07  0.00e+00  1.61e+07 
4.106e+12 4.208e+12    3      0        0  1.23e+09  0.00e+00  0.00e+00  4.55e+37  1.18e-11  6.03e+12  8.49e+05  8.51e+05  4.11e-11  5.94e-11  0.00e+00  0.00e+00  1.00e-20 -4.85e+34  7.69e+31 -3.02e+34  2.33e+06  1.51e+07  0.00e+00  1.50e+07 
4.310e+12 4.418e+12    4      0        0  1.82e+09  0.00e+00  0.00e+00  5.27e+37  1.11e-11  5.68e+12  8.04e+05  8.06e+05  3.86e-11  5.11e-11  0.00e+00  0.00e+00  1.00e-20 -4.17e+34  4.65e+32 -2.68e+34  2.10e+06  1.42e+07  0.00e+00  1.41e+07 
4.525e+12 4.637e+12    5      0        0  2.40e+09  0.00e+00  0.00e+00  6.11e+37  1.04e-11  5.34e+12  7.61e+05  7.63e+05  3.07e-11  6.16e-11  0.00e+00  0.00e+00  1.00e-20 -3.59e+34 -4.92e+32 -2.19e+34  1.90e+06  1.34e+07  0.00e+00  1.33e+07 
4.750e+12 4.868e+12    6      0        0  2.98e+09  0.00e+00  0.00e+00  7.08e+37  9.76e-12  5.01e+12  7.20e+05  7.21e+05  2.27e-11  6.25e-11  0.00e+00  0.00e+00  1.00e-20 -3.07e+34 -2.52e+32 -2.02e+34  1.73e+06  1.27e+07  0.00e+00  1.26e+07 
4.986e+12 5.110e+12    7      0        0  3.55e+09  0.00e+00  0.00e+00  8.21e+37  9.22e-12  4.73e+12  6.82e+05  6.82e+05  2.15e-11  4.84e-11  0.00e+00  0.00e+00  1.00e-20 -2.68e+34  2.63e+32 -1.73e+34  1.58e+06  1.21e+07  0.00e+00  1.20e+07 
5.234e+12 5.364e+12    8      0        0  4.07e+09  0.00e+00  0.00e+00  9.52e+37  8.60e-12  4.41e+12  6.45e+05  6.44e+05  3.15e-11  2.65e-11  0.00e+00  0.00e+00  1.00e-20 -2.32e+34  3.65e+31 -1.46e+34  1.46e+06  1.16e+07  0.00e+00  1.14e+07 
5.495e+12 5.631e+12    9      0        0  4.60e+09  0.00e+00  0.00e+00  1.10e+38  8.15e-12  4.18e+12  6.10e+05  6.09e+05  1.70e-11  4.49e-11  0.00e+00  0.00e+00  1.28e-20 -2.07e+34 -5.13e+32 -1.30e+34  1.33e+06  1.12e+07  0.00e+00  1.09e+07 
5.768e+12 5.912e+12   10      0        0  5.12e+09  0.00e+00  0.00e+00  1.28e+38  7.71e-12  3.95e+12  5.77e+05  5.75e+05  1.40e-11  4.65e-11  0.00e+00  0.00e+00  4.98e-20 -1.82e+34  2.18e+32 -1.19e+34  1.22e+06  1.08e+07  0.00e+00  1.05e+07 
