        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
1.084e+13   23      0        0  8.26e+09  0.00e+00  0.00e+00  3.98e-04 -2.25e-10 -3.94e-04  0.00e+00  7.92e-04  0.00e+00 -3.94e-04 -2.25e-10  3.98e-04  1.52e-03  7.92e-04  1.04e+00  1.00e+05 
1.138e+13   24      0        0  8.24e+09  0.00e+00  0.00e+00  3.50e-04 -2.14e-10 -4.04e-04  0.00e+00  7.53e-04  0.00e+00 -4.04e-04 -2.14e-10  3.50e-04  1.38e-03  7.53e-04  1.04e+00  1.00e+05 
1.195e+13   25      0        0  8.20e+09  0.00e+00  0.00e+00  3.06e-04 -2.00e-10 -4.07e-04  0.00e+00  7.13e-04  0.00e+00 -4.07e-04 -2.00e-10  3.06e-04  1.26e-03  7.13e-04  1.04e+00  1.00e+05 
1.254e+13   26      0        0  8.13e+09  0.00e+00  0.00e+00  2.58e-04 -1.85e-10 -4.15e-04  0.00e+00  6.73e-04  0.00e+00 -4.15e-04 -1.85e-10  2.58e-04  1.11e-03  6.73e-04  1.04e+00  1.00e+05 
1.317e+13   27      0        0  8.01e+09  0.00e+00  0.00e+00  2.14e-04 -1.68e-10 -4.17e-04  0.00e+00  6.31e-04  0.00e+00 -4.17e-04 -1.68e-10  2.14e-04  1.01e-03  6.31e-04  1.04e+00  1.00e+05 
1.382e+13   28      0        0  7.87e+09  0.00e+00  0.00e+00  1.81e-04 -1.51e-10 -4.09e-04  0.00e+00  5.90e-04  0.00e+00 -4.09e-04 -1.51e-10  1.81e-04  8.92e-04  5.90e-04  1.04e+00  1.00e+05 
1.451e+13   29      0        0  7.70e+09  0.00e+00  0.00e+00  1.49e-04 -1.35e-10 -4.00e-04  0.00e+00  5.49e-04  0.00e+00 -4.00e-04 -1.35e-10  1.49e-04  8.02e-04  5.49e-04  1.03e+00  1.00e+05 
1.523e+13   30      0        0  7.51e+09  0.00e+00  0.00e+00  1.17e-04 -1.19e-10 -3.92e-04  0.00e+00  5.10e-04  0.00e+00 -3.92e-04 -1.19e-10  1.17e-04  6.84e-04  5.10e-04  1.03e+00  1.00e+05 
1.599e+13   31      0        0  7.29e+09  0.00e+00  0.00e+00  9.02e-05 -1.03e-10 -3.80e-04  0.00e+00  4.70e-04  0.00e+00 -3.80e-04 -1.03e-10  9.02e-05  6.17e-04  4.70e-04  1.03e+00  1.00e+05 
1.678e+13   32      0        0  7.06e+09  0.00e+00  0.00e+00  6.97e-05 -8.87e-11 -3.63e-04  0.00e+00  4.33e-04  0.00e+00 -3.63e-04 -8.87e-11  6.97e-05  5.27e-04  4.33e-04  1.03e+00  1.00e+05 
1.762e+13   33      0        0  6.81e+09  0.00e+00  0.00e+00  4.72e-05 -7.54e-11 -3.50e-04  0.00e+00  3.97e-04  0.00e+00 -3.50e-04 -7.54e-11  4.72e-05  4.56e-04  3.97e-04  1.03e+00  1.00e+05 
1.850e+13   34      0        0  6.55e+09  0.00e+00  0.00e+00  3.48e-05 -6.34e-11 -3.28e-04  0.00e+00  3.63e-04  0.00e+00 -3.28e-04 -6.34e-11  3.48e-05  4.10e-04  3.63e-04  1.02e+00  1.00e+05 
1.942e+13   35      0        0  6.28e+09  0.00e+00  0.00e+00  2.10e-05 -5.32e-11 -3.10e-04  0.00e+00  3.31e-04  0.00e+00 -3.10e-04 -5.32e-11  2.10e-05  3.36e-04  3.31e-04  1.02e+00  1.00e+05 
2.038e+13   36      0        0  6.00e+09  0.00e+00  0.00e+00  5.41e-06 -4.39e-11 -2.95e-04  0.00e+00  3.00e-04  0.00e+00 -2.95e-04 -4.39e-11  5.41e-06  2.87e-04  3.02e-04  1.02e+00  1.00e+05 
