        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_old  cool_tot      ntot        ip    nioniz      gain macro_bf_in macro_bf_out 
3.550e+12    0     -1        0  5.14e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.726e+12    1      0        0  2.43e+08  0.00e+00  0.00e+00  3.40e+37  1.28e-11  6.54e+12  9.40e+05  9.40e+05  1.07e+02  2.96e+02  9.43e+05  9.43e+05  9.30e-01  1.56e+43  1.56e+43  1.56e+43  1.71e+07  2.94e+06  1.70e+07  8.00e-01  0.00e+00  0.00e+00 
3.911e+12    2      0        0  6.68e+08  0.00e+00  0.00e+00  3.93e+37  1.23e-11  6.30e+12  8.95e+05  8.95e+05 -4.69e+00 -2.28e+02  8.96e+05  8.97e+05  9.20e-01  1.34e+43  1.34e+43  1.34e+43  1.61e+07  2.63e+06  1.61e+07  5.92e-01  0.00e+00  0.00e+00 
4.106e+12    3      0        0  1.23e+09  0.00e+00  0.00e+00  4.55e+37  1.18e-11  6.03e+12  8.49e+05  8.49e+05  1.41e+01 -3.37e+02  8.51e+05  8.51e+05  9.01e-01  1.12e+43  1.12e+43  1.12e+43  1.51e+07  2.33e+06  1.50e+07  5.60e-01  0.00e+00  0.00e+00 
4.310e+12    4      0        0  1.82e+09  0.00e+00  0.00e+00  5.27e+37  1.11e-11  5.68e+12  8.04e+05  8.04e+05 -1.56e+02 -1.18e+02  8.06e+05  8.06e+05  8.89e-01  9.20e+42  9.20e+42  9.20e+42  1.42e+07  2.10e+06  1.41e+07  8.00e-01  0.00e+00  0.00e+00 
4.525e+12    5      0        0  2.40e+09  0.00e+00  0.00e+00  6.11e+37  1.04e-11  5.34e+12  7.61e+05  7.62e+05 -2.45e+01 -1.74e+01  7.63e+05  7.63e+05  8.82e-01  7.55e+42  7.55e+42  7.55e+42  1.34e+07  1.90e+06  1.33e+07  8.00e-01  0.00e+00  0.00e+00 
4.750e+12    6      0        0  2.98e+09  0.00e+00  0.00e+00  7.08e+37  9.76e-12  5.01e+12  7.20e+05  7.21e+05 -1.55e+02  4.32e+02  7.21e+05  7.22e+05  8.83e-01  6.21e+42  6.21e+42  6.21e+42  1.27e+07  1.73e+06  1.26e+07  5.60e-01  0.00e+00  0.00e+00 
4.986e+12    7      0        0  3.55e+09  0.00e+00  0.00e+00  8.21e+37  9.22e-12  4.73e+12  6.82e+05  6.82e+05  2.97e+01  1.07e+02  6.82e+05  6.83e+05  8.88e-01  5.17e+42  5.17e+42  5.17e+42  1.21e+07  1.58e+06  1.20e+07  2.90e-01  0.00e+00  0.00e+00 
5.234e+12    8      0        0  4.07e+09  0.00e+00  0.00e+00  9.52e+37  8.60e-12  4.41e+12  6.45e+05  6.45e+05 -2.73e+01  1.61e+02  6.44e+05  6.45e+05  8.99e-01  4.27e+42  4.27e+42  4.27e+42  1.16e+07  1.46e+06  1.14e+07  1.85e-01  0.00e+00  0.00e+00 
5.495e+12    9      0        0  4.60e+09  0.00e+00  0.00e+00  1.10e+38  8.15e-12  4.18e+12  6.10e+05  6.10e+05 -1.21e+02  2.59e+02  6.09e+05  6.09e+05  9.17e-01  3.61e+42  3.61e+42  3.61e+42  1.12e+07  1.33e+06  1.09e+07  5.60e-01  0.00e+00  0.00e+00 
5.768e+12   10      0        0  5.12e+09  0.00e+00  0.00e+00  1.28e+38  7.71e-12  3.95e+12  5.77e+05  5.77e+05 -2.04e+02  7.13e+01  5.75e+05  5.75e+05  9.39e-01  3.06e+42  3.06e+42  3.06e+42  1.08e+07  1.22e+06  1.05e+07  8.00e-01  0.00e+00  0.00e+00 
6.055e+12   11      0        0  5.62e+09  0.00e+00  0.00e+00  1.49e+38  7.34e-12  3.76e+12  5.47e+05  5.47e+05 -6.79e+01  3.16e+02  5.44e+05  5.44e+05  9.67e-01  2.63e+42  2.63e+42  2.63e+42  1.05e+07  1.12e+06  1.02e+07  5.60e-01  0.00e+00  0.00e+00 
6.356e+12   12      0        0  6.05e+09  0.00e+00  0.00e+00  1.72e+38  6.98e-12  3.58e+12  5.19e+05  5.19e+05  8.31e+01  3.38e+02  5.14e+05  5.14e+05  9.97e-01  2.28e+42  2.28e+42  2.28e+42  1.03e+07  1.03e+06  9.92e+06  8.00e-01  0.00e+00  0.00e+00 
6.672e+12   13      0        0  6.45e+09  0.00e+00  0.00e+00  2.00e+38  6.61e-12  3.39e+12  4.93e+05  4.93e+05  2.00e+01 -1.50e+01  4.87e+05  4.87e+05  1.03e+00  1.98e+42  1.98e+42  1.98e+42  1.01e+07  9.62e+05  9.68e+06  4.31e-01  0.00e+00  0.00e+00 
7.004e+12   14      0        0  6.81e+09  0.00e+00  0.00e+00  2.32e+38  6.33e-12  3.25e+12  4.69e+05  4.69e+05  1.03e+01 -8.49e+01  4.61e+05  4.61e+05  1.07e+00  1.75e+42  1.75e+42  1.75e+42  9.97e+06  8.87e+05  9.48e+06  3.92e-01  0.00e+00  0.00e+00 
7.353e+12   15      0        0  7.11e+09  0.00e+00  0.00e+00  2.69e+38  6.04e-12  3.10e+12  4.47e+05  4.48e+05  2.87e+02 -3.34e+01  4.37e+05  4.37e+05  1.12e+00  1.55e+42  1.55e+42  1.55e+42  9.86e+06  8.24e+05  9.31e+06  8.00e-01  0.00e+00  0.00e+00 
7.719e+12   16      0        0  7.36e+09  0.00e+00  0.00e+00  3.12e+38  5.78e-12  2.96e+12  4.28e+05  4.28e+05  2.53e+02  2.81e+02  4.15e+05  4.15e+05  1.16e+00  1.39e+42  1.39e+42  1.39e+42  9.78e+06  7.63e+05  9.16e+06  5.92e-01  0.00e+00  0.00e+00 
8.103e+12   17      0        0  7.59e+09  0.00e+00  0.00e+00  3.62e+38  5.55e-12  2.85e+12  4.09e+05  4.10e+05  2.43e+02  4.21e+02  3.94e+05  3.94e+05  1.21e+00  1.25e+42  1.25e+42  1.25e+42  9.74e+06  7.07e+05  9.05e+06  5.92e-01  0.00e+00  0.00e+00 
8.506e+12   18      0        0  7.80e+09  0.00e+00  0.00e+00  4.19e+38  5.34e-12  2.74e+12  3.93e+05  3.93e+05  2.19e+02  4.70e+02  3.74e+05  3.74e+05  1.27e+00  1.14e+42  1.14e+42  1.14e+42  9.73e+06  6.57e+05  8.96e+06  5.92e-01  0.00e+00  0.00e+00 
8.929e+12   19      0        0  7.95e+09  0.00e+00  0.00e+00  4.85e+38  5.17e-12  2.65e+12  3.78e+05  3.78e+05  4.93e+01  4.97e+02  3.55e+05  3.55e+05  1.33e+00  1.05e+42  1.05e+42  1.05e+42  9.74e+06  6.07e+05  8.89e+06  5.92e-01  0.00e+00  0.00e+00 
9.373e+12   20      0        0  8.07e+09  0.00e+00  0.00e+00  5.62e+38  4.98e-12  2.55e+12  3.64e+05  3.64e+05 -2.18e+00  4.72e+02  3.37e+05  3.38e+05  1.40e+00  9.69e+41  9.69e+41  9.70e+41  9.79e+06  5.64e+05  8.84e+06  3.77e-01  0.00e+00  0.00e+00 
9.839e+12   21      0        0  8.17e+09  0.00e+00  0.00e+00  6.51e+38  4.85e-12  2.48e+12  3.51e+05  3.52e+05  2.24e+02  7.54e+02  3.21e+05  3.22e+05  1.46e+00  9.10e+41  9.10e+41  9.11e+41  9.86e+06  5.21e+05  8.81e+06  5.92e-01  0.00e+00  0.00e+00 
