       r    i inwind 
3.55e+12    0     -1 
3.73e+12    1      0 
3.91e+12    2      0 
4.11e+12    3      0 
4.31e+12    4      0 
4.52e+12    5      0 
4.75e+12    6      0 
4.99e+12    7      0 
5.23e+12    8      0 
5.49e+12    9      0 
5.77e+12   10      0 
6.05e+12   11      0 
6.36e+12   12      0 
6.67e+12   13      0 
7.00e+12   14      0 
7.35e+12   15      0 
7.72e+12   16      0 
8.10e+12   17      0 
8.51e+12   18      0 
8.93e+12   19      0 
9.37e+12   20      0 
9.84e+12   21      0 
1.03e+13   22      0 
1.08e+13   23      0 
1.14e+13   24      0 
1.19e+13   25      0 
1.25e+13   26      0 
1.32e+13   27      0 
1.38e+13   28      0 
1.45e+13   29      0 
1.52e+13   30      0 
1.60e+13   31      0 
1.68e+13   32      0 
1.76e+13   33      0 
1.85e+13   34      0 
1.94e+13   35      0 
2.04e+13   36      0 
2.14e+13   37      0 
2.25e+13   38      0 
2.36e+13   39      0 
2.48e+13   40      0 
2.60e+13   41      0 
2.73e+13   42      0 
2.86e+13   43      0 
3.01e+13   44      0 
3.16e+13   45      0 
3.31e+13   46      0 
3.48e+13   47      0 
3.65e+13   48      0 
3.83e+13   49      0 
4.02e+13   50      0 
4.22e+13   51      0 
4.43e+13   52      0 
4.65e+13   53      0 
4.88e+13   54      0 
5.13e+13   55      0 
5.38e+13   56      0 
5.65e+13   57      0 
5.93e+13   58      0 
6.23e+13   59      0 
6.54e+13   60      0 
6.86e+13   61      0 
7.20e+13   62      0 
7.56e+13   63      0 
7.94e+13   64      0 
8.33e+13   65      0 
8.75e+13   66      0 
9.18e+13   67      0 
9.64e+13   68      0 
1.01e+14   69      0 
1.06e+14   70      0 
1.11e+14   71      0 
1.17e+14   72      0 
1.23e+14   73      0 
1.29e+14   74      0 
1.35e+14   75      0 
1.42e+14   76      0 
1.49e+14   77      0 
1.57e+14   78      0 
1.64e+14   79      0 
1.73e+14   80      0 
1.81e+14   81      0 
1.90e+14   82      0 
2.00e+14   83      0 
2.10e+14   84      0 
2.20e+14   85      0 
2.31e+14   86      0 
2.42e+14   87      0 
2.55e+14   88      0 
2.67e+14   89      0 
2.80e+14   90      0 
2.94e+14   91      0 
3.09e+14   92      0 
3.24e+14   93      0 
3.41e+14   94      0 
3.58e+14   95      0 
3.75e+14   96      0 
3.94e+14   97      0 
4.14e+14   98      0 
4.34e+14   99      0 
4.56e+14  100      0 
4.78e+14  101      0 
5.02e+14  102      0 
5.27e+14  103      0 
5.53e+14  104      0 
5.81e+14  105      0 
6.10e+14  106      0 
6.40e+14  107      0 
6.72e+14  108     -1 
7.06e+14  109     -1 
