      r      theta      rho   t_gas   t_rad          v_r      v_theta
11.6087    2.84338  -12.882  9.3962 5.55929    0.0854195  -0.00232374
11.6087    2.95581 -12.8284 9.39892 5.55623    0.0348061  0.000928571
11.6087    3.07727 -12.7875 9.62552 5.57065   -0.0278383    0.0561381
12.3956  0.0621232 -12.7958 9.59039 5.55901   -0.0141025   -0.0527571
12.3956   0.179715 -12.8308 9.37975 5.55006    0.0489255  0.000499951
12.3956   0.288911 -12.8754 9.36727 5.55125     0.104714   0.00235791
12.3956   0.390254 -12.8745 9.33752 5.56127     0.149388   0.00261821
12.3956   0.484266 -12.7886 9.25335  5.5743     0.199132   0.00237412
12.3956   0.571438 -12.6128 9.08782 5.58263     0.249424    0.0044209
12.3956   0.652238 -12.3934  8.8919 5.59275     0.290523   0.00547069
12.3956   0.727109 -12.1498 8.64074 5.60022     0.315336   0.00716161
12.3956   0.796472 -11.8979 8.39377 5.60781      0.32397   0.00774904
12.3956   0.860724 -11.6726 8.15141 5.61376     0.318643   0.00765793
12.3956    0.92024 -11.4815 7.93855  5.6203     0.302109   0.00630104
12.3956   0.975377 -11.3329 7.75533 5.62931     0.280181   0.00445426
12.3956    1.02647 -11.2133 7.60942 5.64069     0.254717   0.00251139
12.3956    1.07383 -11.1121 7.46682 5.65216     0.225796  0.000677727
12.3956    1.11777 -11.0197 7.35781 5.66453     0.194477 -0.000852411
12.3956    1.15856 -10.9343 7.22596 5.67733     0.162569  -0.00172563
12.3956    1.19647 -10.8489 7.11401 5.69119     0.130457  -0.00218251
12.3956    1.23175 -10.7596 6.98188 5.70575     0.100405  -0.00207709
12.3956    1.26463 -10.6642 6.85514 5.72125    0.0748637  -0.00167838
12.3956    1.29535  -10.568 6.69729 5.73741    0.0536165  -0.00114226
12.3956     1.3241 -10.4856 6.58179 5.75324    0.0367614 -0.000850853
12.3956    1.35109 -10.4187 6.49791 5.76811    0.0226492 -0.000495887
12.3956    1.37651 -10.3553 6.42222 5.78219    0.0109962 -0.000391644
12.3956    1.40054 -10.2908 6.34673 5.79559   0.00195754 -0.000468684
12.3956    1.42334 -10.2156 6.28653 5.80821  -0.00508825 -0.000745216
12.3956    1.44509 -10.1257 6.21289 5.82018   -0.0112749  -0.00129611
12.3956    1.46592 -10.0253 6.16461 5.83149   -0.0173369  -0.00191071
12.3956      1.486 -9.93283 6.13674 5.84185   -0.0236275  -0.00233363
12.3956    1.50547 -9.86351 6.12365 5.85051   -0.0299247   -0.0029632
12.3956    1.52447 -9.81221 6.11863 5.85771   -0.0363417  -0.00334965
12.3956    1.54313 -9.76649 6.11433  5.8632    -0.042559  -0.00408111
12.3956     1.5616 -9.73242 6.11168 5.86602   -0.0470957  -0.00510526
12.3956    1.57999 -9.74313 6.10715 5.86337   -0.0495474  -0.00661343
12.3956    1.59846 -9.80852 6.11523 5.85538   -0.0498741  -0.00734154
12.3956    1.61712 -9.88977 6.14045  5.8456   -0.0481037  -0.00746118
12.3956    1.63612 -9.96626 6.15714 5.83493   -0.0449127  -0.00702461
12.3956    1.65559 -10.0401 6.19296 5.82397   -0.0404667  -0.00631358
12.3956    1.67567 -10.1105 6.23327 5.81233   -0.0343225   -0.0049666
12.3956    1.69651 -10.1632 6.26967 5.80155   -0.0267576  -0.00376395
12.3956    1.71825 -10.2038 6.31168 5.79063   -0.0178385  -0.00276845
12.3956    1.74105 -10.2292 6.35671 5.77962   -0.0070204   -0.0019245
12.3956    1.76508 -10.2635 6.39813 5.76774   0.00522683  -0.00122521
12.3956     1.7905 -10.3304  6.4761 5.75406      0.01908 -0.000676575
12.3956    1.81749 -10.4212 6.58411 5.73884    0.0350511 -0.000166059
12.3956    1.84625 -10.5028 6.69419 5.72346    0.0539425  0.000140716
12.3956    1.87696 -10.5714  6.8012 5.70789     0.076291  0.000589876
12.3956    1.90985 -10.6429 6.91959 5.69223     0.102356  0.000818624
12.3956    1.94512 -10.7256 7.05041 5.67687     0.132171  0.000943606
12.3956    1.98303 -10.8226 7.17465 5.66215     0.165033  0.000706686
12.3956    2.02382  -10.933 7.31944 5.64794     0.198653   0.00035209
12.3956    2.06776 -11.0552 7.48319 5.63532      0.23243 -0.000416501
12.3956    2.11512 -11.1875 7.63996  5.6247     0.265296  -0.00141192
12.3956    2.16622 -11.3343 7.82178 5.61662     0.295789   -0.0026719
12.3956    2.22135 -11.5083 8.00167 5.60983     0.319302  -0.00317506
12.3956    2.28087 -11.7299 8.23461 5.60551     0.333618  -0.00333463
12.3956    2.34512 -11.9892 8.48572 5.60265      0.33525  -0.00274723
12.3956    2.41448 -12.2701 8.76241 5.59905     0.322588  -0.00265929
12.3956    2.48935 -12.5395  8.9994 5.59265      0.29437  -0.00178227
12.3956    2.57015 -12.7415 9.18524 5.58319     0.252582  -0.00161685
12.3956    2.65733  -12.876 9.31626 5.57255     0.202739 -0.000296259
12.3956    2.75134 -12.9358 9.36906 5.55966     0.150658  -0.00110167
12.3956    2.85268  -12.917 9.40111 5.54957     0.104767  -0.00173029
12.3956    2.96188  -12.859 9.40066 5.54863    0.0468971  0.000583383
12.3956    3.07947 -12.8193 9.62465 5.55853   -0.0161036    0.0571207
13.2367  0.0601374 -12.8344 9.60185 5.54769  -0.00314732    -0.055134
13.2367   0.174213 -12.8681 9.40145 5.54171    0.0602265   0.00126736
13.2367   0.280451 -12.9159 9.37167   5.541     0.121471   0.00105722
13.2367   0.379344 -12.9229 9.34476 5.55121     0.168141 -0.000263568
13.2367   0.471362 -12.8457 9.28291  5.5635     0.222457  -0.00174623
13.2367   0.556949 -12.6746 9.12595 5.57178     0.272391 -0.000628932
13.2367   0.636532 -12.4563 8.91623 5.57973     0.312323  -8.0593e-05
13.2367   0.710513 -12.2047 8.67935 5.58388      0.33662  0.000817635
13.2367   0.779275 -11.9453 8.41634 5.59063     0.342168  0.000956901
13.2367   0.843181  -11.719 8.17924 5.59564     0.334803  0.000886592
13.2367   0.902577 -11.5304 7.97799 5.60351     0.317851 -0.000121884
13.2367   0.957788  -11.386 7.79575 5.61195     0.294912  -0.00146975
13.2367    1.00913 -11.2686 7.65221 5.62195     0.267428  -0.00280651
13.2367    1.05688 -11.1699 7.50987 5.63281     0.237736  -0.00395075
13.2367    1.10133 -11.0812 7.39657 5.64476     0.204995  -0.00474818
13.2367    1.14274 -10.9999 7.27254 5.65676     0.171171  -0.00506559
13.2367    1.18136 -10.9201 7.15249 5.67007     0.137174   -0.0047708
13.2367    1.21742 -10.8341 7.02678 5.68408     0.105979  -0.00409232
13.2367    1.25115 -10.7413 6.86619 5.69916    0.0794117  -0.00323881
13.2367    1.28275 -10.6452 6.74596 5.71501    0.0578536  -0.00252055
13.2367    1.31244 -10.5575 6.61799 5.73092    0.0405577  -0.00197604
13.2367    1.34039 -10.4857 6.52705 5.74603    0.0263679  -0.00150123
13.2367    1.36679 -10.4227 6.44018 5.76023    0.0147275   -0.0013349
13.2367    1.39182 -10.3589 6.35168 5.77372    0.0055302   -0.0012921
13.2367    1.41563 -10.2826 6.28107 5.78668   -0.0017291  -0.00132601
13.2367    1.43839 -10.1878 6.20739 5.79921  -0.00821281  -0.00152202
13.2367    1.46026 -10.0791  6.1512 5.81106   -0.0148216   -0.0017034
13.2367    1.48137 -9.96776 6.11601 5.82252   -0.0215941  -0.00181717
13.2367    1.50186 -9.88486 6.09287 5.83228   -0.0285794  -0.00206213
13.2367    1.52189 -9.82411 6.08471 5.84057   -0.0354361   -0.0021891
13.2367    1.54159 -9.78346 6.09164 5.84631   -0.0418193  -0.00288197
13.2367    1.56108 -9.75653 6.08814 5.84925   -0.0465099  -0.00391693
13.2367    1.58051 -9.77328 6.08739 5.84644   -0.0486535  -0.00569363
13.2367    1.60001 -9.84771 6.09448 5.83749   -0.0486369  -0.00665135
13.2367     1.6197 -9.93625 6.12228  5.8271   -0.0465929  -0.00698013
13.2367    1.63973  -10.024 6.13878 5.81523   -0.0433802  -0.00674134
13.2367    1.66023 -10.1081 6.17362 5.80345   -0.0385964   -0.0059336
13.2367    1.68134 -10.1743 6.22344 5.79218   -0.0321554  -0.00472528
13.2367     1.7032 -10.2236  6.2793 5.78152   -0.0239375  -0.00359524
13.2367    1.72596 -10.2599 6.31595 5.77058   -0.0140431  -0.00265986
13.2367    1.74978 -10.2833 6.34004 5.75941  -0.00263581  -0.00176389
13.2367     1.7748  -10.335 6.40484 5.74696    0.0102131 -0.000919066
13.2367     1.8012 -10.4194 6.50329 5.73245    0.0243652 -9.55421e-05
13.2367    1.82916 -10.5095 6.61462 5.71725    0.0406407    0.0007665
13.2367    1.85884 -10.5799 6.71846 5.70194    0.0593058   0.00147198
13.2367    1.89044 -10.6433 6.84354 5.68653    0.0821008   0.00233652
13.2367    1.92417 -10.7123 6.96361 5.67104     0.108859   0.00303158
13.2367    1.96023 -10.7924 7.07265 5.65619     0.139548   0.00365131
13.2367    1.99885 -10.8864 7.22136 5.64191     0.173305   0.00400175
13.2367    2.04026 -10.9939 7.35641  5.6283      0.20843   0.00428448
13.2367    2.08471 -11.1135  7.5047 5.61583     0.243083   0.00433659
13.2367    2.13247 -11.2414 7.67197  5.6056      0.27688   0.00417197
13.2367     2.1838 -11.3811 7.83996 5.59687     0.308415   0.00360169
13.2367    2.23902 -11.5445  8.0216 5.59086      0.33325   0.00351073
13.2367    2.29841 -11.7575 8.23675 5.58721     0.349117    0.0035665
13.2367    2.36232 -12.0175 8.49238   5.586     0.352405   0.00448761
13.2367    2.43108  -12.309 8.77177 5.58287     0.341393   0.00439714
13.2367    2.50506 -12.5923 9.04408 5.57964     0.315707   0.00486451
13.2367    2.58464 -12.7945 9.24192  5.5731     0.277863    0.0037109
13.2367    2.67023 -12.9243 9.35567 5.56216     0.228633   0.00350273
13.2367    2.76225 -12.9763 9.39676 5.54987     0.175937   0.00119766
13.2367    2.86114 -12.9494 9.40456 5.54078     0.126509  -0.00103747
13.2367    2.96738 -12.8886 9.41509 5.54188    0.0586678  9.75247e-05
13.2367    3.08146 -12.8498 9.61594 5.54582  -0.00231385    0.0592537
14.1359  0.0583221 -12.8717 9.60657 5.53635    0.0106292   -0.0575147
14.1359   0.169168 -12.9043 9.40846  5.5334    0.0720908   0.00181435
14.1359   0.272672 -12.9539 9.38504 5.53188      0.13896  7.85363e-06
14.1359   0.369281 -12.9681 9.35042 5.53996     0.187899  -0.00319125
14.1359   0.459421 -12.8962 9.29267 5.55118     0.242015  -0.00523785
14.1359     0.5435 -12.7317 9.14507 5.55778     0.292181  -0.00528371
14.1359   0.621904 -12.5092  8.9425 5.56451     0.331101    -0.005639
14.1359   0.695004   -12.25 8.70225 5.56991     0.354533  -0.00502472
14.1359   0.763149 -11.9847 8.44136 5.57486     0.359829  -0.00513952
14.1359   0.826675  -11.759 8.20257 5.58088     0.351243  -0.00515348
14.1359   0.885899 -11.5743  7.9935 5.58657     0.332622  -0.00608882
14.1359   0.941123 -11.4329 7.82023 5.59394     0.308244  -0.00682641
14.1359   0.992633  -11.319 7.66641 5.60373     0.279829  -0.00757647
14.1359     1.0407 -11.2221 7.54073 5.61373     0.248029  -0.00821815
14.1359    1.08559 -11.1377 7.41921   5.625     0.213878  -0.00844619
14.1359    1.12754 -11.0597 7.31635 5.63686     0.178525  -0.00811805
14.1359    1.16679 -10.9839 7.20304 5.64985     0.143004  -0.00725632
14.1359    1.20356 -10.9028 7.06328  5.6633     0.110334  -0.00623475
14.1359    1.23806 -10.8125 6.92233 5.67802    0.0830952  -0.00514974
14.1359    1.27049 -10.7192 6.76759  5.6934    0.0610782  -0.00420537
14.1359    1.30104 -10.6357 6.65336 5.70903    0.0434858  -0.00341862
14.1359     1.3299 -10.5589 6.52458   5.724    0.0289385  -0.00282711
14.1359    1.35724 -10.4892 6.43529 5.73838    0.0174501  -0.00236357
14.1359    1.38323  -10.424 6.33901 5.75204   0.00839553  -0.00222244
14.1359    1.40802 -10.3462 6.27771 5.76532   0.00107013   -0.0020082
14.1359    1.43177 -10.2431 6.21096  5.7784  -0.00593743  -0.00184908
14.1359    1.45464 -10.1225 6.14051 5.79111   -0.0132396  -0.00170806
14.1359    1.47676 -10.0005 6.09596 5.80357   -0.0209169  -0.00146375
14.1359    1.49828 -9.90796  6.0724 5.81454   -0.0285127  -0.00134306
14.1359    1.51933 -9.84951 6.06383 5.82368   -0.0353911  -0.00135498
14.1359    1.54005 -9.82099 6.06822 5.82908   -0.0413926  -0.00198396
14.1359    1.56057 -9.80478 6.06814 5.83182   -0.0455888  -0.00313319
14.1359    1.58102 -9.82744 6.06878 5.82833   -0.0472336  -0.00517648
14.1359    1.60155 -9.90756 6.08054 5.81875   -0.0469601  -0.00625418
14.1359    1.62226  -10.002 6.10857 5.80757   -0.0448424  -0.00673359
14.1359    1.64332 -10.0987 6.13274 5.79506   -0.0412371  -0.00651314
14.1359    1.66483 -10.1778 6.18035 5.78357   -0.0359867  -0.00570799
14.1359    1.68695 -10.2383 6.22015 5.77261   -0.0290642  -0.00460869
14.1359    1.70982 -10.2833  6.2701 5.76194   -0.0200551  -0.00364184
14.1359    1.73357 -10.3131 6.30923 5.75108   -0.0101059  -0.00266074
14.1359    1.75837 -10.3454 6.35204 5.73963   0.00127375  -0.00163441
14.1359    1.78435  -10.417 6.43195  5.7264    0.0143274  -0.00060381
14.1359    1.81169 -10.5094  6.5378  5.7116    0.0288924  0.000569906
14.1359    1.84055 -10.5869 6.65068 5.69643    0.0452335   0.00178366
14.1359     1.8711 -10.6519 6.75611 5.68112    0.0641493   0.00299006
14.1359    1.90353 -10.7139 6.85965 5.66589    0.0865114    0.0041821
14.1359    1.93803 -10.7814 6.98378 5.65081     0.114066   0.00540515
14.1359     1.9748 -10.8581 7.11731  5.6365     0.145409   0.00641171
14.1359    2.01405 -10.9468 7.23636 5.62223     0.179957    0.0073152
14.1359      2.056 -11.0502  7.3811 5.60898     0.215653   0.00836765
14.1359    2.10089 -11.1658  7.5423 5.59719     0.252115   0.00912481
14.1359    2.14896 -11.2905 7.70208 5.58735     0.287804   0.00962522
14.1359    2.20047 -11.4244 7.87708 5.58023      0.32106   0.00959683
14.1359    2.25569 -11.5761 8.03668 5.57665     0.347736   0.00976141
14.1359    2.31492 -11.7801 8.24749 5.57407     0.365112   0.00985179
14.1359    2.37844 -12.0377 8.50479  5.5723     0.369956    0.0108213
14.1359    2.44659 -12.3389 8.78083 5.57044      0.36095    0.0107192
14.1359    2.51969 -12.6344 9.04523 5.56721     0.335592    0.0106939
14.1359    2.59809 -12.8361 9.23235 5.56123     0.297743   0.00888491
14.1359    2.68217  -12.964  9.3589 5.55076     0.248755   0.00743005
14.1359    2.77231 -13.0109 9.39132 5.53977     0.195124   0.00357134
14.1359    2.86892  -12.978 9.41615 5.53328     0.145402 -0.000250285
14.1359    2.97242 -12.9164 9.41827 5.53409    0.0733791 -0.000694645
14.1359    3.08327 -12.8783 9.61071 5.53614    0.0102782    0.0620788
 15.097  0.0566398 -12.9065 9.60063 5.52568    0.0217365   -0.0595656
 15.097    0.16448  -12.939 9.42459 5.52512    0.0843901   0.00249369
 15.097   0.265422 -12.9888 9.39978 5.52328     0.156441 -0.000544104
 15.097   0.359873 -13.0086 9.37371 5.53138     0.209091   -0.0057775
 15.097   0.448224 -12.9442 9.29028 5.53781     0.261599  -0.00902629
 15.097   0.530848 -12.7797   9.151 5.54366     0.310599   -0.0098601
 15.097   0.608101 -12.5556 8.96708 5.55067     0.347758   -0.0109296
 15.097   0.680322 -12.2855 8.69653 5.55598     0.369867     -0.01043
 15.097   0.747835 -12.0148 8.43312 5.55918     0.374714   -0.0105592
 15.097   0.810948 -11.7925 8.20185 5.56312     0.365534   -0.0104035
 15.097   0.869956 -11.6141 8.00851 5.56906     0.345796   -0.0110759
 15.097   0.925139 -11.4766 7.83536 5.57586      0.32003   -0.0114969
 15.097   0.976765 -11.3656  7.7113   5.585     0.290462   -0.0120764
 15.097    1.02509 -11.2716 7.58455 5.59529      0.25798   -0.0122467
 15.097    1.07035 -11.1909 7.45686 5.60583     0.221498   -0.0119136
 15.097    1.11277 -11.1157 7.34142 5.61715     0.183933   -0.0109429
 15.097    1.15259 -11.0427 7.22769 5.62961     0.146861  -0.00951618
 15.097    1.19001 -10.9638 7.08973 5.64265     0.113466  -0.00809797
 15.097    1.22523 -10.8752 6.94141 5.65706    0.0857441  -0.00675081
 15.097    1.25843 -10.7845 6.78947 5.67223    0.0635685  -0.00571005
 15.097    1.28981 -10.7069 6.67756 5.68775    0.0458653   -0.0047125
 15.097    1.31954 -10.6337 6.56993 5.70247    0.0314729  -0.00395216
 15.097    1.34778 -10.5607 6.45145   5.717    0.0201368  -0.00336351
 15.097     1.3747 -10.4868 6.35772 5.73122      0.01141  -0.00298273
 15.097    1.40044 -10.4066 6.27584  5.7447   0.00377796  -0.00266346
 15.097    1.42517 -10.2978 6.19368 5.75835  -0.00408007  -0.00224198
 15.097    1.44903 -10.1647 6.12111 5.77209   -0.0122002  -0.00178728
 15.097    1.47216 -10.0447 6.07915 5.78538   -0.0207144  -0.00126035
 15.097    1.49469 -9.95239 6.05078 5.79695    -0.028808  -0.00103439
 15.097    1.51676 -9.89674 6.04094 5.80649   -0.0357243  -0.00115868
 15.097     1.5385 -9.87393 6.04551 5.81177   -0.0408721  -0.00195853
 15.097    1.56005 -9.85799 6.05497 5.81441   -0.0440972  -0.00312194
 15.097    1.58154 -9.87932  6.0565 5.81078    -0.045308  -0.00522692
 15.097    1.60309 -9.96621   6.068 5.80057   -0.0446457  -0.00638507
 15.097    1.62483 -10.0707 6.08529  5.7886   -0.0425004  -0.00688344
 15.097    1.64691 -10.1681  6.1191   5.776   -0.0386406  -0.00653494
 15.097    1.66944 -10.2419 6.16301 5.76463   -0.0332016  -0.00576485
 15.097    1.69256 -10.2969 6.20709 5.75372   -0.0261167  -0.00471642
 15.097    1.71642 -10.3374  6.2546 5.74295   -0.0173822  -0.00369037
 15.097    1.74115 -10.3681 6.29595 5.73183  -0.00755634   -0.0025948
 15.097     1.7669  -10.418 6.36544 5.71955   0.00385914   -0.0015298
 15.097    1.79381 -10.5005 6.46252 5.70556    0.0168904 -0.000284874
 15.097    1.82206  -10.588 6.55732 5.69085    0.0312671   0.00129309
 15.097    1.85178 -10.6596 6.67504 5.67608    0.0477715   0.00288236
 15.097    1.88316 -10.7237 6.78226 5.66114    0.0668205   0.00451491
 15.097    1.91637 -10.7855 6.90357 5.64618    0.0896026   0.00620932
 15.097    1.95158 -10.8505 7.04007 5.63137     0.117852   0.00772094
 15.097      1.989 -10.9224 7.16126 5.61759     0.150174   0.00918974
 15.097    2.02882 -11.0047 7.28005 5.60362     0.185088    0.0106205
 15.097    2.07125 -11.1013  7.4268 5.59084      0.22218    0.0119866
 15.097    2.11651 -11.2127 7.56471 5.57879     0.259819    0.0132416
 15.097    2.16483 -11.3347 7.71233 5.56941     0.296664    0.0143348
 15.097    2.21645 -11.4645  7.8762 5.56233     0.331252    0.0148473
 15.097    2.27164 -11.6071 8.03028 5.55795     0.358344    0.0154062
 15.097    2.33064  -11.799 8.21867 5.55669      0.37598    0.0156622
 15.097    2.39376 -12.0527 8.46263 5.55442      0.38337    0.0163729
 15.097    2.46127 -12.3594 8.75324 5.55345     0.376407    0.0158341
 15.097    2.53349 -12.6681 9.01822 5.54866     0.353404    0.0151466
 15.097    2.61074 -12.8748 9.19938 5.54301     0.316737    0.0131649
 15.097    2.69337 -13.0004 9.33767 5.53786     0.268273    0.0110664
 15.097    2.78172 -13.0429 9.38985 5.52888      0.21359    0.0061287
 15.097    2.87617 -13.0063 9.40942 5.52329     0.160437  0.000624732
 15.097    2.97711 -12.9428 9.42319 5.52669    0.0859029  -0.00130616
 15.097    3.08495 -12.9061 9.60948 5.52678    0.0233711    0.0636688
16.1245  0.0550585 -12.9388 9.60464 5.51534    0.0355831    -0.063246
16.1245   0.160061 -12.9702 9.43616 5.51762    0.0984011   0.00269052
16.1245   0.258568 -13.0195 9.40145 5.51415     0.171167  -0.00140519
16.1245   0.350954 -13.0431 9.36711 5.51955     0.227441  -0.00747592
16.1245   0.437578 -12.9859 9.33219  5.5297     0.284355   -0.0121045
16.1245   0.518784 -12.8226 9.18436 5.53704     0.332391   -0.0134127
16.1245     0.5949 -12.5968 8.97149 5.53881      0.36874   -0.0145532
16.1245   0.666239 -12.3143 8.70628 5.54023     0.388944   -0.0146092
16.1245   0.733101 -12.0401 8.43229 5.54257     0.390831   -0.0150852
16.1245   0.795772 -11.8211 8.21149 5.54639     0.379433   -0.0147934
16.1245   0.854526  -11.649 8.02852 5.55094     0.358319   -0.0154571
16.1245   0.909623 -11.5165  7.8716 5.55839      0.33137   -0.0157296
16.1245   0.961314 -11.4088 7.73224 5.56694     0.300426   -0.0159268
16.1245    1.00984 -11.3194 7.60509 5.57626     0.265683   -0.0155793
16.1245    1.05542 -11.2417 7.49234 5.58694     0.227686   -0.0148922
16.1245    1.09827  -11.169 7.38529   5.598     0.188327   -0.0135049
16.1245    1.13861 -11.0961 7.25066 5.60985     0.150119   -0.0116995
16.1245    1.17663  -11.018 7.12437 5.62303     0.115861   -0.0100221
16.1245    1.21252 -10.9301 6.95175 5.63696    0.0876942  -0.00844754
16.1245    1.24647 -10.8442 6.81109 5.65219    0.0653548   -0.0070283
16.1245    1.27864 -10.7726 6.68837 5.66694    0.0473763   -0.0058473
16.1245     1.3092 -10.7057 6.56563 5.68145    0.0331421  -0.00485161
16.1245    1.33833  -10.635 6.45179 5.69573    0.0221823  -0.00415801
16.1245    1.36616 -10.5553 6.35146 5.71003    0.0139137  -0.00369418
16.1245    1.39285 -10.4666  6.2693 5.72404   0.00579899  -0.00316871
16.1245    1.41855 -10.3562 6.17423 5.73836  -0.00284177  -0.00252934
16.1245    1.44339 -10.2256 6.11304 5.75284   -0.0116458  -0.00185489
16.1245    1.46752 -10.1028 6.06797 5.76701    -0.020855  -0.00120864
16.1245    1.49107 -10.0084 6.03275 5.77907   -0.0291413    -0.001053
16.1245    1.51417 -9.94676 6.01883 5.78911   -0.0360198  -0.00123573
16.1245    1.53695 -9.92047 6.02601 5.79486   -0.0407662  -0.00206853
16.1245    1.55953 -9.89559 6.03055 5.79801   -0.0431954  -0.00332646
16.1245    1.58206  -9.9167 6.03421 5.79438   -0.0437927  -0.00555356
16.1245    1.60464 -10.0143 6.04493 5.78322    -0.042964  -0.00663887
16.1245    1.62742 -10.1263 6.06284 5.77089    -0.040597  -0.00696773
16.1245    1.65052 -10.2256 6.10504 5.75811   -0.0363798  -0.00648698
16.1245    1.67407 -10.2953 6.13657 5.74674    -0.030529  -0.00569681
16.1245     1.6982 -10.3473 6.18062  5.7355    -0.023416  -0.00461492
16.1245    1.72304 -10.3854 6.22729 5.72453   -0.0150225  -0.00350472
16.1245    1.74874 -10.4276 6.30665  5.7127  -0.00532984  -0.00220608
16.1245    1.77543 -10.5028 6.38463 5.69945   0.00602764   -0.0010605
16.1245    1.80327 -10.5915 6.49851 5.68513    0.0186746  0.000493424
16.1245    1.83239 -10.6658 6.61301   5.671    0.0330751   0.00207062
16.1245    1.86295 -10.7308 6.69565 5.65652    0.0495371    0.0039585
16.1245    1.89513 -10.7929  6.8097 5.64187    0.0687174   0.00591587
16.1245    1.92907 -10.8547 6.93453 5.62696    0.0915768   0.00794624
16.1245    1.96496 -10.9186 7.05161 5.61249     0.120582   0.00986023
16.1245    2.00298 -10.9864 7.17324 5.59851     0.153086    0.0117981
16.1245    2.04332 -11.0617 7.30713 5.58494     0.189321    0.0136715
16.1245    2.08618 -11.1519 7.43652 5.57267     0.227175    0.0153669
16.1245    2.13176 -11.2548 7.59026 5.56189     0.266492    0.0170274
16.1245    2.18028 -11.3734 7.75027 5.55302     0.304988    0.0184785
16.1245    2.23197 -11.5001 7.90859 5.54595     0.341208    0.0191785
16.1245    2.28707 -11.6355 8.04083 5.54257     0.369966    0.0199162
16.1245    2.34582 -11.8159  8.2242 5.53994     0.389554    0.0202282
16.1245    2.40849 -12.0645 8.47704 5.54047     0.399647    0.0208586
16.1245    2.47535 -12.3755 8.77843 5.53981     0.395104    0.0203843
16.1245    2.54669 -12.6971  9.0821  5.5407     0.376791    0.0196088
16.1245    2.62281 -12.9126 9.28382 5.53547     0.342623    0.0172377
16.1245    2.70401 -13.0362 9.38614  5.5283     0.296297    0.0145055
16.1245    2.79064 -13.0743 9.40846  5.5207     0.237106   0.00889487
16.1245    2.88303 -13.0342 9.41038 5.51517     0.175792   0.00201268
16.1245    2.98153 -12.9681 9.43973 5.51913    0.0973494  -0.00164307
16.1245    3.08653 -12.9329 9.60108 5.51926     0.038734     0.065244
17.2228   0.053551 -12.9681 9.60185 5.50714    0.0494054   -0.0652083
17.2228   0.155837 -12.9989 9.44609 5.50865      0.11233   0.00331881
17.2228   0.251999 -13.0489 9.40323 5.50488     0.183632  -0.00210789
17.2228   0.342383 -13.0756 9.37003 5.51027     0.239465  -0.00913458
17.2228    0.42732 -13.0216 9.30657 5.51611     0.298674   -0.0143697
17.2228   0.507128 -12.8576 9.16476 5.52237     0.349206   -0.0160951
17.2228    0.58211 -12.6255 8.97373  5.5276     0.386665   -0.0177684
17.2228   0.652557 -12.3336 8.71156 5.53025     0.406119   -0.0180627
17.2228   0.718747 -12.0589 8.43807 5.52926     0.406348    -0.018649
17.2228   0.780947 -11.8462 8.22497 5.53148     0.393545   -0.0185345
17.2228   0.839411 -11.6815 8.04404 5.53449      0.37072   -0.0191262
17.2228   0.894385 -11.5536 7.89032 5.54156      0.34162   -0.0191144
17.2228     0.9461  -11.451  7.7456 5.54921     0.309108     -0.01915
17.2228    0.99478 -11.3658 7.64742 5.55798     0.273178   -0.0184476
17.2228    1.04064 -11.2907 7.52617 5.56828     0.232777    -0.017366
17.2228    1.08388 -11.2195   7.403 5.57887     0.191365   -0.0156799
17.2228     1.1247 -11.1466 7.28663 5.59101     0.152218   -0.0134952
17.2228    1.16329 -11.0693 7.13081 5.60374     0.117411   -0.0114867
17.2228    1.19983 -10.9817 6.97459 5.61765    0.0888339  -0.00963783
17.2228    1.23449 -10.9005 6.81803 5.63235    0.0663339  -0.00811595
17.2228    1.26743  -10.833 6.69518 5.64679     0.048912  -0.00686346
17.2228    1.29882 -10.7704 6.56871 5.66104    0.0353355  -0.00582297
17.2228    1.32881  -10.706 6.48368 5.67522    0.0249758  -0.00513071
17.2228    1.35755 -10.6261 6.37059  5.6896    0.0166085  -0.00464701
17.2228    1.38518  -10.531 6.27791 5.70399   0.00784432  -0.00397313
17.2228    1.41185 -10.4241 6.20598 5.71886  -0.00162313  -0.00307569
17.2228    1.43769 -10.3031 6.12146 5.73358   -0.0111703  -0.00217729
17.2228    1.46283 -10.1793 6.06507 5.74833   -0.0208764  -0.00136076
17.2228     1.4874 -10.0743 6.02023 5.76141   -0.0291713  -0.00106586
17.2228    1.51154 -9.99739 5.99869  5.7725   -0.0360406  -0.00129444
17.2228    1.53537 -9.95669 5.99526 5.77914   -0.0406043  -0.00218717
17.2228    1.55901 -9.92319  6.0008 5.78289   -0.0426905  -0.00336392
17.2228    1.58259  -9.9466 6.00884 5.77941   -0.0429585  -0.00562617
17.2228    1.60622 -10.0528 6.01797 5.76733   -0.0417376  -0.00650162
17.2228    1.63005 -10.1737 6.03736 5.75443   -0.0389366  -0.00667358
17.2228    1.65419 -10.2722 6.08119 5.74148   -0.0342097  -0.00614734
17.2228    1.67876 -10.3397 6.12526 5.72984   -0.0283258  -0.00539491
17.2228    1.70391 -10.3913 6.16624 5.71809   -0.0213547  -0.00429202
17.2228    1.72974 -10.4369 6.21351  5.7064   -0.0132808  -0.00314433
17.2228    1.75641 -10.5011 6.28678  5.6933  -0.00408472   -0.0017508
17.2228    1.78404 -10.5845 6.38668 5.67944   0.00667385 -0.000354375
