      r      theta      rho   t_gas   t_rad          v_r      v_theta
1.30522    1.44494 -9.09809 7.00295 6.34507    -0.468509   0.00658847
1.30522    1.46142 -8.99489 6.94548 6.36785     -0.45906   0.00753237
1.30522    1.47563 -8.90208 6.89542 6.38958    -0.450545   0.00820523
1.30522    1.48796 -8.81816 6.86117 6.40996     -0.44262   0.00857609
1.30522    1.49874 -8.74295  6.8168  6.4293     -0.43528   0.00867928
1.30522    1.50827 -8.67695 6.77899 6.44838    -0.429091   0.00888115
1.30522    1.51679 -8.61685 6.76638 6.46656    -0.423306   0.00865858
1.30522    1.52453 -8.56228  6.7462 6.48368    -0.418108   0.00854417
1.30522    1.53166 -8.51124 6.73439 6.50032    -0.413493   0.00823113
1.30522    1.53832 -8.45986 6.72531 6.51673    -0.409471   0.00787291
1.30522    1.54462 -8.40469 6.72003  6.5333    -0.405572   0.00739488
1.30522    1.55067 -8.33674   6.716 6.54912    -0.402049   0.00664331
1.30522    1.55654  -8.2717 6.71451 6.56517    -0.398876    0.0058027
1.30522    1.56228 -8.21687 6.71992 6.57869    -0.396258   0.00442444
1.30522    1.56797 -8.18486  6.7211 6.58714    -0.394234   0.00298143
1.30522    1.57363 -8.18234 6.72274 6.58942    -0.393138   0.00140688
1.30522    1.57931  -8.2065 6.71464 6.58457    -0.393107 -0.000184995
1.30522    1.58506 -8.24731 6.71508 6.57538    -0.394192  -0.00140381
1.30522    1.59092   -8.294 6.71322 6.56384    -0.395861    -0.002545
1.30522    1.59697 -8.34572 6.71229 6.55028    -0.398128  -0.00365237
1.30522    1.60328 -8.40211 6.71482 6.53485    -0.400525  -0.00433681
1.30522    1.60993  -8.4629 6.72587 6.51826    -0.403942  -0.00498258
1.30522    1.61706  -8.5267  6.7386 6.50031    -0.408058  -0.00541139
1.30522     1.6248 -8.59421 6.75586 6.48105    -0.413078  -0.00579237
1.30522    1.63333  -8.6599 6.77621 6.46107    -0.419059  -0.00608202
1.30522    1.64286 -8.72979 6.80373 6.44007    -0.425048  -0.00600035
1.30522    1.65364 -8.80209 6.84826 6.41893    -0.432275  -0.00588943
1.30522    1.66596 -8.88346 6.90493 6.39694    -0.441729  -0.00598199
